# http://ref.x86asm.net/geek64-abc.html
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| mnemonic           | op1  | op2  | op3  | op4 | iext      | pf     | 0F     | po     | so     | flds     | o     | proc     | st       | m     | rl      | x     | grp1        | grp2                 | grp3         | tested f     | modif f       | def f         | undef f      | f values                                         | description, notes                                                          |
| ADDSUBPS           | Vps  | Wps  |      |     | sse3      | F2     | 0F     | D0     |        |          | r     |          |          |       |         |       | simdfp      | arith                |              |              |               |               |              |                                                  | Packed Single-FP Add/Subtract                                               |
| AND                | Eb   | Gb   |      |     |           |        |        | 20     |        | dw       | r     |          |          |       |         | L     | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | Evqp | Gvqp |      |     |           |        |        | 21     |        | dW       | r     |          |          |       |         | L     | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | Gb   | Eb   |      |     |           |        |        | 22     |        | Dw       | r     |          |          |       |         |       | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | Gvqp | Evqp |      |     |           |        |        | 23     |        | DW       | r     |          |          |       |         |       | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | AL   | Ib   |      |     |           |        |        | 24     |        | w        |       |          |          |       |         |       | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | rAX  | Ivds |      |     |           |        |        | 25     |        | W        |       |          |          |       |         |       | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | Eb   | Ib   |      |     |           |        |        | 80     |        | w        | 4     |          |          |       |         | L     | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | Evqp | Ivds |      |     |           |        |        | 81     |        | W        | 4     |          |          |       |         | L     | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| AND                | Evqp | Ibs  |      |     |           |        |        | 83     |        | SW       | 4     |          |          |       |         | L     | gen         | logical              |              |              | o..szapc      | o..sz.pc      | .....a..     | o......c                                         | Logical AND                                                                 |
| ANDNPD             | Vpd  | Wpd  |      |     | sse2      | 66     | 0F     | 55     |        |          | r     |          |          |       |         |       | pcksclr     | logical              |              |              |               |               |              |                                                  | Bitwise Logical AND NOT of Packed Double-FP Values                          |
| ANDNPS             | Vps  | Wps  |      |     | sse1      |        | 0F     | 55     |        |          | r     |          |          |       |         |       | simdfp      | logical              |              |              |               |               |              |                                                  | Bitwise Logical AND NOT of Packed Single-FP Values                          |
| ANDPD              | Vpd  | Wpd  |      |     | sse2      | 66     | 0F     | 54     |        |          | r     |          |          |       |         |       | pcksclr     | logical              |              |              |               |               |              |                                                  | Bitwise Logical AND of Packed Double-FP Values                              |
| ANDPS              | Vps  | Wps  |      |     | sse1      |        | 0F     | 54     |        |          | r     |          |          |       |         |       | simdfp      | logical              |              |              |               |               |              |                                                  | Bitwise Logical AND of Packed Single-FP Values                              |
| BLENDPD            | Vpd  | Wpd  | Ib   |     | sse41     | 66     | 0F     | 3A     | 0D     |          | r     | C2++     | D 33     |       |         |       | simdfp      | datamov              |              |              |               |               |              |                                                  | Blend Packed Double-FP Values                                               |
| BLENDPS            | Vps  | Wps  | Ib   |     | sse41     | 66     | 0F     | 3A     | 0C     |          | r     | C2++     | D 33     |       |         |       | simdfp      | datamov              |              |              |               |               |              |                                                  | Blend Packed Single-FP Values                                               |
| BSF                | Gvqp | Evqp |      |     |           |        | 0F     | BC     |        |          | r     |          | D 27     |       |         |       | gen         | bit                  |              |              | o..szapc      | ....z...      | o..s.apc     |                                                  | Bit Scan Forward                                                            |
| BSR                | Gvqp | Evqp |      |     |           |        | 0F     | BD     |        |          | r     |          | D 27     |       |         |       | gen         | bit                  |              |              | o..szapc      | ....z...      | o..s.apc     |                                                  | Bit Scan Reverse                                                            |
| BSWAP              | Zvqp |      |      |     |           |        | 0F     | C8     |        | +r       |       |          | D 29     |       |         |       | gen         | datamov              |              |              |               |               |              |                                                  | Byte Swap                                                                   |
| BT                 | Evqp | Gvqp |      |     |           |        | 0F     | A3     |        |          | r     |          |          |       |         |       | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test                                                                    |
| BT                 | Evqp | Ib   |      |     |           |        | 0F     | BA     |        |          | 4     |          |          |       |         |       | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test                                                                    |
| BTC                | Evqp | Ib   |      |     |           |        | 0F     | BA     |        |          | 7     |          |          |       |         | L     | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test and Complement                                                     |
| BTC                | Evqp | Gvqp |      |     |           |        | 0F     | BB     |        |          | r     |          |          |       |         | L     | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test and Complement                                                     |
| BTR                | Evqp | Gvqp |      |     |           |        | 0F     | B3     |        |          | r     |          |          |       |         | L     | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test and Reset                                                          |
| BTR                | Evqp | Ib   |      |     |           |        | 0F     | BA     |        |          | 6     |          |          |       |         | L     | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test and Reset                                                          |
| BTS                | Evqp | Gvqp |      |     |           |        | 0F     | AB     |        |          | r     |          |          |       |         | L     | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test and Set                                                            |
| BTS                | Evqp | Ib   |      |     |           |        | 0F     | BA     |        |          | 5     |          |          |       |         | L     | gen         | bit                  |              |              | o..szapc      | .......c      | o..szap.     |                                                  | Bit Test and Set                                                            |
| CALL               | Jvds |      |      |     |           |        |        | E8     |        |          |       |          | D 31     |       |         |       | gen         | \2. branch stack     |              |              |               |               |              | Call Procedure                                   |                                                                             |
| CALL               | Ev   |      |      |     |           |        |        | FF     |        |          | 2     |          |          |       |         |       | gen         | \2. branch stack     |              |              |               |               |              | Call Procedure                                   |                                                                             |
| CALL               | Eq   |      |      |     |           |        |        | FF     |        |          | 2     |          | D 31     | E     |         |       | gen         | \2. branch stack     |              |              |               |               |              | Call Procedure                                   |                                                                             |
| CALLF              | Mptp |      |      |     |           |        |        | FF     |        |          | 3     |          | D 12     |       |         |       | gen         | \2. branch stack     |              |              |               |               |              | Call Procedure                                   |                                                                             |
| CBW                | AX   | AL   |      |     | /3.       | /3.    | /3.    | /3. 98 | /3.    | /3.      | /3.   | /3.      | /3.      | /3. E | /3.     | /3.   | /3. gen     | /3. conver           | /3.          | /3.          | /3.           | /3.           | /3.          | /3.                                              | /3. Convert                                                                 |
| CWDE               | EAX  | AX   |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CDQE               | RAX  | EAX  |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CLC                |      |      |      |     |           |        |        | F8     |        |          |       |          |          |       |         |       | gen         | flgctrl              |              |              | .......c      | .......c      |              | .......c                                         | Clear Carry Flag                                                            |
| CLD                |      |      |      |     |           |        |        | FC     |        |          |       |          |          |       |         |       | gen         | flgctrl              |              |              | .d......      | .d......      |              | .d......                                         | Clear Direction Flag                                                        |
| CLFLUSH            | Mb   |      |      |     | sse2      |        | 0F     | AE     |        |          | 7     |          |          |       |         |       | cachect     |                      |              |              |               |               |              |                                                  | Flush Cache Line                                                            |
| CLI                |      |      |      |     |           |        |        | FA     |        |          |       |          |          |       | f 1     |       | gen         | flgctrl              |              |              | ..i.....      | ..i.....      |              | ..i.....                                         | Clear Interrupt Flag                                                        |
| CLTS               | CR0  |      |      |     |           |        | 0F     | 06     |        |          |       |          |          |       | 0       |       | system      |                      |              |              |               |               |              |                                                  | Clear Task-Switched Flag in CR0                                             |
| CMC                |      |      |      |     |           |        |        | F5     |        |          |       |          |          |       |         |       | gen         | flgctrl              |              | .......c     | .......c      | .......c      |              |                                                  | Complement Carry Flag                                                       |
| CMOVB              | Gvqp | Evqp |      |     | /3.       | /3.    | /3. 0F | /3. 42 | /3.    | /3. ttTn | /3. r | /3.      | /3. D 22 | /3.   | /3.     | /3.   | /3. gen     | /3. datamov          | /3.          | /3. .......c | /3.           | /3.           | /3.          | /3.                                              | /3. Conditional Move - below/not above or equal/carry (CF=1)                |
| CMOVNAE            | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVC              | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVBE             | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 46 | /2.    | /2. tTTn | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. ....z..c | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - below or equal/not above (CF=1 OR ZF=1)              |
| CMOVNA             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVL              | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 4C | /2.    | /2. TTtn | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. o..s.... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - less/not greater (SF!=OF)                            |
| CMOVNGE            | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVLE             | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 4E | /2.    | /2. TTTn | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. o..sz... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - less or equal/not greater ((ZF=1) OR (SF!=OF))       |
| CMOVNG             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNB             | Gvqp | Evqp |      |     | /3.       | /3.    | /3. 0F | /3. 43 | /3.    | /3. ttTN | /3. r | /3.      | /3. D 22 | /3.   | /3.     | /3.   | /3. gen     | /3. datamov          | /3.          | /3. .......c | /3.           | /3.           | /3.          | /3.                                              | /3. Conditional Move - not below/above or equal/not carry (CF=0)            |
| CMOVAE             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNC             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNBE            | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 47 | /2.    | /2. tTTN | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. ....z..c | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not below or equal/above (CF=0 AND ZF=0)             |
| CMOVA              | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNL             | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 4D | /2.    | /2. TTtN | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. o..s.... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not less/greater or equal (SF=OF)                    |
| CMOVGE             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNLE            | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 4F | /2.    | /2. TTTN | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. o..sz... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not less nor equal/greater ((ZF=0) AND (SF=OF))      |
| CMOVG              | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNO             | Gvqp | Evqp |      |     |           |        | 0F     | 41     |        | tttN     | r     |          | D 22     |       |         |       | gen         | datamov              |              | o.......     |               |               |              |                                                  | Conditional Move - not overflow (OF=0)                                      |
| CMOVNP             | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 4B | /2.    | /2. TtTN | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. ......p. | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not parity/parity odd (PF=0)                         |
| CMOVPO             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNS             | Gvqp | Evqp |      |     |           |        | 0F     | 49     |        | TttN     | r     |          | D 22     |       |         |       | gen         | datamov              |              | ...s....     |               |               |              |                                                  | Conditional Move - not sign (SF=0)                                          |
| CMOVNZ             | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 45 | /2.    | /2. tTtN | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. ....z... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not zero/not equal (ZF=0)                            |
| CMOVNE             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVO              | Gvqp | Evqp |      |     |           |        | 0F     | 40     |        | tttn     | r     |          | D 22     |       |         |       | gen         | datamov              |              | o.......     |               |               |              |                                                  | Conditional Move - overflow (OF=1)                                          |
| CMOVP              | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 4A | /2.    | /2. TtTn | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. ......p. | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - parity/parity even (PF=1)                            |
| CMOVPE             | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVS              | Gvqp | Evqp |      |     |           |        | 0F     | 48     |        | Tttn     | r     |          | D 22     |       |         |       | gen         | datamov              |              | ...s....     |               |               |              |                                                  | Conditional Move - sign (SF=1)                                              |
| CMOVZ              | Gvqp | Evqp |      |     | /2.       | /2.    | /2. 0F | /2. 44 | /2.    | /2. tTtn | /2. r | /2.      | /2. D 22 | /2.   | /2.     | /2.   | /2. gen     | /2. datamov          | /2.          | /2. ....z... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - zero/equal (ZF=1)                                    |
| CMOVE              | Gvqp | Evqp |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMP                | Eb   | Gb   |      |     |           |        |        | 38     |        | dw       | r     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | Evqp | Gvqp |      |     |           |        |        | 39     |        | dW       | r     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | Gb   | Eb   |      |     |           |        |        | 3A     |        | Dw       | r     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | Gvqp | Evqp |      |     |           |        |        | 3B     |        | DW       | r     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | AL   | Ib   |      |     |           |        |        | 3C     |        | w        |       |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | rAX  | Ivds |      |     |           |        |        | 3D     |        | W        |       |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | Eb   | Ib   |      |     |           |        |        | 80     |        | w        | 7     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | Evqp | Ivds |      |     |           |        |        | 81     |        | W        | 7     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                | Evqp | Ibs  |      |     |           |        |        | 83     |        | SW       | 7     |          |          |       |         |       | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMPPD              | Vpd  | Wpd  | Ib   |     | sse2      | 66     | 0F     | C2     |        |          | r     |          |          |       |         |       | pcksclr     | compar               |              |              |               |               |              |                                                  | Compare Packed Double-FP Values                                             |
| CMPPS              | Vps  | Wps  | Ib   |     | sse1      |        | 0F     | C2     |        |          | r     |          |          |       |         |       | simdfp      | compar               |              |              |               |               |              |                                                  | Compare Packed Single-FP Values                                             |
| CMPS               | Yb   | Xb   |      |     | /2.       | /2.    | /2.    | /2. A6 | /2.    | /2. w    | /2.   | /2.      | /2.      | /2.   | /2.     | /2.   | /2. gen     | /2. arith string     | /2. binary   | /2. .d...... | /2. o..szapc  | /2. o..szapc  | /2.          | /2.                                              | /2. Compare String Operands                                                 |
| CMPSB              | Yb   | Xb   |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMPS               | Yvqp | Xvqp |      |     | /4.       | /4.    | /4.    | /4. A7 | /4.    | /4. W    | /4.   | /4.      | /4.      | /4. E | /4.     | /4.   | /4. gen     | /4. arith string     | /4. binary   | /4. .d...... | /4. o..szapc  | /4. o..szapc  | /4.          | /4.                                              | /4. Compare String Operands                                                 |
| CMPSW              | Ywo  | Xwo  |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMPSD              | Ydo  | Xdo  |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMPSQ              | Yqp  | Xqp  |      |     |           |        |        |        |        |          |       |          |          |       |         |       |             |                      |              |              |               |               |              |                                                  |                                                                             |
