Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | JNB                  | COND_BR        | BASE           | I86            | 0f 83        |            |            | 0x0F 0x83 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNBE                 | COND_BR        | BASE           | I86            | 77           |            |            | 0x77 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNBE                 | COND_BR        | BASE           | I86            | 77           |            |            | 0x77 not64  BRANCH_HINT() BRDISP8()                                                                  | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNBE                 | COND_BR        | BASE           | I86            | 0f 87        |            |            | 0x0F 0x87 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JNBE                 | COND_BR        | BASE           | I86            | 0f 87        |            |            | 0x0F 0x87 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNL                  | COND_BR        | BASE           | I86            | 7d           |            |            | 0x7D mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNL                  | COND_BR        | BASE           | I86            | 7d           |            |            | 0x7D not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNL                  | COND_BR        | BASE           | I86            | 0f 8d        |            |            | 0x0F 0x8D not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JNL                  | COND_BR        | BASE           | I86            | 0f 8d        |            |            | 0x0F 0x8D mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNLE                 | COND_BR        | BASE           | I86            | 7f           |            |            | 0x7F mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNLE                 | COND_BR        | BASE           | I86            | 7f           |            |            | 0x7F not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNLE                 | COND_BR        | BASE           | I86            | 0f 8f        |            |            | 0x0F 0x8F not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JNLE                 | COND_BR        | BASE           | I86            | 0f 8f        |            |            | 0x0F 0x8F mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNO                  | COND_BR        | BASE           | I86            | 71           |            |            | 0x71 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNO                  | COND_BR        | BASE           | I86            | 71           |            |            | 0x71 not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNO                  | COND_BR        | BASE           | I86            | 0f 81        |            |            | 0x0F 0x81 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JNO                  | COND_BR        | BASE           | I86            | 0f 81        |            |            | 0x0F 0x81 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNP                  | COND_BR        | BASE           | I86            | 7b           |            |            | 0x7B mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNP                  | COND_BR        | BASE           | I86            | 7b           |            |            | 0x7B not64  BRANCH_HINT() BRDISP8()                                                                  | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNP                  | COND_BR        | BASE           | I86            | 0f 8b        |            |            | 0x0F 0x8B not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JNP                  | COND_BR        | BASE           | I86            | 0f 8b        |            |            | 0x0F 0x8B mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNS                  | COND_BR        | BASE           | I86            | 79           |            |            | 0x79 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNS                  | COND_BR        | BASE           | I86            | 79           |            |            | 0x79 not64  BRANCH_HINT() BRDISP8()                                                                  | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNS                  | COND_BR        | BASE           | I86            | 0f 89        |            |            | 0x0F 0x89 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JNS                  | COND_BR        | BASE           | I86            | 0f 89        |            |            | 0x0F 0x89 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNZ                  | COND_BR        | BASE           | I86            | 75           |            |            | 0x75 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNZ                  | COND_BR        | BASE           | I86            | 75           |            |            | 0x75 not64  BRANCH_HINT() BRDISP8()                                                                  | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNZ                  | COND_BR        | BASE           | I86            | 0f 85        |            |            | 0x0F 0x85 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JNZ                  | COND_BR        | BASE           | I86            | 0f 85        |            |            | 0x0F 0x85 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JO                   | COND_BR        | BASE           | I86            | 70           |            |            | 0x70 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JO                   | COND_BR        | BASE           | I86            | 70           |            |            | 0x70 not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JO                   | COND_BR        | BASE           | I86            | 0f 80        |            |            | 0x0F 0x80 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JO                   | COND_BR        | BASE           | I86            | 0f 80        |            |            | 0x0F 0x80 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JP                   | COND_BR        | BASE           | I86            | 7a           |            |            | 0x7A mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JP                   | COND_BR        | BASE           | I86            | 7a           |            |            | 0x7A not64  BRANCH_HINT() BRDISP8()                                                                  | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JP                   | COND_BR        | BASE           | I86            | 0f 8a        |            |            | 0x0F 0x8A not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JP                   | COND_BR        | BASE           | I86            | 0f 8a        |            |            | 0x0F 0x8A mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JRCXZ                | COND_BR        | BASE           | LONGMODE       | e3           |            |            | 0xE3 eamode64 BRDISP8() FORCE64()                                                                    | RELBR:r:b:i8 REG0=XED_REG_RCX:r:SUPP REG1=XED_REG_RIP:rw:SUPP
 | JS                   | COND_BR        | BASE           | I86            | 78           |            |            | 0x78 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JS                   | COND_BR        | BASE           | I86            | 78           |            |            | 0x78 not64  BRANCH_HINT() BRDISP8()                                                                  | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JS                   | COND_BR        | BASE           | I86            | 0f 88        |            |            | 0x0F 0x88 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JS                   | COND_BR        | BASE           | I86            | 0f 88        |            |            | 0x0F 0x88 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JZ                   | COND_BR        | BASE           | I86            | 74           |            |            | 0x74 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JZ                   | COND_BR        | BASE           | I86            | 74           |            |            | 0x74 not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JZ                   | COND_BR        | BASE           | I86            | 0f 84        |            |            | 0x0F 0x84 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JZ                   | COND_BR        | BASE           | I86            | 0f 84        |            |            | 0x0F 0x84 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | LOOP                 | COND_BR        | BASE           | I86            | e2           |            |            | 0xE2 DF64() BRDISP8() IMMUNE66_LOOP64()                                                              | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPE                | COND_BR        | BASE           | I86            | e1           |            |            | 0xE1 MODEP5=1 REP=0 DF64() BRDISP8() IMMUNE66_LOOP64()                                               | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPE                | COND_BR        | BASE           | I86            | e1           |            |            | 0xE1 MODEP5=1 REP=3 DF64() BRDISP8() IMMUNE66_LOOP64()                                               | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPE                | COND_BR        | BASE           | I86            | e1           |            |            | 0xE1 MODEP5=0       DF64() BRDISP8() IMMUNE66_LOOP64()                                               | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPE                | COND_BR        | BASE           | I86            | e0           |            |            | 0xE0 MODEP5=1 REP=3  DF64() BRDISP8() IMMUNE66_LOOP64()                                              | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPNE               | COND_BR        | BASE           | I86            | e0           |            |            | 0xE0 MODEP5=1  REP=0  DF64() BRDISP8() IMMUNE66_LOOP64()                                             | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPNE               | COND_BR        | BASE           | I86            | e0           |            |            | 0xE0 MODEP5=1  REP=2  DF64() BRDISP8() IMMUNE66_LOOP64()                                             | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPNE               | COND_BR        | BASE           | I86            | e0           |            |            | 0xE0 MODEP5=0         DF64() BRDISP8() IMMUNE66_LOOP64()                                             | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | LOOPNE               | COND_BR        | BASE           | I86            | e1           |            |            | 0xE1 MODEP5=1 REP=2  DF64() BRDISP8() IMMUNE66_LOOP64()                                              | RELBR:r:b:i8 REG0=ArCX():rw:SUPP REG1=rIP():rw:SUPP
 | XBEGIN               | COND_BR        | RTM            |                | c7           | 0b11       | 0b111      | 0xC7 MOD[0b11] MOD=3 REG[0b111] RM[0b000] BRDISPz()                                                  | RELBR:r:z REG0=rIP():rw:SUPP REG1=XED_REG_EAX:cw:SUPP
 | XEND                 | COND_BR        | RTM            |                | 0f 01        | 0b11       | 0b010      | 0x0F 0x01 MOD[0b11] MOD=3 REG[0b010] RM[0b101]  no_refining_prefix                                   | 
