Sequence   | Mnemonic                 | Expression                     | Instruction                                                  | M16      | M32      | M64      | CpuId      | Id                                                
50         | ADDPD                    | 66 0F 58 /r                    | ADDPD xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Addpd_xmm_xmmm128                                 
51         | ADDPS                    | NP 0F 58 /r                    | ADDPS xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE        | Addps_xmm_xmmm128                                 
52         | ADDSD                    | F2 0F 58 /r                    | ADDSD xmm1, xmm2/m64                                         | Y        | Y        | Y        | SSE2       | Addsd_xmm_xmmm64                                  
53         | ADDSS                    | F3 0F 58 /r                    | ADDSS xmm1, xmm2/m32                                         | Y        | Y        | Y        | SSE        | Addss_xmm_xmmm32                                  
54         | ADDSUBPD                 | 66 0F D0 /r                    | ADDSUBPD xmm1, xmm2/m128                                     | Y        | Y        | Y        | SSE3       | Addsubpd_xmm_xmmm128                              
55         | ADDSUBPS                 | F2 0F D0 /r                    | ADDSUBPS xmm1, xmm2/m128                                     | Y        | Y        | Y        | SSE3       | Addsubps_xmm_xmmm128                              
56         | ADOX                     | F3 0F 38 F6 /r                 | ADOX r32, r/m32                                              | Y        | Y        | Y        | ADX        | Adox_r32_rm32                                     
57         | ADOX                     | F3 REX.W 0F 38 F6 /r           | ADOX r64, r/m64                                              | N        | N        | Y        | ADX        | Adox_r64_rm64                                     
58         | AESDEC                   | 66 0F 38 DE /r                 | AESDEC xmm1, xmm2/m128                                       | Y        | Y        | Y        | AES        | Aesdec_xmm_xmmm128                                
59         | AESDECLAST               | 66 0F 38 DF /r                 | AESDECLAST xmm1, xmm2/m128                                   | Y        | Y        | Y        | AES        | Aesdeclast_xmm_xmmm128                            
60         | AESENC                   | 66 0F 38 DC /r                 | AESENC xmm1, xmm2/m128                                       | Y        | Y        | Y        | AES        | Aesenc_xmm_xmmm128                                
61         | AESENCLAST               | 66 0F 38 DD /r                 | AESENCLAST xmm1, xmm2/m128                                   | Y        | Y        | Y        | AES        | Aesenclast_xmm_xmmm128                            
62         | AESIMC                   | 66 0F 38 DB /r                 | AESIMC xmm1, xmm2/m128                                       | Y        | Y        | Y        | AES        | Aesimc_xmm_xmmm128                                
63         | AESKEYGENASSIST          | 66 0F 3A DF /r ib              | AESKEYGENASSIST xmm1, xmm2/m128, imm8                        | Y        | Y        | Y        | AES        | Aeskeygenassist_xmm_xmmm128_imm8                  
64         | AND                      | 20 /r                          | AND r/m8, r8                                                 | Y        | Y        | Y        | 8086+      | And_rm8_r8                                        
65         | AND                      | 21 /r                          | AND r/m16, r16                                               | Y        | Y        | Y        | 8086+      | And_rm16_r16                                      
66         | AND                      | 21 /r                          | AND r/m32, r32                                               | Y        | Y        | Y        | 386+       | And_rm32_r32                                      
67         | AND                      | REX.W 21 /r                    | AND r/m64, r64                                               | N        | N        | Y        | X64        | And_rm64_r64                                      
68         | AND                      | 22 /r                          | AND r8, r/m8                                                 | Y        | Y        | Y        | 8086+      | And_r8_rm8                                        
69         | AND                      | 23 /r                          | AND r16, r/m16                                               | Y        | Y        | Y        | 8086+      | And_r16_rm16                                      
70         | AND                      | 23 /r                          | AND r32, r/m32                                               | Y        | Y        | Y        | 386+       | And_r32_rm32                                      
71         | AND                      | REX.W 23 /r                    | AND r64, r/m64                                               | N        | N        | Y        | X64        | And_r64_rm64                                      
72         | AND                      | 24 ib                          | AND AL, imm8                                                 | Y        | Y        | Y        | 8086+      | And_AL_imm8                                       
73         | AND                      | 25 id                          | AND EAX, imm32                                               | Y        | Y        | Y        | 386+       | And_EAX_imm32                                     
74         | AND                      | REX.W 25 id                    | AND RAX, imm32                                               | N        | N        | Y        | X64        | And_RAX_imm32                                     
75         | AND                      | 25 iw                          | AND AX, imm16                                                | Y        | Y        | Y        | 8086+      | And_AX_imm16                                      
76         | AND                      | 80 /4 ib                       | AND r/m8, imm8                                               | Y        | Y        | Y        | 8086+      | And_rm8_imm8                                      
77         | AND                      | 81 /4 id                       | AND r/m32, imm32                                             | Y        | Y        | Y        | 386+       | And_rm32_imm32                                    
78         | AND                      | REX.W 81 /4 id                 | AND r/m64, imm32                                             | N        | N        | Y        | X64        | And_rm64_imm32                                    
79         | AND                      | 81 /4 iw                       | AND r/m16, imm16                                             | Y        | Y        | Y        | 8086+      | And_rm16_imm16                                    
80         | AND                      | 82 /4 ib                       | AND r/m8, imm8                                               | Y        | Y        | N        | 8086+      | And_rm8_imm8_82                                   
81         | AND                      | 83 /4 ib                       | AND r/m16, imm8                                              | Y        | Y        | Y        | 8086+      | And_rm16_imm8                                     
82         | AND                      | 83 /4 ib                       | AND r/m32, imm8                                              | Y        | Y        | Y        | 386+       | And_rm32_imm8                                     
83         | AND                      | REX.W 83 /4 ib                 | AND r/m64, imm8                                              | N        | N        | Y        | X64        | And_rm64_imm8                                     
84         | ANDNPD                   | 66 0F 55 /r                    | ANDNPD xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSE2       | Andnpd_xmm_xmmm128                                
85         | ANDNPS                   | NP 0F 55 /r                    | ANDNPS xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSE        | Andnps_xmm_xmmm128                                
86         | ANDN                     | VEX.LZ.0F38.W0 F2 /r           | ANDN r32a, r32b, r/m32                                       | Y        | Y        | Y        | BMI1       | VEX_Andn_r32_r32_rm32                             
87         | ANDN                     | VEX.LZ.0F38.W1 F2 /r           | ANDN r64a, r64b, r/m64                                       | N        | N        | Y        | BMI1       | VEX_Andn_r64_r64_rm64                             
88         | ANDPD                    | 66 0F 54 /r                    | ANDPD xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Andpd_xmm_xmmm128                                 
89         | ANDPS                    | NP 0F 54 /r                    | ANDPS xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE        | Andps_xmm_xmmm128                                 
90         | ARPL                     | 63 /r                          | ARPL r/m16, r16                                              | Y        | Y        | N        | 286+       | Arpl_rm16_r16                                     
91         | ARPL                     | 63 /r                          | ARPL r32/m16, r32                                            | Y        | Y        | N        | 386+       | Arpl_r32m16_r32                                   
92         | BEXTR                    | VEX.LZ.0F38.W0 F7 /r           | BEXTR r32a, r/m32, r32b                                      | Y        | Y        | Y        | BMI1       | VEX_Bextr_r32_rm32_r32                            
93         | BEXTR                    | VEX.LZ.0F38.W1 F7 /r           | BEXTR r64a, r/m64, r64b                                      | N        | N        | Y        | BMI1       | VEX_Bextr_r64_rm64_r64                            
94         | BEXTR                    | XOP.L0.XA.W0 10 /r id          | BEXTR r32, r/m32, imm32                                      | Y        | Y        | Y        | TBM        | XOP_Bextr_r32_rm32_imm32                          
95         | BEXTR                    | XOP.L0.XA.W1 10 /r id          | BEXTR r64, r/m64, imm32                                      | N        | N        | Y        | TBM        | XOP_Bextr_r64_rm64_imm32                          
96         | BLCFILL                  | XOP.L0.X9.W0 01 /1             | BLCFILL r32, r/m32                                           | Y        | Y        | Y        | TBM        | XOP_Blcfill_r32_rm32                              
97         | BLCFILL                  | XOP.L0.X9.W1 01 /1             | BLCFILL r64, r/m64                                           | N        | N        | Y        | TBM        | XOP_Blcfill_r64_rm64                              
98         | BLCIC                    | XOP.L0.X9.W0 01 /5             | BLCIC r32, r/m32                                             | Y        | Y        | Y        | TBM        | XOP_Blcic_r32_rm32                                
99         | BLCIC                    | XOP.L0.X9.W1 01 /5             | BLCIC r64, r/m64                                             | N        | N        | Y        | TBM        | XOP_Blcic_r64_rm64                                
100        | BLCI                     | XOP.L0.X9.W0 02 /6             | BLCI r32, r/m32                                              | Y        | Y        | Y        | TBM        | XOP_Blci_r32_rm32                                 
101        | BLCI                     | XOP.L0.X9.W1 02 /6             | BLCI r64, r/m64                                              | N        | N        | Y        | TBM        | XOP_Blci_r64_rm64                                 
102        | BLCMSK                   | XOP.L0.X9.W0 02 /1             | BLCMSK r32, r/m32                                            | Y        | Y        | Y        | TBM        | XOP_Blcmsk_r32_rm32                               
103        | BLCMSK                   | XOP.L0.X9.W1 02 /1             | BLCMSK r64, r/m64                                            | N        | N        | Y        | TBM        | XOP_Blcmsk_r64_rm64                               
104        | BLCS                     | XOP.L0.X9.W0 01 /3             | BLCS r32, r/m32                                              | Y        | Y        | Y        | TBM        | XOP_Blcs_r32_rm32                                 
105        | BLCS                     | XOP.L0.X9.W1 01 /3             | BLCS r64, r/m64                                              | N        | N        | Y        | TBM        | XOP_Blcs_r64_rm64                                 
106        | BLENDPD                  | 66 0F 3A 0D /r ib              | BLENDPD xmm1, xmm2/m128, imm8                                | Y        | Y        | Y        | SSE4.1     | Blendpd_xmm_xmmm128_imm8                          
107        | BLENDPS                  | 66 0F 3A 0C /r ib              | BLENDPS xmm1, xmm2/m128, imm8                                | Y        | Y        | Y        | SSE4.1     | Blendps_xmm_xmmm128_imm8                          
108        | BLENDVPD                 | 66 0F 38 15 /r                 | BLENDVPD xmm1, xmm2/m128, <XMM0>                             | Y        | Y        | Y        | SSE4.1     | Blendvpd_xmm_xmmm128                              
109        | BLENDVPS                 | 66 0F 38 14 /r                 | BLENDVPS xmm1, xmm2/m128, <XMM0>                             | Y        | Y        | Y        | SSE4.1     | Blendvps_xmm_xmmm128                              
110        | BLSFILL                  | XOP.L0.X9.W0 01 /2             | BLSFILL r32, r/m32                                           | Y        | Y        | Y        | TBM        | XOP_Blsfill_r32_rm32                              
111        | BLSFILL                  | XOP.L0.X9.W1 01 /2             | BLSFILL r64, r/m64                                           | N        | N        | Y        | TBM        | XOP_Blsfill_r64_rm64                              
112        | BLSIC                    | XOP.L0.X9.W0 01 /6             | BLSIC r32, r/m32                                             | Y        | Y        | Y        | TBM        | XOP_Blsic_r32_rm32                                
113        | BLSIC                    | XOP.L0.X9.W1 01 /6             | BLSIC r64, r/m64                                             | N        | N        | Y        | TBM        | XOP_Blsic_r64_rm64                                
114        | BLSI                     | VEX.LZ.0F38.W0 F3 /3           | BLSI r32, r/m32                                              | Y        | Y        | Y        | BMI1       | VEX_Blsi_r32_rm32                                 
115        | BLSI                     | VEX.LZ.0F38.W1 F3 /3           | BLSI r64, r/m64                                              | N        | N        | Y        | BMI1       | VEX_Blsi_r64_rm64                                 
116        | BLSMSK                   | VEX.LZ.0F38.W0 F3 /2           | BLSMSK r32, r/m32                                            | Y        | Y        | Y        | BMI1       | VEX_Blsmsk_r32_rm32                               
117        | BLSMSK                   | VEX.LZ.0F38.W1 F3 /2           | BLSMSK r64, r/m64                                            | N        | N        | Y        | BMI1       | VEX_Blsmsk_r64_rm64                               
118        | BLSR                     | VEX.LZ.0F38.W0 F3 /1           | BLSR r32, r/m32                                              | Y        | Y        | Y        | BMI1       | VEX_Blsr_r32_rm32                                 
119        | BLSR                     | VEX.LZ.0F38.W1 F3 /1           | BLSR r64, r/m64                                              | N        | N        | Y        | BMI1       | VEX_Blsr_r64_rm64                                 
120        | BNDCL                    | F3 0F 1A /r                    | BNDCL bnd, r/m32                                             | Y        | Y        | N        | MPX        | Bndcl_bnd_rm32                                    
121        | BNDCL                    | F3 0F 1A /r                    | BNDCL bnd, r/m64                                             | N        | N        | Y        | MPX        | Bndcl_bnd_rm64                                    
122        | BNDCN                    | F2 0F 1B /r                    | BNDCN bnd, r/m32                                             | Y        | Y        | N        | MPX        | Bndcn_bnd_rm32                                    
123        | BNDCN                    | F2 0F 1B /r                    | BNDCN bnd, r/m64                                             | N        | N        | Y        | MPX        | Bndcn_bnd_rm64                                    
124        | BNDCU                    | F2 0F 1A /r                    | BNDCU bnd, r/m32                                             | Y        | Y        | N        | MPX        | Bndcu_bnd_rm32                                    
125        | BNDCU                    | F2 0F 1A /r                    | BNDCU bnd, r/m64                                             | N        | N        | Y        | MPX        | Bndcu_bnd_rm64                                    
126        | BNDLDX                   | NP 0F 1A /r                    | BNDLDX bnd, mib                                              | Y        | Y        | Y        | MPX        | Bndldx_bnd_mib                                    
127        | BNDMK                    | F3 0F 1B /r                    | BNDMK bnd, m32                                               | Y        | Y        | N        | MPX        | Bndmk_bnd_m32                                     
128        | BNDMK                    | F3 0F 1B /r                    | BNDMK bnd, m64                                               | N        | N        | Y        | MPX        | Bndmk_bnd_m64                                     
129        | BNDMOV                   | 66 0F 1A /r                    | BNDMOV bnd1, bnd2/m64                                        | Y        | Y        | N        | MPX        | Bndmov_bnd_bndm64                                 
130        | BNDMOV                   | 66 0F 1A /r                    | BNDMOV bnd1, bnd2/m128                                       | N        | N        | Y        | MPX        | Bndmov_bnd_bndm128                                
131        | BNDMOV                   | 66 0F 1B /r                    | BNDMOV bnd1/m64, bnd2                                        | Y        | Y        | N        | MPX        | Bndmov_bndm64_bnd                                 
132        | BNDMOV                   | 66 0F 1B /r                    | BNDMOV bnd1/m128, bnd2                                       | N        | N        | Y        | MPX        | Bndmov_bndm128_bnd                                
133        | BNDSTX                   | NP 0F 1B /r                    | BNDSTX mib, bnd                                              | Y        | Y        | Y        | MPX        | Bndstx_mib_bnd                                    
134        | BOUND                    | 62 /r                          | BOUND r16, m16&16                                            | Y        | Y        | N        | 186+       | Bound_r16_m1616                                   
135        | BOUND                    | 62 /r                          | BOUND r32, m32&32                                            | Y        | Y        | N        | 386+       | Bound_r32_m3232                                   
136        | BSF                      | 0F BC /r                       | BSF r16, r/m16                                               | Y        | Y        | Y        | 386+       | Bsf_r16_rm16                                      
137        | BSF                      | 0F BC /r                       | BSF r32, r/m32                                               | Y        | Y        | Y        | 386+       | Bsf_r32_rm32                                      
138        | BSF                      | REX.W 0F BC /r                 | BSF r64, r/m64                                               | N        | N        | Y        | X64        | Bsf_r64_rm64                                      
139        | BSR                      | 0F BD /r                       | BSR r16, r/m16                                               | Y        | Y        | Y        | 386+       | Bsr_r16_rm16                                      
140        | BSR                      | 0F BD /r                       | BSR r32, r/m32                                               | Y        | Y        | Y        | 386+       | Bsr_r32_rm32                                      
141        | BSR                      | REX.W 0F BD /r                 | BSR r64, r/m64                                               | N        | N        | Y        | X64        | Bsr_r64_rm64                                      
142        | BSWAP                    | 0F C8+rd                       | BSWAP r32                                                    | Y        | Y        | Y        | 486+       | Bswap_r32                                         
143        | BSWAP                    | REX.W 0F C8+ro                 | BSWAP r64                                                    | N        | N        | Y        | X64        | Bswap_r64                                         
144        | BSWAP                    | 0F C8+rw                       | BSWAP r16                                                    | Y        | Y        | Y        | 486+       | Bswap_r16                                         
145        | BT                       | 0F A3 /r                       | BT r/m16, r16                                                | Y        | Y        | Y        | 386+       | Bt_rm16_r16                                       
146        | BT                       | 0F A3 /r                       | BT r/m32, r32                                                | Y        | Y        | Y        | 386+       | Bt_rm32_r32                                       
147        | BT                       | REX.W 0F A3 /r                 | BT r/m64, r64                                                | N        | N        | Y        | X64        | Bt_rm64_r64                                       
148        | BT                       | 0F BA /4 ib                    | BT r/m16, imm8                                               | Y        | Y        | Y        | 386+       | Bt_rm16_imm8                                      
149        | BT                       | 0F BA /4 ib                    | BT r/m32, imm8                                               | Y        | Y        | Y        | 386+       | Bt_rm32_imm8                                      
150        | BT                       | REX.W 0F BA /4 ib              | BT r/m64, imm8                                               | N        | N        | Y        | X64        | Bt_rm64_imm8                                      
151        | BTC                      | 0F BA /7 ib                    | BTC r/m16, imm8                                              | Y        | Y        | Y        | 386+       | Btc_rm16_imm8                                     
152        | BTC                      | 0F BA /7 ib                    | BTC r/m32, imm8                                              | Y        | Y        | Y        | 386+       | Btc_rm32_imm8                                     
153        | BTC                      | REX.W 0F BA /7 ib              | BTC r/m64, imm8                                              | N        | N        | Y        | X64        | Btc_rm64_imm8                                     
154        | BTC                      | 0F BB /r                       | BTC r/m16, r16                                               | Y        | Y        | Y        | 386+       | Btc_rm16_r16                                      
155        | BTC                      | 0F BB /r                       | BTC r/m32, r32                                               | Y        | Y        | Y        | 386+       | Btc_rm32_r32                                      
156        | BTC                      | REX.W 0F BB /r                 | BTC r/m64, r64                                               | N        | N        | Y        | X64        | Btc_rm64_r64                                      
157        | BTR                      | 0F B3 /r                       | BTR r/m16, r16                                               | Y        | Y        | Y        | 386+       | Btr_rm16_r16                                      
158        | BTR                      | 0F B3 /r                       | BTR r/m32, r32                                               | Y        | Y        | Y        | 386+       | Btr_rm32_r32                                      
159        | BTR                      | REX.W 0F B3 /r                 | BTR r/m64, r64                                               | N        | N        | Y        | X64        | Btr_rm64_r64                                      
160        | BTR                      | 0F BA /6 ib                    | BTR r/m16, imm8                                              | Y        | Y        | Y        | 386+       | Btr_rm16_imm8                                     
161        | BTR                      | 0F BA /6 ib                    | BTR r/m32, imm8                                              | Y        | Y        | Y        | 386+       | Btr_rm32_imm8                                     
162        | BTR                      | REX.W 0F BA /6 ib              | BTR r/m64, imm8                                              | N        | N        | Y        | X64        | Btr_rm64_imm8                                     
163        | BTS                      | 0F AB /r                       | BTS r/m16, r16                                               | Y        | Y        | Y        | 386+       | Bts_rm16_r16                                      
164        | BTS                      | 0F AB /r                       | BTS r/m32, r32                                               | Y        | Y        | Y        | 386+       | Bts_rm32_r32                                      
165        | BTS                      | REX.W 0F AB /r                 | BTS r/m64, r64                                               | N        | N        | Y        | X64        | Bts_rm64_r64                                      
166        | BTS                      | 0F BA /5 ib                    | BTS r/m16, imm8                                              | Y        | Y        | Y        | 386+       | Bts_rm16_imm8                                     
167        | BTS                      | 0F BA /5 ib                    | BTS r/m32, imm8                                              | Y        | Y        | Y        | 386+       | Bts_rm32_imm8                                     
168        | BTS                      | REX.W 0F BA /5 ib              | BTS r/m64, imm8                                              | N        | N        | Y        | X64        | Bts_rm64_imm8                                     
169        | BZHI                     | VEX.LZ.0F38.W0 F5 /r           | BZHI r32a, r/m32, r32b                                       | Y        | Y        | Y        | BMI2       | VEX_Bzhi_r32_rm32_r32                             
170        | BZHI                     | VEX.LZ.0F38.W1 F5 /r           | BZHI r64a, r/m64, r64b                                       | N        | N        | Y        | BMI2       | VEX_Bzhi_r64_rm64_r64                             
171        | CALL                     | 9A cd                          | CALL ptr16:16                                                | Y        | Y        | N        | 8086+      | Call_ptr1616                                      
172        | CALL                     | 9A cp                          | CALL ptr16:32                                                | Y        | Y        | N        | 386+       | Call_ptr1632                                      
173        | CALL                     | E8 cd                          | CALL rel32                                                   | Y        | Y        | N        | 386+       | Call_rel32_32                                     
174        | CALL                     | E8 cd                          | CALL rel32                                                   | N        | N        | Y        | X64        | Call_rel32_64                                     
175        | CALL                     | E8 cw                          | CALL rel16                                                   | Y        | Y        | Y        | 8086+      | Call_rel16                                        
176        | CALL                     | FF /2                          | CALL r/m16                                                   | Y        | Y        | Y        | 8086+      | Call_rm16                                         
177        | CALL                     | FF /2                          | CALL r/m32                                                   | Y        | Y        | N        | 386+       | Call_rm32                                         
178        | CALL                     | FF /2                          | CALL r/m64                                                   | N        | N        | Y        | X64        | Call_rm64                                         
179        | CALL                     | FF /3                          | CALL m16:16                                                  | Y        | Y        | Y        | 8086+      | Call_m1616                                        
180        | CALL                     | FF /3                          | CALL m16:32                                                  | Y        | Y        | Y        | 386+       | Call_m1632                                        
181        | CALL                     | REX.W FF /3                    | CALL m16:64                                                  | N        | N        | Y        | X64        | Call_m1664                                        
182        | CBW                      | 98                             | CBW                                                          | Y        | Y        | Y        | 8086+      | Cbw                                               
183        | CDQ                      | 99                             | CDQ                                                          | Y        | Y        | Y        | 386+       | Cdq                                               
184        | CDQE                     | REX.W 98                       | CDQE                                                         | N        | N        | Y        | X64        | Cdqe                                              
185        | CL1INVMB                 | 0F 0A                          | CL1INVMB                                                     | Y        | Y        | Y        | CL1INVMB   | Cl1invmb                                          
186        | CLAC                     | NP 0F 01 CA                    | CLAC                                                         | Y        | Y        | Y        | SMAP       | Clac                                              
187        | CLC                      | F8                             | CLC                                                          | Y        | Y        | Y        | 8086+      | Clc                                               
188        | CLDEMOTE                 | NP 0F 1C /0                    | CLDEMOTE m8                                                  | Y        | Y        | Y        | CLDEMOTE   | Cldemote_m8                                       
189        | CLD                      | FC                             | CLD                                                          | Y        | Y        | Y        | 8086+      | Cld                                               
190        | CLFLUSH                  | NP 0F AE /7                    | CLFLUSH m8                                                   | Y        | Y        | Y        | CLFSH      | Clflush_m8                                        
191        | CLFLUSHOPT               | 66 0F AE /7                    | CLFLUSHOPT m8                                                | Y        | Y        | Y        | CLFLUSHOPT | Clflushopt_m8                                     
192        | CLGI                     | 0F 01 DD                       | CLGI                                                         | Y        | Y        | Y        | SVM        | Clgi                                              
