# Op Codes
------------------------------------------------------------------------------------------------------------------------------------------------------
| Opcode   | Instruction | Op/En | 64-Bit Mode | Compat/Leg Mode | Example                            | Description                                                                    |
| 7D cb    | JNL rel8    | D     | Valid       | Valid           |                                    | Jump short if not less (SF=OF).                                                |
| 0F 8D cw | JNL rel16   | D     | N.S.        | Valid           |                                    | Jump near if not less (SF=OF). Not supported in 64-bit mode.                   |
| 0F 8D cd | JNL rel32   | D     | Valid       | Valid           |                                    | Jump near if not less (SF=OF).                                                 |
| 7E cb    | JLE rel8    | D     | Valid       | Valid           |                                    | Jump short if less or equal (ZF=1 or SF≠ OF).                                 |
| 0F 8E cw | JLE rel16   | D     | N.S.        | Valid           |                                    | Jump near if less or equal (ZF=1 or SF≠ OF). Not supported in 64-bit mode.    |
| 0F 8E cd | JLE rel32   | D     | Valid       | Valid           |                                    | Jump near if less or equal (ZF=1 or SF≠ OF).                                  |
| 7F cb    | JNLE rel8   | D     | Valid       | Valid           |                                    | Jump short if not less or equal (ZF=0 and SF=OF).                              |
| 0F 8F cw | JNLE rel16  | D     | N.S.        | Valid           |                                    | Jump near if not less or equal (ZF=0 and SF=OF). Not supported in 64-bit mode. |
| 0F 8F cd | JNLE rel32  | D     | Valid       | Valid           |                                    | Jump near if not less or equal (ZF=0 and SF=OF).                               |
| 76 cb    | JNA rel8    | D     | Valid       | Valid           |                                    | Jump short if not above (CF=1 or ZF=1).                                        |
| 0F 86 cw | JNA rel16   | D     | N.S.        | Valid           |                                    | Jump near if not above (CF=1 or ZF=1). Not supported in 64-bit mode.           |
| 0F 86 cd | JNA rel32   | D     | Valid       | Valid           |                                    | Jump near if not above (CF=1 or ZF=1).                                         |
| 7E cb    | JNG rel8    | D     | Valid       | Valid           |                                    | Jump short if not greater (ZF=1 or SF≠ OF).                                   |
| 0F 8E cw | JNG rel16   | D     | N.S.        | Valid           |                                    | Jump near if not greater (ZF=1 or SF≠ OF). Not supported in 64-bit mode.      |
| 0F 8E cd | JNG rel32   | D     | Valid       | Valid           |                                    | Jump near if not greater (ZF=1 or SF≠ OF).                                    |
| 7C cb    | JNGE rel8   | D     | Valid       | Valid           |                                    | Jump short if not greater or equal (SF≠ OF).                                  |
| 0F 8C cw | JNGE rel16  | D     | N.S.        | Valid           |                                    | Jump near if not greater or equal (SF≠ OF). Not supported in 64-bit mode.     |
| 0F 8C cd | JNGE rel32  | D     | Valid       | Valid           |                                    | Jump near if not greater or equal (SF≠ OF).                                   |
| 7B cb    | JPO rel8    | D     | Valid       | Valid           |                                    | Jump short if parity odd (PF=0).                                               |
| 0F 8B cw | JPO rel16   | D     | N.S.        | Valid           |                                    | Jump near if parity odd (PF=0). Not supported in 64-bit mode.                  |
| 0F 8B cd | JPO rel32   | D     | Valid       | Valid           |                                    | Jump near if parity odd (PF=0).                                                |
| E3 cb    | JCXZ rel8   | D     | N.E.        | Valid           |                                    | Jump short if CX register is 0.                                                |
| E3 cb    | JECXZ rel8  | D     | Valid       | Valid           |                                    | Jump short if ECX register is 0.                                               |
| E3 cb    | JRCXZ rel8  | D     | Valid       | N.E.            |                                    | Jump short if RCX register is 0.                                               |


# Specs
------------------------------------------------------------------------------------------------------------------------------------------------------
| Expression | Instruction   | M16      | M32      | M64      | CpuId      | Id                                                
| 0F 87 cd   | JA rel32      | Y        | Y        | N        | 386+       | Ja_rel32_32                                       
| 0F 87 cd   | JA rel32      | N        | N        | Y        | X64        | Ja_rel32_64                                       
| 0F 87 cw   | JA rel16      | Y        | Y        | Y        | 386+       | Ja_rel16                                          

| 77 cb      | JA rel8       | Y        | Y        | Y        | 8086+      | Ja_rel8_16                                        
| 77 cb      | JA rel8       | Y        | Y        | N        | 386+       | Ja_rel8_32                                        
| 77 cb      | JA rel8       | N        | N        | Y        | X64        | Ja_rel8_64                                        

| 0F 83 cd   | JAE rel32     | Y        | Y        | N        | 386+       | Jae_rel32_32                                      
| 0F 83 cd   | JAE rel32     | N        | N        | Y        | X64        | Jae_rel32_64                                      
| 0F 83 cw   | JAE rel16     | Y        | Y        | Y        | 386+       | Jae_rel16                                         
| 73 cb      | JAE rel8      | Y        | Y        | Y        | 8086+      | Jae_rel8_16                                       
| 73 cb      | JAE rel8      | Y        | Y        | N        | 386+       | Jae_rel8_32                                       
| 73 cb      | JAE rel8      | N        | N        | Y        | X64        | Jae_rel8_64                                       

| 0F 82 cd   | JB rel32      | Y        | Y        | N        | 386+       | Jb_rel32_32                                       
| 0F 82 cd   | JB rel32      | N        | N        | Y        | X64        | Jb_rel32_64                                       
| 0F 82 cw   | JB rel16      | Y        | Y        | Y        | 386+       | Jb_rel16                                          
| 72 cb      | JB rel8       | Y        | Y        | Y        | 8086+      | Jb_rel8_16                                        
| 72 cb      | JB rel8       | Y        | Y        | N        | 386+       | Jb_rel8_32                                        
| 72 cb      | JB rel8       | N        | N        | Y        | X64        | Jb_rel8_64                                        

| 0F 86 cd   | JBE rel32     | Y        | Y        | N        | 386+       | Jbe_rel32_32                                      
| 0F 86 cd   | JBE rel32     | N        | N        | Y        | X64        | Jbe_rel32_64                                      
| 0F 86 cw   | JBE rel16     | Y        | Y        | Y        | 386+       | Jbe_rel16                                         
| 76 cb      | JBE rel8      | Y        | Y        | Y        | 8086+      | Jbe_rel8_16                                       
| 76 cb      | JBE rel8      | Y        | Y        | N        | 386+       | Jbe_rel8_32                                       
| 76 cb      | JBE rel8      | N        | N        | Y        | X64        | Jbe_rel8_64                                       

| a16 o16 E3 | JCXZ rel8     | Y        | Y        | N        | 8086+      | Jcxz_rel8_16                                      
| a16 o32 E3 | JCXZ rel8     | Y        | Y        | N        | 386+       | Jcxz_rel8_32                                      

| 0F 84 cd   | JE rel32      | Y        | Y        | N        | 386+       | Je_rel32_32                                       
| 0F 84 cd   | JE rel32      | N        | N        | Y        | X64        | Je_rel32_64                                       
| 0F 84 cw   | JE rel16      | Y        | Y        | Y        | 386+       | Je_rel16                                          
| 74 cb      | JE rel8       | Y        | Y        | Y        | 8086+      | Je_rel8_16                                        
| 74 cb      | JE rel8       | Y        | Y        | N        | 386+       | Je_rel8_32                                        
| 74 cb      | JE rel8       | N        | N        | Y        | X64        | Je_rel8_64                                        
| a32 E3 cb  | JECXZ rel8    | N        | N        | Y        | X64        | Jecxz_rel8_64                                     
| a32 o16 E3 | JECXZ rel8    | Y        | Y        | Y        | 386+       | Jecxz_rel8_16                                     
| a32 o32 E3 | JECXZ rel8    | Y        | Y        | N        | 386+       | Jecxz_rel8_32                                     
| 0F 8F cd   | JG rel32      | Y        | Y        | N        | 386+       | Jg_rel32_32                                       
| 0F 8F cd   | JG rel32      | N        | N        | Y        | X64        | Jg_rel32_64                                       
| 0F 8F cw   | JG rel16      | Y        | Y        | Y        | 386+       | Jg_rel16                                          
| 7F cb      | JG rel8       | Y        | Y        | Y        | 8086+      | Jg_rel8_16                                        
| 7F cb      | JG rel8       | Y        | Y        | N        | 386+       | Jg_rel8_32                                        
| 7F cb      | JG rel8       | N        | N        | Y        | X64        | Jg_rel8_64                                        
| 0F 8D cd   | JGE rel32     | Y        | Y        | N        | 386+       | Jge_rel32_32                                      
| 0F 8D cd   | JGE rel32     | N        | N        | Y        | X64        | Jge_rel32_64                                      
| 0F 8D cw   | JGE rel16     | Y        | Y        | Y        | 386+       | Jge_rel16                                         
| 7D cb      | JGE rel8      | Y        | Y        | Y        | 8086+      | Jge_rel8_16                                       
| 7D cb      | JGE rel8      | Y        | Y        | N        | 386+       | Jge_rel8_32                                       
| 7D cb      | JGE rel8      | N        | N        | Y        | X64        | Jge_rel8_64                                       
| 0F 8C cd   | JL rel32      | Y        | Y        | N        | 386+       | Jl_rel32_32                                       
| 0F 8C cd   | JL rel32      | N        | N        | Y        | X64        | Jl_rel32_64                                       
| 0F 8C cw   | JL rel16      | Y        | Y        | Y        | 386+       | Jl_rel16                                          
| 7C cb      | JL rel8       | Y        | Y        | Y        | 8086+      | Jl_rel8_16                                        
| 7C cb      | JL rel8       | Y        | Y        | N        | 386+       | Jl_rel8_32                                        
| 7C cb      | JL rel8       | N        | N        | Y        | X64        | Jl_rel8_64                                        
| 0F 8E cd   | JLE rel32     | Y        | Y        | N        | 386+       | Jle_rel32_32                                      
| 0F 8E cd   | JLE rel32     | N        | N        | Y        | X64        | Jle_rel32_64                                      
| 0F 8E cw   | JLE rel16     | Y        | Y        | Y        | 386+       | Jle_rel16                                         
| 7E cb      | JLE rel8      | Y        | Y        | Y        | 8086+      | Jle_rel8_16                                       
| 7E cb      | JLE rel8      | Y        | Y        | N        | 386+       | Jle_rel8_32                                       
| 7E cb      | JLE rel8      | N        | N        | Y        | X64        | Jle_rel8_64                                       
| 0F 00 /6   | JMPE r/m16    | Y        | Y        | N        | IA-64      | Jmpe_rm16                                         
| 0F 00 /6   | JMPE r/m32    | Y        | Y        | N        | IA-64      | Jmpe_rm32                                         
| 0F B8 cd   | JMPE disp32   | Y        | Y        | N        | IA-64      | Jmpe_disp32                                       
| 0F B8 cw   | JMPE disp16   | Y        | Y        | N        | IA-64      | Jmpe_disp16                                       
| E9 cd      | JMP rel32     | Y        | Y        | N        | 386+       | Jmp_rel32_32                                      
| E9 cd      | JMP rel32     | N        | N        | Y        | X64        | Jmp_rel32_64                                      
| E9 cw      | JMP rel16     | Y        | Y        | Y        | 8086+      | Jmp_rel16                                         
| EA cd      | JMP ptr16:1   | Y        | Y        | N        | 8086+      | Jmp_ptr1616                                       
| EA cp      | JMP ptr16:3   | Y        | Y        | N        | 386+       | Jmp_ptr1632                                       
| EB cb      | JMP rel8      | Y        | Y        | Y        | 8086+      | Jmp_rel8_16                                       
| EB cb      | JMP rel8      | Y        | Y        | N        | 386+       | Jmp_rel8_32                                       
| EB cb      | JMP rel8      | N        | N        | Y        | X64        | Jmp_rel8_64                                       
| FF /4      | JMP r/m16     | Y        | Y        | Y        | 8086+      | Jmp_rm16                                          
| FF /4      | JMP r/m32     | Y        | Y        | N        | 386+       | Jmp_rm32                                          
| FF /4      | JMP r/m64     | N        | N        | Y        | X64        | Jmp_rm64                                          
| FF /5      | JMP m16:16    | Y        | Y        | Y        | 8086+      | Jmp_m1616                                         
| FF /5      | JMP m16:32    | Y        | Y        | Y        | 386+       | Jmp_m1632                                         
| REX.W FF / | JMP m16:64    | N        | N        | Y        | X64        | Jmp_m1664                                         
| 0F 85 cd   | JNE rel32     | Y        | Y        | N        | 386+       | Jne_rel32_32                                      
| 0F 85 cd   | JNE rel32     | N        | N        | Y        | X64        | Jne_rel32_64                                      
| 0F 85 cw   | JNE rel16     | Y        | Y        | Y        | 386+       | Jne_rel16                                         
| 75 cb      | JNE rel8      | Y        | Y        | Y        | 8086+      | Jne_rel8_16                                       
| 75 cb      | JNE rel8      | Y        | Y        | N        | 386+       | Jne_rel8_32                                       
| 75 cb      | JNE rel8      | N        | N        | Y        | X64        | Jne_rel8_64                                       
| 0F 81 cd   | JNO rel32     | Y        | Y        | N        | 386+       | Jno_rel32_32                                      
| 0F 81 cd   | JNO rel32     | N        | N        | Y        | X64        | Jno_rel32_64                                      
| 0F 81 cw   | JNO rel16     | Y        | Y        | Y        | 386+       | Jno_rel16                                         
| 71 cb      | JNO rel8      | Y        | Y        | Y        | 8086+      | Jno_rel8_16                                       
| 71 cb      | JNO rel8      | Y        | Y        | N        | 386+       | Jno_rel8_32                                       
| 71 cb      | JNO rel8      | N        | N        | Y        | X64        | Jno_rel8_64                                       
| 0F 8B cd   | JNP rel32     | Y        | Y        | N        | 386+       | Jnp_rel32_32                                      
| 0F 8B cd   | JNP rel32     | N        | N        | Y        | X64        | Jnp_rel32_64                                      
| 0F 8B cw   | JNP rel16     | Y        | Y        | Y        | 386+       | Jnp_rel16                                         
| 7B cb      | JNP rel8      | Y        | Y        | Y        | 8086+      | Jnp_rel8_16                                       
| 7B cb      | JNP rel8      | Y        | Y        | N        | 386+       | Jnp_rel8_32                                       
| 7B cb      | JNP rel8      | N        | N        | Y        | X64        | Jnp_rel8_64                                       
| 0F 89 cd   | JNS rel32     | Y        | Y        | N        | 386+       | Jns_rel32_32                                      
| 0F 89 cd   | JNS rel32     | N        | N        | Y        | X64        | Jns_rel32_64                                      
| 0F 89 cw   | JNS rel16     | Y        | Y        | Y        | 386+       | Jns_rel16                                         
| 79 cb      | JNS rel8      | Y        | Y        | Y        | 8086+      | Jns_rel8_16                                       
| 79 cb      | JNS rel8      | Y        | Y        | N        | 386+       | Jns_rel8_32                                       
| 79 cb      | JNS rel8      | N        | N        | Y        | X64        | Jns_rel8_64                                       
| 0F 80 cd   | JO rel32      | Y        | Y        | N        | 386+       | Jo_rel32_32                                       
| 0F 80 cd   | JO rel32      | N        | N        | Y        | X64        | Jo_rel32_64                                       
| 0F 80 cw   | JO rel16      | Y        | Y        | Y        | 386+       | Jo_rel16                                          
| 70 cb      | JO rel8       | Y        | Y        | Y        | 8086+      | Jo_rel8_16                                        
| 70 cb      | JO rel8       | Y        | Y        | N        | 386+       | Jo_rel8_32                                        
| 70 cb      | JO rel8       | N        | N        | Y        | X64        | Jo_rel8_64                                        
| 0F 8A cd   | JP rel32      | Y        | Y        | N        | 386+       | Jp_rel32_32                                       
| 0F 8A cd   | JP rel32      | N        | N        | Y        | X64        | Jp_rel32_64                                       
| 0F 8A cw   | JP rel16      | Y        | Y        | Y        | 386+       | Jp_rel16                                          
| 7A cb      | JP rel8       | Y        | Y        | Y        | 8086+      | Jp_rel8_16                                        
| 7A cb      | JP rel8       | Y        | Y        | N        | 386+       | Jp_rel8_32                                        
| 7A cb      | JP rel8       | N        | N        | Y        | X64        | Jp_rel8_64                                        
| E3 cb      | JRCXZ rel8    | N        | N        | Y        | X64        | Jrcxz_rel8_16                                     
| E3 cb      | JRCXZ rel8    | N        | N        | Y        | X64        | Jrcxz_rel8_64                                     
| 0F 88 cd   | JS rel32      | Y        | Y        | N        | 386+       | Js_rel32_32                                       
| 0F 88 cd   | JS rel32      | N        | N        | Y        | X64        | Js_rel32_64                                       
| 0F 88 cw   | JS rel16      | Y        | Y        | Y        | 386+       | Js_rel16                                          
| 78 cb      | JS rel8       | Y        | Y        | Y        | 8086+      | Js_rel8_16                                        
| 78 cb      | JS rel8       | Y        | Y        | N        | 386+       | Js_rel8_32                                        
| 78 cb      | JS rel8       | N        | N        | Y        | X64        | Js_rel8_64                                        

-----------------------------------------------------------------------------------
| Jo_rel8_16   | OF         |          | Read |
| Jo_rel8_32   | OF         | INTEL386 | Read |
| Jo_rel8_64   | OF         | X64      | Read |
| Jno_rel8_16  | OF         |          | Read |
| Jno_rel8_32  | OF         | INTEL386 | Read |
| Jno_rel8_64  | OF         | X64      | Read |
| Jb_rel8_16   | CF         |          | Read |
| Jb_rel8_32   | CF         | INTEL386 | Read |
| Jb_rel8_64   | CF         | X64      | Read |
| Jae_rel8_16  | CF         |          | Read |
| Jae_rel8_32  | CF         | INTEL386 | Read |
| Jae_rel8_64  | CF         | X64      | Read |
| Je_rel8_16   | ZF         |          | Read |
| Je_rel8_32   | ZF         | INTEL386 | Read |
| Je_rel8_64   | ZF         | X64      | Read |
| Jne_rel8_16  | ZF         |          | Read |
| Jne_rel8_32  | ZF         | INTEL386 | Read |
| Jne_rel8_64  | ZF         | X64      | Read |
| Jbe_rel8_16  | ZF, CF     |          | Read |
| Jbe_rel8_32  | ZF, CF     | INTEL386 | Read |
| Jbe_rel8_64  | ZF, CF     | X64      | Read |
| Ja_rel8_16   | ZF, CF     |          | Read |
| Ja_rel8_32   | ZF, CF     | INTEL386 | Read |
| Ja_rel8_64   | ZF, CF     | X64      | Read |
| Js_rel8_16   | SF         |          | Read |
| Js_rel8_32   | SF         | INTEL386 | Read |
| Js_rel8_64   | SF         | X64      | Read |
| Jns_rel8_16  | SF         |          | Read |
| Jns_rel8_32  | SF         | INTEL386 | Read |
| Jns_rel8_64  | SF         | X64      | Read |
| Jp_rel8_16   | PF         |          | Read |
| Jp_rel8_32   | PF         | INTEL386 | Read |
| Jp_rel8_64   | PF         | X64      | Read |
| Jnp_rel8_16  | PF         |          | Read |
| Jnp_rel8_32  | PF         | INTEL386 | Read |
| Jnp_rel8_64  | PF         | X64      | Read |
| Jl_rel8_16   | OF, SF     |          | Read |
| Jl_rel8_32   | OF, SF     | INTEL386 | Read |
| Jl_rel8_64   | OF, SF     | X64      | Read |
| Jge_rel8_16  | OF, SF     |          | Read |
| Jge_rel8_32  | OF, SF     | INTEL386 | Read |
| Jge_rel8_64  | OF, SF     | X64      | Read |
| Jle_rel8_16  | OF, SF, ZF |          | Read |
| Jle_rel8_32  | OF, SF, ZF | INTEL386 | Read |
| Jle_rel8_64  | OF, SF, ZF | X64      | Read |
| Jg_rel8_16   | OF, SF, ZF |          | Read |
| Jg_rel8_32   | OF, SF, ZF | INTEL386 | Read |
| Jg_rel8_64   | OF, SF, ZF | X64      | Read |
| Jo_rel16     | OF         | INTEL386 | Read |
| Jo_rel32_32  | OF         | INTEL386 | Read |
| Jo_rel32_64  | OF         | X64      | Read |
| Jno_rel16    | OF         | INTEL386 | Read |
| Jno_rel32_32 | OF         | INTEL386 | Read |
| Jno_rel32_64 | OF         | X64      | Read |
| Jb_rel16     | CF         | INTEL386 | Read |
| Jb_rel32_32  | CF         | INTEL386 | Read |
| Jb_rel32_64  | CF         | X64      | Read |
| Jae_rel16    | CF         | INTEL386 | Read |
| Jae_rel32_32 | CF         | INTEL386 | Read |
| Jae_rel32_64 | CF         | X64      | Read |
| Je_rel16     | ZF         | INTEL386 | Read |
| Je_rel32_32  | ZF         | INTEL386 | Read |
| Je_rel32_64  | ZF         | X64      | Read |
| Jne_rel16    | ZF         | INTEL386 | Read |
| Jne_rel32_32 | ZF         | INTEL386 | Read |
| Jne_rel32_64 | ZF         | X64      | Read |
| Jbe_rel16    | ZF, CF     | INTEL386 | Read |
| Jbe_rel32_32 | ZF, CF     | INTEL386 | Read |
| Jbe_rel32_64 | ZF, CF     | X64      | Read |
| Ja_rel16     | ZF, CF     | INTEL386 | Read |
| Ja_rel32_32  | ZF, CF     | INTEL386 | Read |
| Ja_rel32_64  | ZF, CF     | X64      | Read |
| Js_rel16     | SF         | INTEL386 | Read |
| Js_rel32_32  | SF         | INTEL386 | Read |
| Js_rel32_64  | SF         | X64      | Read |
| Jns_rel16    | SF         | INTEL386 | Read |
| Jns_rel32_32 | SF         | INTEL386 | Read |
| Jns_rel32_64 | SF         | X64      | Read |
| Jp_rel16     | PF         | INTEL386 | Read |
| Jp_rel32_32  | PF         | INTEL386 | Read |
| Jp_rel32_64  | PF         | X64      | Read |
| Jnp_rel16    | PF         | INTEL386 | Read |
| Jnp_rel32_32 | PF         | INTEL386 | Read |
| Jnp_rel32_64 | PF         | X64      | Read |
| Jl_rel16     | OF, SF     | INTEL386 | Read |
| Jl_rel32_32  | OF, SF     | INTEL386 | Read |
| Jl_rel32_64  | OF, SF     | X64      | Read |
| Jge_rel16    | OF, SF     | INTEL386 | Read |
| Jge_rel32_32 | OF, SF     | INTEL386 | Read |
| Jge_rel32_64 | OF, SF     | X64      | Read |
| Jle_rel16    | OF, SF, ZF | INTEL386 | Read |
| Jle_rel32_32 | OF, SF, ZF | INTEL386 | Read |
| Jle_rel32_64 | OF, SF, ZF | X64      | Read |
| Jg_rel16     | OF, SF, ZF | INTEL386 | Read |
| Jg_rel32_32  | OF, SF, ZF | INTEL386 | Read |
| Jg_rel32_64  | OF, SF, ZF | X64      | Read |


