AAA                  | DECIMAL        | BASE           | I86            | 0x37 not64                                                                       | REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
ADC                  | BINARY         | BASE           | I86            | 0x13 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPRv_R():rw MEM0:r:v
ADC                  | BINARY         | BASE           | I86            | 0x13 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_R():rw REG1=GPRv_B():r
ADC                  | BINARY         | BASE           | I86            | 0x14 SIMM8()                                                                     | REG0=XED_REG_AL:rw:IMPL IMM0:r:b:i8
ADC                  | BINARY         | BASE           | I86            | 0x15 SIMMz()                                                                     | REG0=OrAX():rw:IMPL IMM0:r:z
ADC_LOCK             | BINARY         | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() lock_prefix               | MEM0:rw:b IMM0:r:b:i8
ADC_LOCK             | BINARY         | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMMz() lock_prefix               | MEM0:rw:v IMM0:r:z
ADC_LOCK             | BINARY         | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b010] RM[nnn] not64 MODRM() SIMM8() lock_prefix         | MEM0:rw:b IMM0:r:b:i8
ADC_LOCK             | BINARY         | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() SIMM8() lock_prefix               | MEM0:rw:v IMM0:r:b:i8
ADC_LOCK             | BINARY         | BASE           | I86            | 0x10 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:b REG0=GPR8_R():r
ADC_LOCK             | BINARY         | BASE           | I86            | 0x11 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:v REG0=GPRv_R():r
ADCX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6  MOD[0b11] MOD=3 REG[rrr] RM[nnn] osz_refining_prefix W0  IMMUNE66() | REG0=GPR32_R():rw:d REG1=GPR32_B():r:d
ADCX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6   MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() osz_refining_prefix W0  IMMUNE66() | REG0=GPR32_R():rw:d MEM0:r:d
ADCX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6  MOD[0b11] MOD=3 REG[rrr] RM[nnn] osz_refining_prefix  W1 IMMUNE66() mode64 | REG0=GPR64_R():rw:q  REG1=GPR64_B():r:q
ADCX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6  MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM() osz_refining_prefix  W1  IMMUNE66() mode64 | REG0=GPR64_R():rw:q  MEM0:r:q
ADD                  | BINARY         | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() nolock_prefix             | MEM0:rw:b IMM0:r:b:i8
ADD                  | BINARY         | BASE           | I86            | 0x80 MOD[0b11] MOD=3 REG[0b000] RM[nnn] SIMM8()                                  | REG0=GPR8_B():rw IMM0:r:b
ADD                  | BINARY         | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMMz() nolock_prefix             | MEM0:rw:v IMM0:r:z
ADD                  | BINARY         | BASE           | I86            | 0x81 MOD[0b11] MOD=3 REG[0b000] RM[nnn] SIMMz()                                  | REG0=GPRv_B():rw IMM0:r:z
ADD                  | BINARY         | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b000] RM[nnn] not64 MODRM() SIMM8() nolock_prefix       | MEM0:rw:b IMM0:r:b:i8
ADD                  | BINARY         | BASE           | I86            | 0x82 MOD[0b11] MOD=3 REG[0b000] RM[nnn] not64 SIMM8()                            | REG0=GPR8_B():rw IMM0:r:b:i8
ADD                  | BINARY         | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() nolock_prefix             | MEM0:rw:v IMM0:r:b:i8
ADD                  | BINARY         | BASE           | I86            | 0x83 MOD[0b11] MOD=3 REG[0b000] RM[nnn] SIMM8()                                  | REG0=GPRv_B():rw IMM0:r:b:i8
ADD                  | BINARY         | BASE           | I86            | 0x00 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:b REG0=GPR8_R():r
ADD                  | BINARY         | BASE           | I86            | 0x00 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_B():rw REG1=GPR8_R():r
ADD                  | BINARY         | BASE           | I86            | 0x01 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:v REG0=GPRv_R():r
ADD                  | BINARY         | BASE           | I86            | 0x01 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_B():rw REG1=GPRv_R():r
ADD                  | BINARY         | BASE           | I86            | 0x02 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPR8_R():rw MEM0:r:b
ADD                  | BINARY         | BASE           | I86            | 0x02 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_R():rw REG1=GPR8_B():r
ADD                  | BINARY         | BASE           | I86            | 0x03 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPRv_R():rw MEM0:r:v
ADD                  | BINARY         | BASE           | I86            | 0x03 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_R():rw REG1=GPRv_B():r
ADD                  | BINARY         | BASE           | I86            | 0x04 SIMM8()                                                                     | REG0=XED_REG_AL:rw:IMPL IMM0:r:b:i8
ADD                  | BINARY         | BASE           | I86            | 0x05 SIMMz()                                                                     | REG0=OrAX():rw:IMPL IMM0:r:z
ADD_LOCK             | BINARY         | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() lock_prefix               | MEM0:rw:b IMM0:r:b:i8
ADD_LOCK             | BINARY         | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMMz() lock_prefix               | MEM0:rw:v IMM0:r:z
ADD_LOCK             | BINARY         | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b000] RM[nnn] not64 MODRM() SIMM8() lock_prefix         | MEM0:rw:b IMM0:r:b:i8
ADD_LOCK             | BINARY         | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() SIMM8() lock_prefix               | MEM0:rw:v IMM0:r:b:i8
ADD_LOCK             | BINARY         | BASE           | I86            | 0x00 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:b REG0=GPR8_R():r
ADD_LOCK             | BINARY         | BASE           | I86            | 0x01 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:v REG0=GPRv_R():r
ADOX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6  MOD[0b11] MOD=3 REG[rrr] RM[nnn] refining_f3  W0 IMMUNE66()      | REG0=GPR32_R():rw:d  REG1=GPR32_B():r:d
ADOX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6  MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() refining_f3 W0 IMMUNE66() | REG0=GPR32_R():rw:d MEM0:r:d
ADOX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6 MOD[0b11] MOD=3 REG[rrr] RM[nnn] refining_f3 W1 IMMUNE66()  mode64 | REG0=GPR64_R():rw:q  REG1=GPR64_B():r:q
ADOX                 | ADOX_ADCX      | ADOX_ADCX      | ADOX_ADCX      | 0x0F 0x38 0xF6 MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM() refining_f3 W1   IMMUNE66() mode64 | REG0=GPR64_R():rw:q  MEM0:r:q
AND                  | LOGICAL        | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8() nolock_prefix             | MEM0:rw:b IMM0:r:b
AND                  | LOGICAL        | BASE           | I86            | 0x80 MOD[0b11] MOD=3 REG[0b100] RM[nnn] UIMM8()                                  | REG0=GPR8_B():rw IMM0:r:b
AND                  | LOGICAL        | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() SIMMz() nolock_prefix             | MEM0:rw:v IMM0:r:z
AND                  | LOGICAL        | BASE           | I86            | 0x81 MOD[0b11] MOD=3 REG[0b100] RM[nnn] SIMMz()                                  | REG0=GPRv_B():rw IMM0:r:z
AND                  | LOGICAL        | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b100] RM[nnn] not64 MODRM() UIMM8() nolock_prefix       | MEM0:rw:b IMM0:r:b
AND                  | LOGICAL        | BASE           | I86            | 0x82 MOD[0b11] MOD=3 REG[0b100] RM[nnn] not64 UIMM8()                            | REG0=GPR8_B():rw IMM0:r:b
AND                  | LOGICAL        | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() SIMM8() nolock_prefix             | MEM0:rw:v IMM0:r:b:i8
AND                  | LOGICAL        | BASE           | I86            | 0x83 MOD[0b11] MOD=3 REG[0b100] RM[nnn] SIMM8()                                  | REG0=GPRv_B():rw IMM0:r:b:i8
AND                  | LOGICAL        | BASE           | I86            | 0x20 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:b REG0=GPR8_R():r
AND                  | LOGICAL        | BASE           | I86            | 0x20 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_B():rw REG1=GPR8_R():r
AND                  | LOGICAL        | BASE           | I86            | 0x21 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:v REG0=GPRv_R():r
AND                  | LOGICAL        | BASE           | I86            | 0x21 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_B():rw REG1=GPRv_R():r
AND                  | LOGICAL        | BASE           | I86            | 0x22 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_R():rw REG1=GPR8_B():r
AND                  | LOGICAL        | BASE           | I86            | 0x22 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPR8_R():rw MEM0:r:b
AND                  | LOGICAL        | BASE           | I86            | 0x23 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_R():rw REG1=GPRv_B():r
AND                  | LOGICAL        | BASE           | I86            | 0x23 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPRv_R():rw MEM0:r:v
AND                  | LOGICAL        | BASE           | I86            | 0x24 SIMM8()                                                                     | REG0=XED_REG_AL:rw:IMPL IMM0:r:b:i8
AND                  | LOGICAL        | BASE           | I86            | 0x25 SIMMz()                                                                     | REG0=OrAX():rw:IMPL IMM0:r:z
AND_LOCK             | LOGICAL        | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8() lock_prefix               | MEM0:rw:b IMM0:r:b
AND_LOCK             | LOGICAL        | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() SIMMz() lock_prefix               | MEM0:rw:v IMM0:r:z
AND_LOCK             | LOGICAL        | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b100] RM[nnn] not64 MODRM() UIMM8() lock_prefix         | MEM0:rw:b IMM0:r:b
AND_LOCK             | LOGICAL        | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() SIMM8() lock_prefix               | MEM0:rw:v IMM0:r:b:i8
AND_LOCK             | LOGICAL        | BASE           | I86            | 0x20 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:b REG0=GPR8_R():r
AND_LOCK             | LOGICAL        | BASE           | I86            | 0x21 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:v REG0=GPRv_R():r
ARPL                 | SYSTEM         | BASE           | I286PROTECTED  | 0x63 MOD[mm] MOD!=3 REG[rrr] RM[nnn] not64 MODRM()                               | MEM0:rw:w REG0=GPR16_R():r
ARPL                 | SYSTEM         | BASE           | I286PROTECTED  | 0x63 MOD[0b11] MOD=3 REG[rrr] RM[nnn] not64                                      | REG0=GPR16_B():rw REG1=GPR16_R():r
BEXTR_XOP            | TBM            | TBM            | TBM            | XOPV 0x10 VNP not64 VL128 NOVSR XMAPA MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM32() | REG0=GPR32_R():w:d MEM0:r:d IMM0:r:d
BEXTR_XOP            | TBM            | TBM            | TBM            | XOPV 0x10 VNP mode64  VL128 NOVSR XMAPA MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM32() | REG0=GPRy_R():w:y MEM0:r:y IMM0:r:d
BEXTR_XOP            | TBM            | TBM            | TBM            | XOPV 0x10 VNP not64 VL128 NOVSR XMAPA MOD[0b11] MOD=3 REG[rrr] RM[nnn] UIMM32()  | REG0=GPR32_R():w:d REG1=GPR32_B():r:d IMM0:r:d
BEXTR_XOP            | TBM            | TBM            | TBM            | XOPV 0x10 VNP mode64 VL128 NOVSR XMAPA MOD[0b11] MOD=3 REG[rrr] RM[nnn] UIMM32() | REG0=GPRy_R():w:y REG1=GPRy_B():r:y IMM0:r:d
BLCFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()       | REG0=VGPR32_N():w:d MEM0:r:d
BLCFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()      | REG0=VGPRy_N():w:y MEM0:r:y
BLCFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b001] RM[nnn]              | REG0=VGPR32_N():w:d REG1=GPR32_B():r:d
BLCFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b001] RM[nnn]             | REG0=VGPRy_N():w:y REG1=GPRy_B():r:y
BLCI                 | TBM            | TBM            | TBM            | XOPV 0x02 VNP not64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()       | REG0=VGPR32_N():w:d MEM0:r:d
BLCI                 | TBM            | TBM            | TBM            | XOPV 0x02 VNP mode64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()      | REG0=VGPRy_N():w:y MEM0:r:y
BLCI                 | TBM            | TBM            | TBM            | XOPV 0x02 VNP not64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b110] RM[nnn]              | REG0=VGPR32_N():w:d REG1=GPR32_B():r:d
BLCI                 | TBM            | TBM            | TBM            | XOPV 0x02 VNP mode64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b110] RM[nnn]             | REG0=VGPRy_N():w:y REG1=GPRy_B():r:y
BLCIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()       | REG0=VGPR32_N():w:d MEM0:r:d
BLCIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()      | REG0=VGPRy_N():w:y MEM0:r:y
BLCIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b101] RM[nnn]              | REG0=VGPR32_N():w:d REG1=GPR32_B():r:d
BLCIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b101] RM[nnn]             | REG0=VGPRy_N():w:y REG1=GPRy_B():r:y
BLCMSK               | TBM            | TBM            | TBM            | XOPV 0x02 VNP not64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()       | REG0=VGPR32_N():w:d MEM0:r:d
BLCMSK               | TBM            | TBM            | TBM            | XOPV 0x02 VNP mode64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()      | REG0=VGPRy_N():w:y MEM0:r:y
BLCMSK               | TBM            | TBM            | TBM            | XOPV 0x02 VNP not64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b001] RM[nnn]              | REG0=VGPR32_N():w:d REG1=GPR32_B():r:d
BLCMSK               | TBM            | TBM            | TBM            | XOPV 0x02 VNP mode64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b001] RM[nnn]             | REG0=VGPRy_N():w:y REG1=GPRy_B():r:y
BLCS                 | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()       | REG0=VGPR32_N():w:d MEM0:r:d
BLCS                 | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()      | REG0=VGPRy_N():w:y MEM0:r:y
BLCS                 | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b011] RM[nnn]              | REG0=VGPR32_N():w:d REG1=GPR32_B():r:d
BLCS                 | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b011] RM[nnn]             | REG0=VGPRy_N():w:y REG1=GPRy_B():r:y
BLSFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM()       | REG0=VGPR32_N():w:d MEM0:r:d
BLSFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM()      | REG0=VGPRy_N():w:y MEM0:r:y
BLSFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b010] RM[nnn]              | REG0=VGPR32_N():w:d REG1=GPR32_B():r:d
BLSFILL              | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b010] RM[nnn]             | REG0=VGPRy_N():w:y REG1=GPRy_B():r:y
BLSIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()       | REG0=VGPR32_N():w:d MEM0:r:d
BLSIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()      | REG0=VGPRy_N():w:y MEM0:r:y
BLSIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP not64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b110] RM[nnn]              | REG0=VGPR32_N():w:d REG1=GPR32_B():r:d
BLSIC                | TBM            | TBM            | TBM            | XOPV 0x01 VNP mode64 VL128  XMAP9 MOD[0b11] MOD=3 REG[0b110] RM[nnn]             | REG0=VGPRy_N():w:y REG1=GPRy_B():r:y
BNDCL                | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1  MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()  f3_refining_prefix | REG0=BND_R():r AGEN:r
BNDCL                | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD=3 REG[rrr] RM[nnn]   f3_refining_prefix  mode64  | REG0=BND_R():r REG1=GPR64_B():r
BNDCL                | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD=3 REG[rrr] RM[nnn]   f3_refining_prefix  not64   | REG0=BND_R():r REG1=GPR32_B():r
BNDCN                | MPX            | MPX            | MPX            | 0x0F 0x1B MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() f2_refining_prefix   | REG0=BND_R():r AGEN:r
BNDCN                | MPX            | MPX            | MPX            | 0x0F 0x1B MPXMODE=1 MOD[mm] MOD=3 REG[rrr] RM[nnn]  f2_refining_prefix  mode64   | REG0=BND_R():r REG1=GPR64_B():r
BNDCN                | MPX            | MPX            | MPX            | 0x0F 0x1B MPXMODE=1 MOD[mm] MOD=3 REG[rrr] RM[nnn]  f2_refining_prefix  not64    | REG0=BND_R():r REG1=GPR32_B():r
BNDCU                | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()  f2_refining_prefix  | REG0=BND_R():r AGEN:r
BNDCU                | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD=3 REG[rrr] RM[nnn]   f2_refining_prefix  mode64  | REG0=BND_R():r REG1=GPR64_B():r
BNDCU                | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD=3 REG[rrr] RM[nnn]   f2_refining_prefix  not64   | REG0=BND_R():r REG1=GPR32_B():r
BNDLDX               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()  no_refining_prefix not64 eamode32 | REG0=BND_R():w MEM0:r:bnd32
BNDLDX               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD=0 REG[rrr] RM[nnn]   MODRM()  no_refining_prefix mode64  # RM!=5 | REG0=BND_R():w MEM0:r:bnd64
BNDLDX               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD=1 REG[rrr] RM[nnn]   MODRM()  no_refining_prefix mode64 | REG0=BND_R():w MEM0:r:bnd64
BNDLDX               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD=2 REG[rrr] RM[nnn]   MODRM()  no_refining_prefix mode64 | REG0=BND_R():w MEM0:r:bnd64
BNDMK                | MPX            | MPX            | MPX            | 0x0F 0x1B MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()  f3_refining_prefix  | REG0=BND_R():w  AGEN:r
BNDMOV               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[0b11] MOD=3 REG[rrr] RM[nnn]  osz_refining_prefix REFINING66() | REG0=BND_R():w REG1=BND_B():r
BNDMOV               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()  osz_refining_prefix REFINING66() mode16 eamode32 | REG0=BND_R():w MEM0:r:q:u32
BNDMOV               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()  osz_refining_prefix REFINING66() mode32 eamode32 | REG0=BND_R():w MEM0:r:q:u32
BNDMOV               | MPX            | MPX            | MPX            | 0x0F 0x1A MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()  osz_refining_prefix REFINING66() mode64 | REG0=BND_R():w MEM0:r:dq:u64
BNDMOV               | MPX            | MPX            | MPX            | 0x0F 0x1B MPXMODE=1 MOD[0b11] MOD=3 REG[rrr] RM[nnn] osz_refining_prefix REFINING66() | REG0=BND_B():w   REG1=BND_R():r
BNDMOV               | MPX            | MPX            | MPX            | 0x0F 0x1B MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()  osz_refining_prefix REFINING66() mode16 eamode32 | MEM0:w:q:u32 REG0=BND_R():r
BNDMOV               | MPX            | MPX            | MPX            | 0x0F 0x1B MPXMODE=1 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()  osz_refining_prefix REFINING66() mode32 eamode32 | MEM0:w:q:u32 REG0=BND_R():r
