| Index | Operand | Instruction       | Sig                                           | OpCode                        | Type    | Data     | Reg   | Mem    | MemSize | MemSeg | MemOff | MemFar | Imm | RwxIndex | RwxWidth |
| 13    | 0       | adc               | adc r16/m,ib                                  | 66 83 /2 ib                   | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 13    | 1       | adc               | adc r16/m,ib                                  | 66 83 /2 ib                   |         | ib       |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 14    | 0       | adc               | adc r32/m,ib                                  | 83 /2 ib                      | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 14    | 1       | adc               | adc r32/m,ib                                  | 83 /2 ib                      |         | ib       |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 15    | 0       | adc               | adc r64/m,ib                                  | REX.W 83 /2 ib                | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 15    | 1       | adc               | adc r64/m,ib                                  | REX.W 83 /2 ib                |         | ib       |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 16    | 0       | adc               | adc r8/m,r8                                   | 10 /r                         | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 16    | 1       | adc               | adc r8/m,r8                                   | 10 /r                         | reg     | r8       | r8    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 17    | 0       | adc               | adc r16/m,r16                                 | 66 11 /r                      | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 17    | 1       | adc               | adc r16/m,r16                                 | 66 11 /r                      | reg     | r16      | r16   |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 18    | 0       | adc               | adc r32/m,r32                                 | 11 /r                         | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 18    | 1       | adc               | adc r32/m,r32                                 | 11 /r                         | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 19    | 0       | adc               | adc r64/m,r64                                 | REX.W 11 /r                   | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 19    | 1       | adc               | adc r64/m,r64                                 | REX.W 11 /r                   | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 20    | 0       | adc               | adc r8,r8/m                                   | 12 /r                         | reg     | r8       | r8    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 20    | 1       | adc               | adc r8,r8/m                                   | 12 /r                         | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 21    | 0       | adc               | adc r16,r16/m                                 | 66 13 /r                      | reg     | r16      | r16   |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 21    | 1       | adc               | adc r16,r16/m                                 | 66 13 /r                      | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 22    | 0       | adc               | adc r32,r32/m                                 | 13 /r                         | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 22    | 1       | adc               | adc r32,r32/m                                 | 13 /r                         | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 23    | 0       | adc               | adc r64,r64/m                                 | REX.W 13 /r                   | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 23    | 1       | adc               | adc r64,r64/m                                 | REX.W 13 /r                   | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 24    | 0       | adcx              | adcx r32,r32/m                                | 66 0F 38 F6 /r                | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 24    | 1       | adcx              | adcx r32,r32/m                                | 66 0F 38 F6 /r                | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 25    | 0       | adcx              | adcx r64,r64/m                                | REX.W 66 0F 38 F6 /r          | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 25    | 1       | adcx              | adcx r64,r64/m                                | REX.W 66 0F 38 F6 /r          | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 26    | 0       | add               | add al,ib/ub                                  | 04 ib                         | reg     | al       | al    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 26    | 1       | add               | add al,ib/ub                                  | 04 ib                         |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 27    | 0       | add               | add ax,iw/uw                                  | 66 05 iw                      | reg     | ax       | ax    |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 27    | 1       | add               | add ax,iw/uw                                  | 66 05 iw                      |         | iw/uw    |       |        | -1      |        | false  | false  | 16  | -1       | -1       |
| 28    | 0       | add               | add eax,id/ud                                 | 05 id                         | reg     | eax      | eax   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 28    | 1       | add               | add eax,id/ud                                 | 05 id                         |         | id/ud    |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 29    | 0       | add               | add rax,id                                    | REX.W 05 id                   | reg     | rax      | rax   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 29    | 1       | add               | add rax,id                                    | REX.W 05 id                   |         | id       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 30    | 0       | add               | add r8/m,ib/ub                                | 80 /0 ib                      | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 30    | 1       | add               | add r8/m,ib/ub                                | 80 /0 ib                      |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 31    | 0       | add               | add r16/m,iw/uw                               | 66 81 /0 iw                   | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 31    | 1       | add               | add r16/m,iw/uw                               | 66 81 /0 iw                   |         | iw/uw    |       |        | -1      |        | false  | false  | 16  | -1       | -1       |
| 32    | 0       | add               | add r32/m,id/ud                               | 81 /0 id                      | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 32    | 1       | add               | add r32/m,id/ud                               | 81 /0 id                      |         | id/ud    |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 33    | 0       | add               | add r64/m,id                                  | REX.W 81 /0 id                | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 33    | 1       | add               | add r64/m,id                                  | REX.W 81 /0 id                |         | id       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 34    | 0       | add               | add r16/m,ib                                  | 66 83 /0 ib                   | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 34    | 1       | add               | add r16/m,ib                                  | 66 83 /0 ib                   |         | ib       |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 35    | 0       | add               | add r32/m,ib                                  | 83 /0 ib                      | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 35    | 1       | add               | add r32/m,ib                                  | 83 /0 ib                      |         | ib       |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 36    | 0       | add               | add r64/m,ib                                  | REX.W 83 /0 ib                | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 36    | 1       | add               | add r64/m,ib                                  | REX.W 83 /0 ib                |         | ib       |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 37    | 0       | add               | add r8/m,r8                                   | 00 /r                         | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 37    | 1       | add               | add r8/m,r8                                   | 00 /r                         | reg     | r8       | r8    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 38    | 0       | add               | add r16/m,r16                                 | 66 01 /r                      | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 38    | 1       | add               | add r16/m,r16                                 | 66 01 /r                      | reg     | r16      | r16   |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 39    | 0       | add               | add r32/m,r32                                 | 01 /r                         | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 39    | 1       | add               | add r32/m,r32                                 | 01 /r                         | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 40    | 0       | add               | add r64/m,r64                                 | REX.W 01 /r                   | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 40    | 1       | add               | add r64/m,r64                                 | REX.W 01 /r                   | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 41    | 0       | add               | add r8,r8/m                                   | 02 /r                         | reg     | r8       | r8    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 41    | 1       | add               | add r8,r8/m                                   | 02 /r                         | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 42    | 0       | add               | add r16,r16/m                                 | 66 03 /r                      | reg     | r16      | r16   |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 42    | 1       | add               | add r16,r16/m                                 | 66 03 /r                      | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 43    | 0       | add               | add r32,r32/m                                 | 03 /r                         | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 43    | 1       | add               | add r32,r32/m                                 | 03 /r                         | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 44    | 0       | add               | add r64,r64/m                                 | REX.W 03 /r                   | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 44    | 1       | add               | add r64,r64/m                                 | REX.W 03 /r                   | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 45    | 0       | addpd             | addpd xmm,xmm/m                               | 66 0F 58 /r                   | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 45    | 1       | addpd             | addpd xmm,xmm/m                               | 66 0F 58 /r                   | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 46    | 0       | addps             | addps xmm,xmm/m                               | 0F 58 /r                      | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 46    | 1       | addps             | addps xmm,xmm/m                               | 0F 58 /r                      | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 47    | 0       | addsd             | addsd xmm,xmm/m                               | F2 0F 58 /r                   | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 47    | 1       | addsd             | addsd xmm,xmm/m                               | F2 0F 58 /r                   | reg/mem | xmm/m64  | xmm   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 48    | 0       | addss             | addss xmm,xmm/m                               | F3 0F 58 /r                   | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 48    | 1       | addss             | addss xmm,xmm/m                               | F3 0F 58 /r                   | reg/mem | xmm/m32  | xmm   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 49    | 0       | addsubpd          | addsubpd xmm,xmm/m                            | 66 0F D0 /r                   | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 49    | 1       | addsubpd          | addsubpd xmm,xmm/m                            | 66 0F D0 /r                   | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 50    | 0       | addsubps          | addsubps xmm,xmm/m                            | F2 0F D0 /r                   | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 50    | 1       | addsubps          | addsubps xmm,xmm/m                            | F2 0F D0 /r                   | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 51    | 0       | adox              | adox r32,r32/m                                | F3 0F 38 F6 /r                | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 51    | 1       | adox              | adox r32,r32/m                                | F3 0F 38 F6 /r                | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 52    | 0       | adox              | adox r64,r64/m                                | REX.W F3 0F 38 F6 /r          | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 52    | 1       | adox              | adox r64,r64/m                                | REX.W F3 0F 38 F6 /r          | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 53    | 0       | aesdec            | aesdec xmm,xmm/m                              | 66 0F 38 DE /r                | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 53    | 1       | aesdec            | aesdec xmm,xmm/m                              | 66 0F 38 DE /r                | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 54    | 0       | aesdeclast        | aesdeclast xmm,xmm/m                          | 66 0F 38 DF /r                | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 54    | 1       | aesdeclast        | aesdeclast xmm,xmm/m                          | 66 0F 38 DF /r                | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 55    | 0       | aesenc            | aesenc xmm,xmm/m                              | 66 0F 38 DC /r                | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 55    | 1       | aesenc            | aesenc xmm,xmm/m                              | 66 0F 38 DC /r                | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 56    | 0       | aesenclast        | aesenclast xmm,xmm/m                          | 66 0F 38 DD /r                | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 56    | 1       | aesenclast        | aesenclast xmm,xmm/m                          | 66 0F 38 DD /r                | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 57    | 0       | aesimc            | aesimc xmm,xmm/m                              | 66 0F 38 DB /r                | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 57    | 1       | aesimc            | aesimc xmm,xmm/m                              | 66 0F 38 DB /r                | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 58    | 0       | aeskeygenassist   | aeskeygenassist xmm,xmm/m,ib/ub               | 66 0F 3A DF /r ib             | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 58    | 1       | aeskeygenassist   | aeskeygenassist xmm,xmm/m,ib/ub               | 66 0F 3A DF /r ib             | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 58    | 2       | aeskeygenassist   | aeskeygenassist xmm,xmm/m,ib/ub               | 66 0F 3A DF /r ib             |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 59    | 0       | and               | and al,ib/ub                                  | 24 ib                         | reg     | al       | al    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 59    | 1       | and               | and al,ib/ub                                  | 24 ib                         |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 60    | 0       | and               | and ax,iw/uw                                  | 66 25 iw                      | reg     | ax       | ax    |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 60    | 1       | and               | and ax,iw/uw                                  | 66 25 iw                      |         | iw/uw    |       |        | -1      |        | false  | false  | 16  | -1       | -1       |
| 61    | 0       | and               | and eax,id/ud                                 | 25 id                         | reg     | eax      | eax   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 61    | 1       | and               | and eax,id/ud                                 | 25 id                         |         | id/ud    |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 62    | 0       | and               | and rax,ud                                    | 25 id                         | reg     | rax      | rax   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 62    | 1       | and               | and rax,ud                                    | 25 id                         |         | ud       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 63    | 0       | and               | and rax,id                                    | REX.W 25 id                   | reg     | rax      | rax   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 63    | 1       | and               | and rax,id                                    | REX.W 25 id                   |         | id       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 64    | 0       | and               | and r8/m,ib/ub                                | 80 /4 ib                      | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 64    | 1       | and               | and r8/m,ib/ub                                | 80 /4 ib                      |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 65    | 0       | and               | and r16/m,iw/uw                               | 66 81 /4 iw                   | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 65    | 1       | and               | and r16/m,iw/uw                               | 66 81 /4 iw                   |         | iw/uw    |       |        | -1      |        | false  | false  | 16  | -1       | -1       |
| 66    | 0       | and               | and r32/m,id/ud                               | 81 /4 id                      | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 66    | 1       | and               | and r32/m,id/ud                               | 81 /4 id                      |         | id/ud    |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 67    | 0       | and               | and r64,ud                                    | 81 /4 id                      | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 67    | 1       | and               | and r64,ud                                    | 81 /4 id                      |         | ud       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 68    | 0       | and               | and r64/m,id                                  | REX.W 81 /4 id                | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 68    | 1       | and               | and r64/m,id                                  | REX.W 81 /4 id                |         | id       |       |        | -1      |        | false  | false  | 32  | -1       | -1       |
| 69    | 0       | and               | and r16/m,ib/ub                               | 66 83 /4 ib                   | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 69    | 1       | and               | and r16/m,ib/ub                               | 66 83 /4 ib                   |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 70    | 0       | and               | and r32/m,ib/ub                               | 83 /4 ib                      | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 70    | 1       | and               | and r32/m,ib/ub                               | 83 /4 ib                      |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 71    | 0       | and               | and r64/m,ib/ub                               | REX.W 83 /4 ib                | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 71    | 1       | and               | and r64/m,ib/ub                               | REX.W 83 /4 ib                |         | ib/ub    |       |        | -1      |        | false  | false  | 8   | -1       | -1       |
| 72    | 0       | and               | and r8/m,r8                                   | 20 /r                         | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 72    | 1       | and               | and r8/m,r8                                   | 20 /r                         | reg     | r8       | r8    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 73    | 0       | and               | and r16/m,r16                                 | 66 21 /r                      | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 73    | 1       | and               | and r16/m,r16                                 | 66 21 /r                      | reg     | r16      | r16   |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 74    | 0       | and               | and r32/m,r32                                 | 21 /r                         | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 74    | 1       | and               | and r32/m,r32                                 | 21 /r                         | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 75    | 0       | and               | and r64/m,r64                                 | REX.W 21 /r                   | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 75    | 1       | and               | and r64/m,r64                                 | REX.W 21 /r                   | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 76    | 0       | and               | and r8,r8/m                                   | 22 /r                         | reg     | r8       | r8    |        | -1      |        | false  | false  | 0   | 0        | 8        |
| 76    | 1       | and               | and r8,r8/m                                   | 22 /r                         | reg/mem | r8/m8    | r8    | m8     | 8       |        | false  | false  | 0   | 0        | 8        |
| 77    | 0       | and               | and r16,r16/m                                 | 66 23 /r                      | reg     | r16      | r16   |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 77    | 1       | and               | and r16,r16/m                                 | 66 23 /r                      | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 78    | 0       | and               | and r32,r32/m                                 | 23 /r                         | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 78    | 1       | and               | and r32,r32/m                                 | 23 /r                         | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 79    | 0       | and               | and r64,r64/m                                 | REX.W 23 /r                   | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 79    | 1       | and               | and r64,r64/m                                 | REX.W 23 /r                   | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 80    | 0       | andn              | andn r32,r32,r32/m                            | VEX.LZ.0F38.W0 F2 /r          | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 80    | 1       | andn              | andn r32,r32,r32/m                            | VEX.LZ.0F38.W0 F2 /r          | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
| 80    | 2       | andn              | andn r32,r32,r32/m                            | VEX.LZ.0F38.W0 F2 /r          | reg/mem | r32/m32  | r32   | m32    | 32      |        | false  | false  | 0   | 0        | 32       |
| 81    | 0       | andn              | andn r64,r64,r64/m                            | VEX.LZ.0F38.W1 F2 /r          | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 81    | 1       | andn              | andn r64,r64,r64/m                            | VEX.LZ.0F38.W1 F2 /r          | reg     | r64      | r64   |        | -1      |        | false  | false  | 0   | 0        | 64       |
| 81    | 2       | andn              | andn r64,r64,r64/m                            | VEX.LZ.0F38.W1 F2 /r          | reg/mem | r64/m64  | r64   | m64    | 64      |        | false  | false  | 0   | 0        | 64       |
| 82    | 0       | andnpd            | andnpd xmm,xmm/m                              | 66 0F 55 /r                   | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 82    | 1       | andnpd            | andnpd xmm,xmm/m                              | 66 0F 55 /r                   | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 83    | 0       | andnps            | andnps xmm,xmm/m                              | 0F 55 /r                      | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 83    | 1       | andnps            | andnps xmm,xmm/m                              | 0F 55 /r                      | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 84    | 0       | andpd             | andpd xmm,xmm/m                               | 66 0F 54 /r                   | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 84    | 1       | andpd             | andpd xmm,xmm/m                               | 66 0F 54 /r                   | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 85    | 0       | andps             | andps xmm,xmm/m                               | 0F 54 /r                      | reg     | xmm      | xmm   |        | -1      |        | false  | false  | 0   | 0        | 128      |
| 85    | 1       | andps             | andps xmm,xmm/m                               | 0F 54 /r                      | reg/mem | xmm/m128 | xmm   | m128   | 128     |        | false  | false  | 0   | 0        | 128      |
| 86    | 0       | arpl              | arpl r16/m,r16                                | 63 /r                         | reg/mem | r16/m16  | r16   | m16    | 16      |        | false  | false  | 0   | 0        | 16       |
| 86    | 1       | arpl              | arpl r16/m,r16                                | 63 /r                         | reg     | r16      | r16   |        | -1      |        | false  | false  | 0   | 0        | 16       |
| 87    | 0       | bextr             | bextr r32,r32/m,r32                           | VEX.LZ.0F38.W0 F7 /r          | reg     | r32      | r32   |        | -1      |        | false  | false  | 0   | 0        | 32       |
