Type        | Z0.IAddressable                                                       | Characterizes an address-identified target
Method      | Z0.XTend.MapRange``2(System.Span{``0},System.Int32,System.Int32,System.Func{``0,``1})| Projects a range of elements from a source span to a target span
Method      | Z0.XTend.MapArray``2(System.ReadOnlySpan{``0},System.Func{``0,``1})   | Projects a source span to target span via a supplied transformation
Method      | Z0.XTend.Replicate``1(System.ReadOnlySpan{``0})                       | Clones the source span into a new span
Method      | Z0.XTend.Replicate``1(System.Span{``0})                               | Clones the source span into a new span
Method      | Z0.XTend.Reverse``1(System.ReadOnlySpan{``0})                         | Produces a reversed span from a readonly span
Method      | Z0.XTend.Swap``1(System.Span{``0},System.Int32,System.Int32)          | Interchanges span elements i and j
Method      | Z0.XTend.ToDictionary``1(System.ReadOnlySpan{``0})                    | Creates a dictionary from a span using the element indices as keys
Method      | Z0.XTend.ToDictionary``1(System.Span{``0})                            | Creates a dictionary from a span using the element indices as keys
Method      | Z0.XTend.ValuesEqual``1(System.ReadOnlySpan{``0},System.ReadOnlySpan{``0})| Evaluates whether two spans have identical content
Method      | Z0.XTend.ValuesEqual``1(System.Span{``0},System.ReadOnlySpan{``0})    | Evaluates whether two spans have identical content
Method      | Z0.XTend.LeftOf(System.String,System.Int32)                           | Gets the string to the left of, but not including, a specified index
Method      | Z0.XTend.LeftOf(System.String,System.Char)                            | Gets the string to the left of, but not including, the first instance of a specified character
Method      | Z0.XTend.LeftOf(System.String,System.String)                          | Gets the string to the left of, but not including, a specified substring
Method      | Z0.XTend.OnSome(System.String,System.Action{System.String})           | Invokes an action if the source string is nonempty
Method      | Z0.XTend.Remove(System.String,System.String)                          | Removes a substring from the source string if it exists
Method      | Z0.XTend.RemoveAny(System.String,System.Collections.Generic.IEnumerable{System.Char})| Erases a specified set of character occurrences in a string
Method      | Z0.XTend.RemoveAny(System.String,System.Char[])                       | Erases a specified set of character occurrences in a string
Method      | Z0.XTend.RemoveSubstring(System.Collections.Generic.IEnumerable{System.String},System.String)| Removes all occurences of a substring from the source strings where extant
Method      | Z0.XTend.RemoveLast(System.String)                                    | Creates a new string from the first n - 1 characters of a string of length n
Method      | Z0.XTend.RemoveBlanks(System.String)                                  | Removes whitespace characters from a string
Method      | Z0.XTend.Map``2(System.Nullable{``0},System.Func{``0,``1})            | Projects a source value, if non-null, onto a target value; otherwise, returns the target's default value
Method      | Z0.XTend.Map``2(System.Nullable{``0},System.Func{``0,``1},System.Func{``1})| Projects a source value, if non-null, onto a target value; otherwise, returns value raised by a caller-supplied emitter
Method      | Z0.XTend.AppendTo``1(``0[],``0[])                                     | Concatenates two arrays
Method      | Z0.XTend.Clear``1(``0[])                                              | Fills an array with the element type's default value
Method      | Z0.XTend.CopyTo``1(System.Collections.Generic.IReadOnlyList{``0},``0[])| Copies a source list to a target array
Method      | Z0.XTend.Fill``1(``0[],``0)                                           | Fills an array, in-place, with a specified value
Method      | Z0.XTend.FirstIndexOf``1(``0[],``0)                                   | Returns the index of the first value that matches a specified value, if any. Otherwise, returns -1
Method      | Z0.XTend.Replicate``1(``0[])                                          | Allocates an populates a new array that is identical to the source array
Method      | Z0.XTend.Slice``1(``0[],System.Int32,System.Int32)                    | Creates a new array from a (contiguous) subset of an existing array
Method      | Z0.XTend.Clear(Z0.IBufferToken)                                       | Zero-fills a token-identified buffer
Method      | Z0.XTend.Content``1(Z0.IBufferToken)                                  | Covers a token-identified buffer with a span
Method      | Z0.XTend.Fill``1(Z0.IBufferToken,System.ReadOnlySpan{``0})            | Fills a token-identified buffer with data from a source span and returns the target memory to the caller as a span
Method      | Z0.XTend.Fill``1(Z0.IBufferToken,``0[])                               | Fills a token-identified buffer with data from an array and returns the target memory to the caller as a span
Method      | Z0.XTend.FormatTable``1(System.Span{``0},System.Int32,System.Int32,System.Nullable{System.Int32},System.Nullable{System.Char},System.Nullable{System.Char},System.Nullable{System.Char})| Formats a span as a table
Method      | Z0.XTend.Replicate``2(Z0.NatSpan{``0,``1}@)                           | Clones a natural span
Method      | Z0.XTend.StreamTo``3(System.Collections.Generic.IEnumerable{``2},Z0.TableSpan{``0,``1,``2}@)| Fills a tabular span of natural dimensions with streamed elements
Method      | Z0.XTend.TakeArray``1(System.Collections.Generic.IEnumerable{``0},System.Int32)| Constructs an array of specified length from a stream
Method      | Z0.XTend.TakeArray``1(System.Collections.Generic.IEnumerable{``0},System.Int32,System.Int32)| Constructs an array from a specified number of elmements from a source stream after a skip
Method      | Z0.XTend.TakeMemory``1(System.Collections.Generic.IEnumerable{``0},System.Int32)| Constructs a memory segment of specified length from a stream (allocating)
Method      | Z0.XTend.TakeReadOnlyMemory``1(System.Collections.Generic.IEnumerable{``0},System.Int32)| Constructs a memory segment of specified length from a stream (allocating)
Method      | Z0.XTend.TakeMemory``1(System.Collections.Generic.IEnumerable{``0},System.Int32,System.Int32)| Constructs an array from a specified number of elmements from a source stream after a skip (allocating)
Method      | Z0.XTend.ToMemory``1(System.Collections.Generic.IEnumerable{``0})     | Constructs a memory segment from the content of the (hopefully finite) stream (allocating)
Method      | Z0.XTend.ToReadOnlyMemory``1(System.Collections.Generic.IEnumerable{``0})| Constructs a memory segment from the content of the (hopefully finite) stream (allocating)
Method      | Z0.XTend.ToEnumerable``1(System.ReadOnlySpan{``0})                    | Lifts span content into the LINQ monad
Method      | Z0.XTend.ToEnumerable``1(System.Span{``0})                            | Lifts span content into the LINQ monad
Method      | Z0.XTend.ToSet``1(System.Span{``0})                                   | Constructs a hash set from span content
Method      | Z0.XTend.ToSet``1(System.ReadOnlySpan{``0})                           | Constructs a hash set from span content
Method      | Z0.XTend.ToSet``1(System.ReadOnlySpan{``0},System.ReadOnlySpan{``0})  | Constructs a hash set from span content
Method      | Z0.XTend.ToSet``1(System.Span{``0},System.ReadOnlySpan{``0})          | Constructs a hash set from span content
Method      | Z0.XTend.FormatAsVector``1(System.ReadOnlySpan{``0},System.Char)      | Formats a readonly span as a vector
Method      | Z0.XTend.FormatAsVector``1(System.Span{``0},System.Char)              | Formats a span as a vector
Method      | Z0.XTend.FormatCellBlocks``1(System.ReadOnlySpan{``0},System.Nullable{System.Int32},System.Nullable{System.Char},System.Boolean)| Formats a span as [c0   c1 ...  cm]  where m = length - 1
Method      | Z0.XTend.FormatCellBlocks``1(System.Span{``0},System.Nullable{System.Int32},System.Nullable{System.Char},System.Boolean)| Formats a span as [c0   c1 ...  cm]  where m = length - 1
Method      | Z0.XTend.FormatLines``1(System.ReadOnlySpan{``0})                     | Formats each source element on a new line
Method      | Z0.XTend.FormatLines``1(System.Span{``0})                             | Formats each source element on a new line
Method      | Z0.XTend.FormatList(System.Collections.Generic.IEnumerable{System.Object},System.Char)| Formats a sequence of objects as a delimited list
Method      | Z0.XTend.FormatHex(System.SByte,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Renders a number as a hexadecimal string
Method      | Z0.XTend.FormatHex(System.Int16,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Renders a number as a hexadecimal string
Method      | Z0.XTend.FormatHex(System.UInt16,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Renders a number as a hexadecimal string
Method      | Z0.XTend.FormatHex(System.Int32,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Renders a number as a hexadecimal string
Method      | Z0.XTend.FormatHex(System.UInt32,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Renders a number as a hexadecimal string
Method      | Z0.XTend.FormatHex(System.Int64,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Renders a number as a hexadecimal string
Method      | Z0.XTend.FormatHex(System.UInt64,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Renders a number as a hexadecimal string
Method      | Z0.XTend.FormatHex(System.Single,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.FormatHex(System.Double,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.SByte,System.Boolean)                       | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.Byte,System.Boolean)                        | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.Int16,System.Boolean)                       | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.UInt16,System.Boolean)                      | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.Int32,System.Boolean)                       | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.UInt32,System.Boolean)                      | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.Int64,System.Boolean)                       | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.HexDigits(System.UInt64,System.Boolean)                      | Formats a scalar value as a sequence of hex digits
Method      | Z0.XTend.FormatHex``1(System.ReadOnlySpan{``0},System.Char,System.Boolean)| Formats a span pf presumed integral values as a sequence of hex values
Method      | Z0.XTend.FormatHex``1(System.Span{``0},System.Char,System.Boolean)    | Formats a span of numeric cell type as a sequence of hex values
Method      | Z0.XTend.FormatHex``1(System.Collections.Generic.IEnumerable{``0},System.Char,System.Boolean)| Formats a (hopefully finite) stream of values (hopefully numeric) as a sequence of hex values
Method      | Z0.XTend.IsTypeNat(System.Type)                                       | Determines whether a type encodes a natural number
Method      | Z0.XTend.NatValue(System.Type)                                        | For a type that encodes a natural number, returns the corresponding value; otherwise, returns none
Method      | Z0.XTend.TypeNatural(System.Type)                                     | Returns the type's natural reification if it exists; otherwise, returns the 0 reification
Type        | Z0.CilFunction                                                        | Adheres a set of IL instructions with the source method
Type        | Z0.ICilFunctionWriter                                                 | Defines service contract for persistent emission of cil functions that accompany asm functions
Property    | Z0.ICilFunctionWriter.Target                                          | The writer's destintation path
Type        | Z0.CilSpecs.Code                                                      | A CIL opcode. If the high byte is 0 or if it's <see cref="F:Z0.CilSpecs.Code.UNKNOWN1" />, it's a 1-byte opcode,            else it's a two-byte opcode and the highest byte is the first byte of the opcode.
Type        | Z0.CilSpecs.FlowControl                                               | CIL opcode flow control
Field       | Z0.CilSpecs.FlowControl.Branch                                        | 
Field       | Z0.CilSpecs.FlowControl.Break                                         | 
Field       | Z0.CilSpecs.FlowControl.Call                                          | 
Field       | Z0.CilSpecs.FlowControl.Cond_Branch                                   | 
Field       | Z0.CilSpecs.FlowControl.Meta                                          | 
Field       | Z0.CilSpecs.FlowControl.Next                                          | 
Field       | Z0.CilSpecs.FlowControl.Phi                                           | 
Field       | Z0.CilSpecs.FlowControl.Return                                        | 
Field       | Z0.CilSpecs.FlowControl.Throw                                         | 
Type        | Z0.CilSpecs.Instruction                                               | A CIL instruction (opcode + operand)
Field       | Z0.CilSpecs.Instruction.OpCode                                        | The opcode
Field       | Z0.CilSpecs.Instruction.Operand                                       | The opcode operand
Field       | Z0.CilSpecs.Instruction.Offset                                        | Offset of the instruction in the method body
Method      | Z0.CilSpecs.Instruction.#ctor(Z0.CilSpecs.OpCode)                     | Constructor
Method      | Z0.CilSpecs.Instruction.#ctor(Z0.CilSpecs.OpCode,System.Object)       | Constructor
Method      | Z0.CilSpecs.Instruction.Clone                                         | Clone this instance. The <see cref="F:Z0.CilSpecs.Instruction.Operand" /> and <see cref="!:SequencePoint" /> fields            are shared by this instance and the created instance.
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode)                    | Creates a new instruction with no operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.Byte)        | Creates a new instruction with a <see cref="T:System.Byte" /> operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.SByte)       | Creates a new instruction with a <see cref="T:System.SByte" /> operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.Int32)       | Creates a new instruction with an <see cref="T:System.Int32" /> operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.Int64)       | Creates a new instruction with a <see cref="T:System.Int64" /> operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.Single)      | Creates a new instruction with a <see cref="T:System.Single" /> operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.Double)      | Creates a new instruction with a <see cref="T:System.Double" /> operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.String)      | Creates a new instruction with a string operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,Z0.CilSpecs.Instruction)| Creates a new instruction with an instruction target operand
Method      | Z0.CilSpecs.Instruction.Create(Z0.CilSpecs.OpCode,System.Collections.Generic.IList{Z0.CilSpecs.Instruction})| Creates a new instruction with an instruction target list operand
Method      | Z0.CilSpecs.Instruction.CreateLdcI4(System.Int32)                     | Creates a <c>ldci4</c> instruction
Method      | Z0.CilSpecs.Instruction.GetSize                                       | Gets the size in bytes of the instruction
Method      | Z0.CilSpecs.Instruction.IsLeave                                       | Checks whether it's one of the <c>leave</c> instructions
Method      | Z0.CilSpecs.Instruction.IsBr                                          | Checks whether it's one of the <c>br</c> instructions
Method      | Z0.CilSpecs.Instruction.IsBrfalse                                     | Checks whether it's one of the <c>brfalse</c> instructions
Method      | Z0.CilSpecs.Instruction.IsBrtrue                                      | Checks whether it's one of the <c>brtrue</c> instructions
Method      | Z0.CilSpecs.Instruction.IsConditionalBranch                           | Checks whether it's one of the conditional branch instructions (bcc, brtrue, brfalse)
Method      | Z0.CilSpecs.Instruction.IsLdcI4                                       | Checks whether this is one of the <c>ldc.i4</c> instructions
Method      | Z0.CilSpecs.Instruction.GetLdcI4Value                                 | Returns a <c>ldc.i4</c> instruction's operand
Method      | Z0.CilSpecs.Instruction.IsLdarg                                       | Checks whether it's one of the <c>ldarg</c> instructions, but does <c>not</c> check            whether it's one of the <c>ldarga</c> instructions.
Method      | Z0.CilSpecs.Instruction.IsLdloc                                       | Checks whether it's one of the <c>ldloc</c> instructions, but does <c>not</c> check            whether it's one of the <c>ldloca</c> instructions.
Method      | Z0.CilSpecs.Instruction.IsStarg                                       | Checks whether it's one of the <c>starg</c> instructions
Method      | Z0.CilSpecs.Instruction.IsStloc                                       | Checks whether it's one of the <c>stloc</c> instructions
Method      | Z0.CilSpecs.Extensions.GetOpCode(Z0.CilSpecs.Instruction)             | Gets the opcode or <see cref="F:Z0.CilSpecs.OpCodes.UNKNOWN1" /> if <paramref name="self" /> is <c>null</c>
Method      | Z0.CilSpecs.Extensions.GetOperand(Z0.CilSpecs.Instruction)            | Gets the operand or <c>null</c> if <paramref name="self" /> is <c>null</c>
Method      | Z0.CilSpecs.Extensions.GetOffset(Z0.CilSpecs.Instruction)             | Gets the offset or 0 if <paramref name="self" /> is <c>null</c>
Method      | Z0.CilSpecs.Extensions.ToOpCode(Z0.CilSpecs.Code)                     | Converts a <see cref="T:Z0.CilSpecs.Code" /> to an <see cref="T:Z0.CilSpecs.OpCode" />
Type        | Z0.CilSpecs.MethodImplAttributes                                      | Method impl attributes, see CorHdr.h/CorMethodImpl
Field       | Z0.CilSpecs.MethodImplAttributes.CodeTypeMask                         | Flags about code type.
Field       | Z0.CilSpecs.MethodImplAttributes.IL                                   | Method impl is IL.
Field       | Z0.CilSpecs.MethodImplAttributes.Native                               | Method impl is native.
Field       | Z0.CilSpecs.MethodImplAttributes.OPTIL                                | Method impl is OPTIL
Field       | Z0.CilSpecs.MethodImplAttributes.Runtime                              | Method impl is provided by the runtime.
Field       | Z0.CilSpecs.MethodImplAttributes.ManagedMask                          | Flags specifying whether the code is managed or unmanaged.
Field       | Z0.CilSpecs.MethodImplAttributes.Unmanaged                            | Method impl is unmanaged, otherwise managed.
Field       | Z0.CilSpecs.MethodImplAttributes.Managed                              | Method impl is managed.
Field       | Z0.CilSpecs.MethodImplAttributes.ForwardRef                           | Indicates method is defined; used primarily in merge scenarios.
Field       | Z0.CilSpecs.MethodImplAttributes.PreserveSig                          | Indicates method sig is not to be mangled to do HRESULT conversion.
Field       | Z0.CilSpecs.MethodImplAttributes.InternalCall                         | Reserved for internal use.
Field       | Z0.CilSpecs.MethodImplAttributes.Synchronized                         | Method is single threaded through the body.
Field       | Z0.CilSpecs.MethodImplAttributes.NoInlining                           | Method may not be inlined.
Field       | Z0.CilSpecs.MethodImplAttributes.AggressiveInlining                   | Method should be inlined if possible.
Field       | Z0.CilSpecs.MethodImplAttributes.NoOptimization                       | Method may not be optimized.
Field       | Z0.CilSpecs.MethodImplAttributes.AggressiveOptimization               | Method may contain hot code and should be aggressively optimized.
Field       | Z0.CilSpecs.MethodImplAttributes.SecurityMitigations                  | The JIT compiler should look for security mitigation attributes, such as the user-defined System.Runtime.CompilerServices.SecurityMitigationsAttribute. If found, the JIT compiler applies any related security mitigations. Available starting with .NET Framework 4.8.
Type        | Z0.CilSpecs.OpCode                                                    | A CIL opcode
Field       | Z0.CilSpecs.OpCode.Name                                               | The opcode name
Field       | Z0.CilSpecs.OpCode.Code                                               | The opcode as a <see cref="F:Z0.CilSpecs.OpCode.Code" /> enum
Field       | Z0.CilSpecs.OpCode.OperandType                                        | Operand type
Field       | Z0.CilSpecs.OpCode.FlowControl                                        | Flow control info
Field       | Z0.CilSpecs.OpCode.OpCodeType                                         | Opcode type
Field       | Z0.CilSpecs.OpCode.StackBehaviourPush                                 | Push stack behavior
Field       | Z0.CilSpecs.OpCode.StackBehaviourPop                                  | Pop stack behavior
Property    | Z0.CilSpecs.OpCode.Value                                              | Gets the value which is compatible with <see cref="P:System.Reflection.Emit.OpCode.Value" />
Property    | Z0.CilSpecs.OpCode.Size                                               | Gets the size of the opcode. It's either 1 or 2 bytes.
Method      | Z0.CilSpecs.OpCode.ToInstruction                                      | Creates a new instruction with no operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.Byte)                         | Creates a new instruction with a <see cref="T:System.Byte" /> operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.SByte)                        | Creates a new instruction with a <see cref="T:System.SByte" /> operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.Int32)                        | Creates a new instruction with an <see cref="T:System.Int32" /> operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.Int64)                        | Creates a new instruction with a <see cref="T:System.Int64" /> operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.Single)                       | Creates a new instruction with a <see cref="T:System.Single" /> operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.Double)                       | Creates a new instruction with a <see cref="T:System.Double" /> operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.String)                       | Creates a new instruction with a string operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(Z0.CilSpecs.Instruction)             | Creates a new instruction with an instruction target operand
Method      | Z0.CilSpecs.OpCode.ToInstruction(System.Collections.Generic.IList{Z0.CilSpecs.Instruction})| Creates a new instruction with an instruction target list operand
Method      | Z0.CilSpecs.OpCode.ToString                                           | 
Type        | Z0.CilSpecs.OpCodes                                                   | Contains all valid CIL opcodes
Field       | Z0.CilSpecs.OpCodes.OneByteOpCodes                                    | All one-byte opcodes
Field       | Z0.CilSpecs.OpCodes.TwoByteOpCodes                                    | All two-byte opcodes (first byte is <c>0xFE</c>)
Type        | Z0.CilSpecs.OpCodeType                                                | CIL opcode type
Field       | Z0.CilSpecs.OpCodeType.Annotation                                     | 
Field       | Z0.CilSpecs.OpCodeType.Macro                                          | 
Field       | Z0.CilSpecs.OpCodeType.Nternal                                        | 
Field       | Z0.CilSpecs.OpCodeType.Objmodel                                       | 
Field       | Z0.CilSpecs.OpCodeType.Prefix                                         | 
Field       | Z0.CilSpecs.OpCodeType.Primitive                                      | 
Type        | Z0.CilSpecs.OperandType                                               | CIL opcode operand type
Field       | Z0.CilSpecs.OperandType.InlineBrTarget                                | 4-byte relative instruction offset
Field       | Z0.CilSpecs.OperandType.InlineField                                   | 4-byte field token (<see cref="!:Table.Field" /> or <see cref="!:Table.MemberRef" />)
Field       | Z0.CilSpecs.OperandType.InlineI                                       | int32
Field       | Z0.CilSpecs.OperandType.InlineI8                                      | int64
Field       | Z0.CilSpecs.OperandType.InlineMethod                                  | 4-byte method token (<see cref="!:Table.Method" />, <see cref="!:Table.MemberRef" />            or <see cref="!:Table.MethodSpec" />)
Field       | Z0.CilSpecs.OperandType.InlineNone                                    | No operand
Field       | Z0.CilSpecs.OperandType.InlinePhi                                     | Never used
Field       | Z0.CilSpecs.OperandType.InlineR                                       | 64-bit real
Field       | Z0.CilSpecs.OperandType.NOT_USED_8                                    | 
Field       | Z0.CilSpecs.OperandType.InlineSig                                     | 4-byte method sig token (<see cref="!:Table.StandAloneSig" />)
Field       | Z0.CilSpecs.OperandType.InlineString                                  | 4-byte string token (<c>0x70xxxxxx</c>)
Field       | Z0.CilSpecs.OperandType.InlineSwitch                                  | 4-byte count N followed by N 4-byte relative instruction offsets
Field       | Z0.CilSpecs.OperandType.InlineTok                                     | 4-byte token (<see cref="!:Table.Field" />, <see cref="!:Table.MemberRef" />,            <see cref="!:Table.Method" />, <see cref="!:Table.MethodSpec" />, <see cref="!:Table.TypeDef" />,            <see cref="!:Table.TypeRef" /> or <see cref="!:Table.TypeSpec" />)
Field       | Z0.CilSpecs.OperandType.InlineType                                    | 4-byte type token (<see cref="!:Table.TypeDef" />, <see cref="!:Table.TypeRef" /> or            <see cref="!:Table.TypeSpec" />)
Field       | Z0.CilSpecs.OperandType.InlineVar                                     | 2-byte param/local index
