Method      | Z0.BitVector.add(Z0.BitVector4,Z0.BitVector4)                         | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.BitVector.concat(Z0.BitVector8,Z0.BitVector8,Z0.BitVector8,Z0.BitVector8,Z0.BitVector8,Z0.BitVector8,Z0.BitVector8,Z0.BitVector8)| Creates a 64-bit vector by concatenating 8 8-bit vectors
Method      | Z0.BitVector.concat(Z0.BitVector16,Z0.BitVector16,Z0.BitVector16,Z0.BitVector16)| Creates a 64-bit vector by concatenating 4 16-bit vectors
Method      | Z0.BitVector.concat(Z0.BitVector32,Z0.BitVector32)                    | Creates a 64-bit vector by concatenating a pair of 32-bit vectors
Method      | Z0.BitVector.true``1(Z0.BitVector{``0},Z0.BitVector{``0})             | Computes the bitwise TRUE operator
Method      | Z0.BitVector.false``1(Z0.BitVector{``0},Z0.BitVector{``0})            | Computes the bitwise FALSE operator
Method      | Z0.BitVector.create(Z0.N4,System.Byte)                                | Creates a 4-bit bitvector from the least 4 source bits
Method      | Z0.BitVector.create(Z0.N4,System.UInt16)                              | Creates a 4-bit bitvector from the least 4 source bits
Method      | Z0.BitVector.create(Z0.N4,System.UInt32)                              | Creates a 4-bit bitvector from the least 4 source bits
Method      | Z0.BitVector.create(Z0.N4,System.UInt64)                              | Creates a 4-bit bitvector from the least 4 source bits
Method      | Z0.BitVector.create(Z0.N4,Z0.bit,Z0.bit)                              | Creates a 4-bit bitvector from 2 explicit bits
Method      | Z0.BitVector.create(Z0.N4,Z0.bit,Z0.bit,Z0.bit)                       | Creates a 4-bit bitvector from 3 explicit bitss
Method      | Z0.BitVector.create(Z0.N4,Z0.bit,Z0.bit,Z0.bit,Z0.bit)                | Creates a 4-bit bitvector from 4 explicit bits
Method      | Z0.BitVector.create(Z0.N4,Z0.BitString)                               | Creates a 4-bit bitvector from a bitstring
Method      | Z0.BitVector.create(Z0.N8,Z0.BitString)                               | Creates a vector from a bitstring
Method      | Z0.BitVector.create(Z0.N8,Z0.bit,Z0.bit,Z0.bit,Z0.bit)                | Creates an 8-bit bitvector from 4 explicit bits
Method      | Z0.BitVector.create(Z0.N8,Z0.bit,Z0.bit,Z0.bit,Z0.bit,Z0.bit,Z0.bit,Z0.bit,Z0.bit)| Creates an 8-bit bitvector from 8 explicit bits
Method      | Z0.BitVector.create(Z0.N8,System.Byte)                                | Creates an 8-bit bitvector from a byte
Method      | Z0.BitVector.create(Z0.N8,System.Int32)                               | Creates an 8-bit bitvector from the least 8 source bits
Method      | Z0.BitVector.create(Z0.N8,System.UInt32)                              | Creates an 8-bit bitvector from the least 8 source bits
Method      | Z0.BitVector.create(Z0.N8,System.UInt64)                              | Creates an 8-bit bitvector from the least 8 source bits
Method      | Z0.BitVector.create(Z0.N16,Z0.BitString)                              | Creates a 16-bit bitvector from a bitstring
Method      | Z0.BitVector.create(Z0.N16,System.Byte,System.Byte)                   | Creates a 16-bit bitvector from hi and lo parts
Method      | Z0.BitVector.create(Z0.N16,System.UInt64)                             | Creates a 16-bit bitvector from the least 16 source bits
Method      | Z0.BitVector.create(Z0.N32,System.UInt32)                             | Creates a 32-bit bitvector from the totality of the source bits
Method      | Z0.BitVector.create(Z0.N32,System.Int32)                              | Creates a 32-bit bitvector from the totality of the source bits
Method      | Z0.BitVector.create(Z0.N32,System.Int64)                              | Creates a 32-bit bitvector from the least 32 source bits
Method      | Z0.BitVector.create(Z0.N32,System.UInt64)                             | Creates a 32-bit bitvector from the least 32 source bits
Method      | Z0.BitVector.create(Z0.N32,Z0.BitString)                              | Creates a 32-bit bitvector from a bitstring
Method      | Z0.BitVector.create(Z0.N32,System.Byte,System.Byte,System.Byte,System.Byte)| Creates a vector from a bitstring
Method      | Z0.BitVector.create(Z0.N32,System.UInt16,System.UInt16)               | Creates a vector from two unsigned 16-bit integers
Method      | Z0.BitVector.create(Z0.N64,System.UInt16,System.UInt16,System.UInt16,System.UInt16)| Creates a generic bitvector from 4 explicit bytes
Method      | Z0.BitVector.create(Z0.N64,System.Byte)                               | Creates a 64-bit bitvector where the first 8 bits a populated with a specified value and             all others are zero
Method      | Z0.BitVector.create(Z0.N64,System.UInt16)                             | Creates a vector from a primal source value
Method      | Z0.BitVector.create(Z0.N64,System.UInt32)                             | Creates a vector from a primal source value
Method      | Z0.BitVector.create(Z0.N64,System.UInt64)                             | Creates a vector from a primal source value
Method      | Z0.BitVector.create(Z0.N64,System.UInt32,System.UInt32)               | Creates a vector from two unsigned 32-bit integers
Method      | Z0.BitVector.create(Z0.N64,Z0.BitString)                              | Creates a vector from a bitstring
Method      | Z0.BitVector.dec(Z0.BitVector4)                                       | Arithmetically decrements the source vector
Method      | Z0.BitVector.dec(Z0.BitVector8)                                       | Arithmetically decrements the source vector
Method      | Z0.BitVector.dec(Z0.BitVector16)                                      | Arithmetically decrements the source vector
Method      | Z0.BitVector.dec(Z0.BitVector32)                                      | Arithmetically decrements the source vector
Method      | Z0.BitVector.dec(Z0.BitVector64)                                      | Arithmetically decrements the source vector
Method      | Z0.BitVector.dec``1(Z0.BitVector{``0})                                | Arithmetically decrements the source vector
Method      | Z0.BitVector.dec``2(Z0.BitVector{``0,``1})                            | Arithmetically decrements the source vector
Method      | Z0.BitVector.disable``1(Z0.BitVector{``0},System.Int32)               | Disables a bit if it is enabled
Method      | Z0.BitVector.disable``2(Z0.BitVector{``0,``1},System.Int32)           | Disables a bit if it is enabled
Method      | Z0.BitVector.disable(Z0.BitVector4,System.Int32)                      | Disables a bit if it is enabled
Method      | Z0.BitVector.disable(Z0.BitVector8,System.Int32)                      | Disables a bit if it is enabled
Method      | Z0.BitVector.disable(Z0.BitVector16,System.Int32)                     | Disables a bit if it is enabled
Method      | Z0.BitVector.disable(Z0.BitVector32,System.Int32)                     | Disables a bit if it is enabled
Method      | Z0.BitVector.disable(Z0.BitVector64,System.Int32)                     | Disables a bit if it is enabled
Method      | Z0.BitVector.dot(Z0.BitVector4,Z0.BitVector4)                         | Computes the scalar product between two bitvectors
Method      | Z0.BitVector.dot(Z0.BitVector8,Z0.BitVector8)                         | Computes the scalar product between two bitvectors
Method      | Z0.BitVector.dot(Z0.BitVector16,Z0.BitVector16)                       | Computes the scalar product between two bitvectors
Method      | Z0.BitVector.dot(Z0.BitVector32,Z0.BitVector32)                       | Computes the scalar product between two bitvectors
Method      | Z0.BitVector.dot(Z0.BitVector64,Z0.BitVector64)                       | Computes the scalar product between two bitvectors
Method      | Z0.BitVector.dot``1(Z0.BitVector{``0},Z0.BitVector{``0})              | Computes the scalar product between two bitvectors
Method      | Z0.BitVector.dot``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})      | Computes the scalar product between two bitvectors
Method      | Z0.BitVector.dot``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the scalar product between two bitvectors
Method      | Z0.BitVector.enable``1(Z0.BitVector{``0},System.Int32)                | Enables a bit if it is disabled
Method      | Z0.BitVector.enable``2(Z0.BitVector{``0,``1},System.Int32)            | Enables a bit if it is disabled
Method      | Z0.BitVector.enable(Z0.BitVector4,System.Int32)                       | Enables a bit if it is disabled
Method      | Z0.BitVector.enable(Z0.BitVector8,System.Int32)                       | Enables a bit if it is disabled
Method      | Z0.BitVector.enable(Z0.BitVector16,System.Int32)                      | Enables a bit if it is disabled
Method      | Z0.BitVector.enable(Z0.BitVector32,System.Int32)                      | Enables a bit if it is disabled
Method      | Z0.BitVector.enable(Z0.BitVector64,System.Int32)                      | Enables a bit if it is disabled
Method      | Z0.BitVector.extend(Z0.BitVector4,Z0.W8)                              | Zero extends the source vector
Method      | Z0.BitVector.extend(Z0.BitVector8,Z0.W16)                             | Zero extends the source vector
Method      | Z0.BitVector.extend(Z0.BitVector16,Z0.W32)                            | Zero extends the source vector
Method      | Z0.BitVector.extend(Z0.BitVector32,Z0.W64)                            | Zero extends the source vector
Method      | Z0.BitVector.extend(Z0.BitVector64,Z0.W128)                           | Zero extends the source vector
Method      | Z0.BitVector.format``1(Z0.BitVector{``0},System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format``2(Z0.BitVector128{``0,``1}@,System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format``2(Z0.BitVector{``0,``1},System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format(Z0.BitVector4,System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format(Z0.BitVector8,System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format(Z0.BitVector16,System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format(Z0.BitVector24,System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format(Z0.BitVector32,System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.format(Z0.BitVector64,System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.BitVector.gather``1(Z0.BitVector{``0},Z0.BitVector{``0})           | Populates a target vector with specified source bits
Method      | Z0.BitVector.gather``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})   | Populates a target vector with specified source bits
Method      | Z0.BitVector.gather(Z0.BitVector4,Z0.BitVector4)                      | Populates a target vector with specified source bits
Method      | Z0.BitVector.gather(Z0.BitVector8,Z0.BitVector8)                      | Populates a target vector with specified source bits
Method      | Z0.BitVector.gather(Z0.BitVector16,Z0.BitVector16)                    | Populates a target vector with specified source bits
Method      | Z0.BitVector.gather(Z0.BitVector32,Z0.BitVector32)                    | Populates a target vector with specified source bits
Method      | Z0.BitVector.gather(Z0.BitVector64,Z0.BitVector64)                    | Populates a target vector with specified source bits
Method      | Z0.BitVector.generic``1(``0)                                          | Creates a generic bitvector
Method      | Z0.BitVector.generic``1(System.Span{System.Byte})                     | Creates a generic bitvector from a span of bytes
Method      | Z0.BitVector.generic``1(Z0.BitString)                                 | Loads an bitvector of minimal size from a source bitstring
Method      | Z0.BitVector.generic(Z0.N8,System.Byte)                               | Creates a byte-generic bitvector
Method      | Z0.BitVector.generic(Z0.N8,Z0.bit,Z0.bit,Z0.bit,Z0.bit)               | Creates a byte-generic bitvector from 4 bits
Method      | Z0.BitVector.generic(System.Byte,System.Byte,System.Byte,System.Byte) | Creates a byte-generic bitvector from 4 explicit bytes
Method      | Z0.BitVector.gfmul(Z0.BitVector8,Z0.BitVector8)                       | Computes the GF(256) product of the operands.
Method      | Z0.BitVector.hamming``1(Z0.BitVector{``0},Z0.BitVector{``0})          | Computes the Hamming distance between two generic bitvectors
Method      | Z0.BitVector.hamming``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})  | Computes the Hamming distance between bitvectors
Method      | Z0.BitVector.hamming``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the Hamming distance between bitvectors
Method      | Z0.BitVector.hamming(Z0.BitVector4,Z0.BitVector4)                     | Computes the Hamming distance between two bitvectors
Method      | Z0.BitVector.hamming(Z0.BitVector8,Z0.BitVector8)                     | Computes the Hamming distance between two bitvectors
Method      | Z0.BitVector.hamming(Z0.BitVector16,Z0.BitVector16)                   | Computes the Hamming distance between two bitvectors
Method      | Z0.BitVector.hamming(Z0.BitVector32,Z0.BitVector32)                   | Computes the Hamming distance between two bitvectors
Method      | Z0.BitVector.hamming(Z0.BitVector64,Z0.BitVector64)                   | Computes the Hamming distance between two bitvectors
Method      | Z0.BitVector.hiseg``1(Z0.BitVector{``0},System.Byte)                  | Constructs a bitvector formed from the n most significant bits of the source vector
Method      | Z0.BitVector.hiseg(Z0.BitVector4,System.Byte)                         | Constructs a bitvector formed from the n most significant bits of the source vector
Method      | Z0.BitVector.hiseg(Z0.BitVector8,System.Byte)                         | Constructs a bitvector formed from the n most significant bits of the source vector
Method      | Z0.BitVector.hiseg(Z0.BitVector16,System.Byte)                        | Constructs a bitvector formed from the n most significant bits of the source vector
Method      | Z0.BitVector.hiseg(Z0.BitVector32,System.Byte)                        | Constructs a bitvector formed from the n most significant bits of the source vector
Method      | Z0.BitVector.hiseg(Z0.BitVector64,System.Byte)                        | Constructs a bitvector formed from the n most significant bits of the source vector
Method      | Z0.BitVector.impl``1(Z0.BitVector{``0},Z0.BitVector{``0})             | Computes the material implication z := x | ~y for bitvectors x and y
Method      | Z0.BitVector.impl``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})     | Computes the material implication z := x | ~y for bitvectors x and y
Method      | Z0.BitVector.impl``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the material implication z := x | ~y for bitvectors x and y
Method      | Z0.BitVector.inc``1(Z0.BitVector{``0})                                | Arithmetically increments the source vector
Method      | Z0.BitVector.inc``2(Z0.BitVector{``0,``1})                            | Arithmetically increments the source vector
Method      | Z0.BitVector.inc(Z0.BitVector8)                                       | Increments the source vector
Method      | Z0.BitVector.inc(Z0.BitVector16)                                      | Increments the source vector
Method      | Z0.BitVector.inc(Z0.BitVector32)                                      | Increments the source vector
Method      | Z0.BitVector.inc(Z0.BitVector64)                                      | Increments the source vector
Method      | Z0.BitVector.init``1(``0)                                             | Initialzes a generic bitvector with a supplied value
Method      | Z0.BitVector.init``2(``1,``0)                                         | Initializes a natural bitvector over a primal type
Method      | Z0.BitVector.init``1(System.Runtime.Intrinsics.Vector128{``0})        | Initializes a full-width 128-bit bitvector
Method      | Z0.BitVector.init``2(System.Runtime.Intrinsics.Vector128{``1},``0)    | Initializes a 128-bit bitvector with effective width determined by the parametric natural type that must not exeed 128
Method      | Z0.BitVector.init(Z0.N4,System.Byte)                                  | Initializes a 4-bit bitvector with a supplied value
Method      | Z0.BitVector.init(System.Byte)                                        | Initializes an 8-bit bitvector with a supplied value
Method      | Z0.BitVector.init(System.UInt16)                                      | Creates a populated 16-bit bitvector
Method      | Z0.BitVector.init(System.UInt16,System.Byte)                          | Initializes a 24-bit bitvector with supplied upper/lower values
Method      | Z0.BitVector.init(Z0.N24,System.UInt32)                               | Initializes a 24-bit bitvector with a supplied value
Method      | Z0.BitVector.init(System.UInt32)                                      | Initializes a 16-bit bitvector with a supplied value
Method      | Z0.BitVector.init(System.UInt64)                                      | Initializes a 16-bit bitvector with a supplied value
Method      | Z0.BitVector.inject(Z0.N4,System.Byte)                                | Creates a 4-bit vector directly from the source data, bypassing masked initialization
Method      | Z0.BitVector.inject``2(``1,``0)                                       | Creates an N-bit vector directly from the source data, bypassing masked initialization
Method      | Z0.BitVector.list(Z0.N8)                                              | Enumerates each and every 8-bit bitvector exactly once
Method      | Z0.BitVector.nonempty(Z0.N8)                                          | Enumerates each nonempty 8-bit bitvector
Method      | Z0.BitVector.list(Z0.N16,System.Int32)                                | Enumerates all 16-bit bitvectors whose width is less than or equal to a specified maximum
Method      | Z0.BitVector.gray(Z0.N8)                                              | Enumerates the 8-bit Gray codes
Method      | Z0.BitVector.list(Z0.N32,System.Int32)                                | Enumerates all 32-bit bitvectors for which the effective width is less than or equal to a specified maximum
Method      | Z0.BitVector.list(Z0.N64,System.Int32)                                | Enumerates all 64-bit bitvectors for which the effective width is less than or equal to a specified maximum
Method      | Z0.BitVector.loseg``1(Z0.BitVector{``0},System.Byte)                  | Constructs a bitvector formed from the n lest significant bits of the source vector
Method      | Z0.BitVector.loseg(Z0.BitVector4,System.Byte)                         | Constructs a bitvector formed from the n lest significant bits of the current vector
Method      | Z0.BitVector.loseg(Z0.BitVector8,System.Byte)                         | Constructs a bitvector formed from the n lest significant bits of the current vector
Method      | Z0.BitVector.loseg(Z0.BitVector16,System.Byte)                        | Constructs a bitvector formed from the n lest significant bits of the current vector
Method      | Z0.BitVector.loseg(Z0.BitVector32,System.Byte)                        | Constructs a bitvector formed from the n lest significant bits of the current vector
Method      | Z0.BitVector.loseg(Z0.BitVector64,System.Byte)                        | Constructs a bitvector formed from the n lest significant bits of the current vector
Method      | Z0.BitVector.modprod``1(Z0.BitVector{``0},Z0.BitVector{``0})          | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitVector.modprod``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})  | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitVector.modprod(Z0.BitVector4,Z0.BitVector4)                     | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitVector.modprod(Z0.BitVector8,Z0.BitVector8)                     | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitVector.modprod(Z0.BitVector16,Z0.BitVector16)                   | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitVector.modprod(Z0.BitVector32,Z0.BitVector32)                   | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitVector.modprod(Z0.BitVector64,Z0.BitVector64)                   | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitVector.mux(Z0.BitVector8,Z0.BitVector4)                         | Uses the first three bits of the control operand to select one of 8 bits from the input operand
Method      | Z0.BitVector.mux(Z0.BitVector16,Z0.BitVector4)                        | Uses the four bits of the control operand to select one of 16 bits from the input operand
Method      | Z0.BitVector.mux(Z0.BitVector32,Z0.BitVector8)                        | Uses the first 5 bits of the control operand to select one of 32 bits from the input operand
Method      | Z0.BitVector.mux(Z0.BitVector64,Z0.BitVector8)                        | Uses the first 6 bits of the control operand to select one of 64 bits from the input operand
Method      | Z0.BitVector.width``2(Z0.BitVector{``0,``1})                          | Computes the effective width of the bitvector as determined by the number of leading zero bits
Method      | Z0.BitVector.pop``2(Z0.BitVector128{``0,``1}@)                        | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.natural``2(``0,``1)                                      | Defines a bitvector of natural width
Method      | Z0.BitVector.natural``2(``0,System.Runtime.Intrinsics.Vector128{``1}) | Defines a 128-bit bitvector of natural width
Method      | Z0.BitVector.natural``2(``1)                                          | Defines a bitvector of natural width
Method      | Z0.BitVector.natural``2(Z0.BitString,``0,``1)                         | Creates a vector from a bitstring
Method      | Z0.BitVector.negate``1(Z0.BitVector{``0})                             | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.negate``2(Z0.BitVector{``0,``1})                         | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.negate``2(Z0.BitVector128{``0,``1}@)                     | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.negate(Z0.BitVector4)                                    | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.negate(Z0.BitVector8)                                    | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.negate(Z0.BitVector16)                                   | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.negate(Z0.BitVector32)                                   | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.negate(Z0.BitVector64)                                   | Computes the two's complement bitvector z := ~x + 1 for a bitvector x
Method      | Z0.BitVector.nlz``1(Z0.BitVector{``0})                                | Counts the number of leading zero bits
Method      | Z0.BitVector.nlz``2(Z0.BitVector{``0,``1})                            | Counts the number of leading zero bits
Method      | Z0.BitVector.nlz(Z0.BitVector4)                                       | Counts the number of leading zero bits
Method      | Z0.BitVector.nlz(Z0.BitVector8)                                       | Counts the number of leading zero bits
Method      | Z0.BitVector.nlz(Z0.BitVector16)                                      | Counts the number of leading zero bits
Method      | Z0.BitVector.nlz(Z0.BitVector32)                                      | Counts the number of leading zero bits
Method      | Z0.BitVector.nlz(Z0.BitVector64)                                      | Counts the number of leading zero bits
Method      | Z0.BitVector.nor``1(Z0.BitVector{``0},Z0.BitVector{``0})              | Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.nor``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})      | Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.nor``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.nor(Z0.BitVector4,Z0.BitVector4)                         | Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.nor(Z0.BitVector8,Z0.BitVector8)                         | Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.nor(Z0.BitVector16,Z0.BitVector16)                       | Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.nor(Z0.BitVector32,Z0.BitVector32)                       | Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.nor(Z0.BitVector64,Z0.BitVector64)                       | Computes the bitvector z: = ~(x | y) from bitvectors x and y
Method      | Z0.BitVector.not``1(Z0.BitVector{``0})                                | Computes the bitwise complement z:= ~x of a bitvector x
Method      | Z0.BitVector.not``2(Z0.BitVector{``0,``1})                            | Computes the bitwise complement z:= ~x of a bitvector x
Method      | Z0.BitVector.not``2(Z0.BitVector128{``0,``1}@)                        | Computes the bitwise complement z:= ~x of a bitvector x
Method      | Z0.BitVector.not(Z0.BitVector4)                                       | Computes the bitwise complement z:= ~x of a bitvector x
Method      | Z0.BitVector.not(Z0.BitVector8)                                       | Computes the bitwise complement z:= ~x of a bitvector x
Method      | Z0.BitVector.not(Z0.BitVector16)                                      | Computes the bitwise complement z:= ~x of a bitvector x
Method      | Z0.BitVector.not(Z0.BitVector32)                                      | Computes the bitwise complement z:= ~x of a bitvector x
