Method      | Z0.Mkl.mkl.iamin(Z0.RowVector256{System.Double})                      | Returns the index of the component with minimal absolute value
Method      | Z0.Mkl.mkl.amin(Z0.RowVector256{System.Double})                       | Returns the value of the component with minimal absolute value
Method      | Z0.Mkl.mkl.norm(Z0.RowVector256{System.Single})                       | Computes the Euclidean norm of the source vector
Method      | Z0.Mkl.mkl.norm(Z0.RowVector256{System.Double})                       | Computes the Euclidean norm of the source vector
Method      | Z0.Mkl.mkl.norm(System.Span{Z0.ComplexF32})                           | Computes the Euclidean norm of the source vector
Method      | Z0.Mkl.mkl.norm(System.Span{Z0.ComplexF64})                           | Computes the Euclidean norm of the source vector
Method      | Z0.Mkl.mkl.scale(System.Single,Z0.RowVector256{System.Single})        | Computes x = ax, in-place
Method      | Z0.Mkl.mkl.scale(System.Single,Z0.RowVector256{System.Single}@,Z0.RowVector256{System.Single}@)| Computes y = ax, leaving x unmodified
Method      | Z0.Mkl.mkl.scale(System.Double,Z0.RowVector256{System.Double})        | Computes x = ax, in-place
Method      | Z0.Mkl.mkl.scale(System.Double,Z0.RowVector256{System.Double}@,Z0.RowVector256{System.Double}@)| Computes y = ax, leaving x unmodified
Method      | Z0.Mkl.mkl.getrf``2(Z0.Matrix256{``0,``1,System.Double},System.Span{System.Int32},Z0.Matrix256{``0,``1,System.Double}@)| Computes an LU factorization of a general M-by-N matrix A using partial pivoting with row interchanges.
Method      | Z0.Mkl.mkl.getrf``1(Z0.Matrix256{``0,System.Double},System.Span{System.Int32},Z0.Matrix256{``0,System.Double}@)| Computes an LU factorization of an N-square matrix A using partial pivoting with row interchanges.
Method      | Z0.Mkl.mkl.potrf``1(Z0.Matrix256{``0,System.Double},Z0.TriangularKind)| Attempts to use the cholesky algorithm to factor a square matrix as either            A = L*Transpose(L)  or A = Transpose(U)*U according to whether the tk parameter            respectively specifies Lower or Upper triangulation.
Method      | Z0.Mkl.mkl.posdef``1(Z0.Matrix256{``0,System.Single})                 | Returns true if the matrix is positive-definite, false otherwise
Method      | Z0.Mkl.mkl.posdef``1(Z0.Matrix256{``0,System.Double})                 | Returns true if the matrix is positive-definite, false otherwise
Method      | Z0.Mkl.mkl.head``1(Z0.RowVector256{``0})                              | Returns a reference to the location of the first span element
Method      | Z0.Mkl.mkl.head``2(Z0.Block256{``0,``1})                              | Returns a reference to the location of the first \element
Method      | Z0.Mkl.mkl.head``2(Z0.Matrix256{``0,``1})                             | Returns a reference to the location of the first \element
Method      | Z0.Mkl.mkl.head``3(Z0.Matrix256{``0,``1,``2})                         | Returns a reference to the location of the first \element
Method      | Z0.Mkl.mkl.head``1(System.Span{``0})                                  | Returns a reference to the location of the first span element
Method      | Z0.Mkl.mkl.add(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = lhs[i] + rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.add(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = lhs[i] + rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.add``1(Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single}@)| Computes dst[i] = lhs[i] + rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.add``1(Z0.Block256{``0,System.Double},Z0.Block256{``0,System.Double},Z0.Block256{``0,System.Double}@)| Computes dst[i] = lhs[i] + rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.sub(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = lhs[i] - rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.sub(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = lhs[i] - rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.sub``1(Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single}@)| Computes dst[i] = lhs[i] - rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.sub``1(Z0.Block256{``0,System.Double},Z0.Block256{``0,System.Double},Z0.Block256{``0,System.Double}@)| Computes dst[i] = lhs[i] - rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.mul(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = lhs[i] * rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.mul(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = lhs[i] * rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.mul``1(Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single},Z0.Block256{``0,System.Single}@)| Computes dst[i] = lhs[i] * rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.mul``1(Z0.Block256{``0,System.Double},Z0.Block256{``0,System.Double},Z0.Block256{``0,System.Double}@)| Computes dst[i] = lhs[i] * rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.div(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = lhs[i] / rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.div(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = lhs[i] / rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.mod(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = lhs[i] % rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.mod(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = lhs[i] % rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.mod``2(Z0.Matrix256{``0,``1,System.Single},Z0.Matrix256{``0,``1,System.Single},Z0.Matrix256{``0,``1,System.Single}@)| Computes X[i,j] = A[i,j] % B[i,j] for each row/col index i/j
Method      | Z0.Mkl.mkl.mod``2(Z0.Matrix256{``0,``1,System.Double},Z0.Matrix256{``0,``1,System.Double},Z0.Matrix256{``0,``1,System.Double}@)| Computes X[i,j] = A[i,j] % B[i,j] for each row/col index i/j
Method      | Z0.Mkl.mkl.truncRem(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Truncates the source vector and deposits the result in trunc and the fractional part             that was removed when producing the truncation
Method      | Z0.Mkl.mkl.truncRem(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Truncates the source vector and deposits the result in trunc and the fractional part             that was removed when producing the truncation
Method      | Z0.Mkl.mkl.rem(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = remainder(lhs[i] / rhs[i]) for i = 0...n-1
Method      | Z0.Mkl.mkl.rem(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = remainder(lhs[i] / rhs[i]) for i = 0...n-1
Method      | Z0.Mkl.mkl.frac(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the fractional part of each component
Method      | Z0.Mkl.mkl.frac(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the fractional part of each component
Method      | Z0.Mkl.mkl.square(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = (src[i])^2 for i=0..n-1
Method      | Z0.Mkl.mkl.square(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = (src[i])^2 for i=0..n-1
Method      | Z0.Mkl.mkl.sqrt(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = (src[i])^(1/2) for i=0..n-1
Method      | Z0.Mkl.mkl.sqrt(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = (src[i])^(1/2) for i=0..n-1
Method      | Z0.Mkl.mkl.abs(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = |src[i]| for i=0..n-1
Method      | Z0.Mkl.mkl.abs(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = |src[i]| for i = 0...n-1
Method      | Z0.Mkl.mkl.min(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = min(a[i], b[i]) for i = 0...n-1
Method      | Z0.Mkl.mkl.min(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = min(a[i], b[i]) for i = 0...n-1
Method      | Z0.Mkl.mkl.max(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = max(a[i], b[i]) for i = 0...n-1
Method      | Z0.Mkl.mkl.max(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = max(a[i], b[i]) for i = 0...n-1
Method      | Z0.Mkl.mkl.maxAbs(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = max(|a[i]|, |b[i]|) for i = 0...n-1
Method      | Z0.Mkl.mkl.maxAbs(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = max(|a[i]|, |b[i]|) for i = 0...n-1
Method      | Z0.Mkl.mkl.minAbs(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = min(|a[i]|, |b[i]|) for i = 0...n-1
Method      | Z0.Mkl.mkl.minAbs(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = min(|a[i]|, |b[i]|) for i = 0...n-1
Method      | Z0.Mkl.mkl.next(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = src[i] + epsilon
Method      | Z0.Mkl.mkl.next(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = src[i] + epsilon
Method      | Z0.Mkl.mkl.round(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] =round(src[i]) for i=0..n-1 where "round" maps the input to the nearest integral value
Method      | Z0.Mkl.mkl.round(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] =round(src[i]) for i=0..n-1 where "round" maps the input to the nearest integral value
Method      | Z0.Mkl.mkl.round``2(Z0.Matrix256{``0,``1,System.Single}@)             | Rounds each element towards the nearest integral value
Method      | Z0.Mkl.mkl.round``2(Z0.Matrix256{``0,``1,System.Double}@)             | Rounds each element towards the nearest integral value
Method      | Z0.Mkl.mkl.trunc(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] =truncate(src[i]) for i=0..n-1 where "truncate" rounds the input value towards 0
Method      | Z0.Mkl.mkl.trunc(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] =truncate(src[i]) for i=0..n-1 where "truncate" rounds the input value towards 0
Method      | Z0.Mkl.mkl.trunc``2(Z0.Matrix256{``0,``1,System.Double}@)             | Rounds each element towards zero
Method      | Z0.Mkl.mkl.trunc``2(Z0.Matrix256{``0,``1,System.Single}@)             | Rounds each element towards zero
Method      | Z0.Mkl.mkl.floor(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] =floor(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.floor(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] =floor(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.ceil(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = ceil(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.ceil(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = ceil(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.recip(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = 1/src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.recip(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = 1/src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.pow(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = lhs[i]^rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.pow(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = lhs[i]^rhs[i] for i = 0...n-1
Method      | Z0.Mkl.mkl.pow(Z0.RowVector256{System.Single},System.Single,Z0.RowVector256{System.Single}@)| Computes dst[i] = src[i]^exp for i = 0...n-1
Method      | Z0.Mkl.mkl.pow(Z0.RowVector256{System.Double},System.Double,Z0.RowVector256{System.Double}@)| Computes dst[i] = src[i]^exp for i = 0...n-1
Method      | Z0.Mkl.mkl.exp(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = e^src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.exp(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = e^src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.exp2(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = 2^src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.exp2(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = 2^src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.exp10(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = 10^src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.exp10(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = 10^src[i] for i=0..n-1
Method      | Z0.Mkl.mkl.ln(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] =ln(src[i]) for i=0..n-1 where ln denotes the natural log
Method      | Z0.Mkl.mkl.ln(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] =ln(src[i]) for i=0..n-1 where ln denotes the natural log
Method      | Z0.Mkl.mkl.log2(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] =log2(src[i]) for i=0..n-1 where log2 denotes the base 2 log
Method      | Z0.Mkl.mkl.log2(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] =log2(src[i]) for i=0..n-1 where log2 denotes the base 2 log
Method      | Z0.Mkl.mkl.log10(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] =log10(src[i]) for i=0..n-1 where log10 denotes the base 10 log
Method      | Z0.Mkl.mkl.log10(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] =log10(src[i]) for i=0..n-1 where log10 denotes the base 10 log
Method      | Z0.Mkl.mkl.erf(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the error function dst[i] =erf(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.erf(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the error function dst[i] =erf(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.erfInv(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the inverse error function dst[i] =erfInv(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.erfInv(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the inverse error function dst[i] =erfInv(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.erfc(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the complementary error function dst[i] =erfc(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.erfc(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the complementary error function dst[i] =erfc(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.erfcInv(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the inverse complementary error function dst[i] =erfcInv(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.erfcInv(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the inverse complementary error function dst[i] =erfcInv(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.expInt(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the exponential integral function dst[i] = E(src[i]) for i=0..n-1 where            E(x) = ∫[x, ∞](e^(-t)/t)dt = ∫[1, ∞](e^(-xt)/t)dt
Method      | Z0.Mkl.mkl.expInt(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the exponential integral function dst[i] = E(src[i]) for i=0..n-1 where            E(x) = ∫[x, ∞](e^(-t)/t)dt = ∫[1, ∞](e^(-xt)/t)dt
Method      | Z0.Mkl.mkl.cdfNorm(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = cdfnorm(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.cdfNorm(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = cdfnorm(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.cdfNormInv(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = cdfnormInv(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.cdfNormInv(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes dst[i] = cdfnormInv(src[i]) for i=0..n-1
Method      | Z0.Mkl.mkl.gamma(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes the gamma function: dst[i] = gamma(src[i])
Method      | Z0.Mkl.mkl.gamma(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes the gamma function: dst[i] = gamma(src[i])
Method      | Z0.Mkl.mkl.lgamma(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes of natural logarithm of the absolute value of gamma function: dst[i] = lgamma(src[i])
Method      | Z0.Mkl.mkl.lgamma(Z0.RowVector256{System.Double},Z0.RowVector256{System.Double}@)| Computes of natural logarithm of the absolute value of gamma function: dst[i] = lgamma(src[i])
Method      | Z0.Mkl.mkl.hypot(Z0.RowVector256{System.Single},Z0.RowVector256{System.Single},Z0.RowVector256{System.Single}@)| Computes dst[i] = sqrt(a[i]^2 + b[i]^2)
Method      | Z0.Mkl.mklx.NewStream(Z0.Mkl.Brng,System.UInt32,System.Int32)         | Initializes a new VslStream for rng
Method      | Z0.Mkl.mklx.Brng(Z0.Mkl.VslStream)                                    | Gets the mkl brng identifier associated with a stream
Method      | Z0.Mkl.mklx.ToBrng(Z0.RngKind)                                        | Gets the intel brng identifier associated with system rng classifier
Method      | Z0.Mkl.mklx.ToRngKind(Z0.Mkl.Brng)                                    | Gets the system rng classifier associated with a mkl brng
Method      | Z0.Mkl.mklx.RngKind(Z0.Mkl.VslStream)                                 | Gets system rng classifier associated with a stream
Method      | Z0.Mkl.mklx.Sampler``1(Z0.Mkl.MklRng,Z0.IDistributionSpec{``0})       | Returns the sampler for a specified rng, data type and distribution spec
Method      | Z0.Mkl.mklx.UniformSampler``1(Z0.Mkl.MklRng,System.Nullable{Z0.UniformSpec{``0}})| Returns a uniform distribution sampler
Method      | Z0.Mkl.mklx.UniformBitsSampler``1(Z0.Mkl.MklRng,System.Nullable{Z0.UniformBitsSpec{``0}})| Returns a uniform bits distribution sampler
Method      | Z0.Mkl.mklx.BernoulliSampler``1(Z0.Mkl.MklRng,Z0.BernoulliSpec{``0})  | Returns a Bernoulli distribution sampler
Method      | Z0.Mkl.mklx.GaussianSampler``1(Z0.Mkl.MklRng,Z0.GaussianSpec{``0})    | Returns a Gaussian distribution sampler
Type        | Z0.Mkl.mklu                                                           | mkl + u = Unsafe, Unsized, Unchecked and Unblocked
Field       | Z0.Mkl.Sampler`2.DistSpec                                             | Characterizes the distribution that will be used when sampling
Type        | Z0.Mkl.rng                                                            | Defines rng stream factor methods
Method      | Z0.Mkl.rng.mrg32K31(System.UInt32)                                    | Creates a stream predicated on VSL_BRNG_MRG32K3A, A combined multiple recursive generator with two components of order 3.
Method      | Z0.Mkl.rng.mcg31(System.UInt32)                                       | Creates a stream predicated on the VSL_BRNG_MCG31, A 31-bit multiplicative congruential generator.
Method      | Z0.Mkl.rng.mcg59(System.UInt32)                                       | Creates a stream predicated on VSL_BRNG_MCG59, A 59-bit multiplicative congruential generator.
Method      | Z0.Mkl.rng.entropy                                                    | Creates a stream predicated on VSL_BRNG_NONDETERM, A non-deterministic random number generator.
Method      | Z0.Mkl.rng.r250(System.UInt32)                                        | Creates a stream predicated on VSL_BRNG_R250, A generalized feedback shift register generator.
Method      | Z0.Mkl.rng.mt19937(System.UInt32)                                     | Creates a stream predicated on VSL_BRNG_MT19937, A Mersenne Twister pseudorandom number generator.
Method      | Z0.Mkl.rng.sfmt19937(System.UInt32)                                   | Creates a stream predicated on VSL_BRNG_SFMT19937, A SIMD-oriented Fast Mersenne Twister pseudorandom number generator.
Method      | Z0.Mkl.rng.wh(System.UInt32,System.Int32)                             | Creates a stream predicated on VSL_BRNG_WH, A set of 273 Wichmann-Hill combined multiplicative congruential generators.
Method      | Z0.Mkl.rng.mt2203(System.UInt32,System.Int32)                         | Creates a stream predicated on VSL_BRNG_MT2203, A set of 6024 Mersenne Twister pseudorandom number generators
Method      | Z0.Mkl.rng.philox(System.UInt32)                                      | Creates a stream predicated on VSL_BRNG_PHILOX4X32X10, A Philox4x32-10 counter-based pseudorandom number generator.
Method      | Z0.Mkl.rng.ars5(System.UInt32)                                        | Creates a stream predicated on VSL_BRNG_ARS5, an ARS-5 counter-based pseudorandom number generator that uses instructions from the AES-NI set
Method      | Z0.Mkl.rng.sobol(System.UInt32)                                       | Creates a stream predicated on VSL_BRNG_SOBOL, A 32-bit Gray code-based generator producing low-discrepancy sequences for dimensions 1 ≤ s ≤ 40
