Type        | PartId                                                                | Defines identifiers for assemblies that comprise this ... monstrosity?
Property    | Z0.Konst.LowerCase                                                    | Lowercase letter classifier accessor
Property    | Z0.Konst.Letter                                                       | Letter classifier accessor
Property    | Z0.Konst.Number                                                       | Number classifier accessor
Field       | Z0.Konst.NoCase                                                       | An abbreviation for the ridiculously long "StringComparison.InvariantCultureIgnoreCase"
Field       | Z0.Konst.Cased                                                        | An abbreviation for the somewhat verbose "StringComparison.InvariantCulture"
Field       | Z0.Konst.WidthOffset                                                  | The number of bits to shift a field specifier left/right to reveal/specify the width of an identified field
Field       | Z0.Konst.FieldDelimiter                                               | The default delimiter to use when formatting structured text
Field       | Z0.Konst.EmptyString                                                  | What else could this be?
Field       | Z0.Konst.Space                                                        | What else could this be?
Field       | Z0.Konst.Eol                                                          | The end-of-line escape sequence
Field       | Z0.Konst.RBrace                                                       | The '{' character
Field       | Z0.Konst.LBrace                                                       | The '}' character
Field       | Z0.Konst.Overwrite                                                    | Indicates that emitted content should overwrite whatever file content may exist
Field       | Z0.Konst.Append                                                       | Indicates that emitted content should be appended to a file, rather than replacing a file
Field       | Z0.Konst.NotFound                                                     | Canonical return value for search operation that returns a nonnegative vaule upon succes
Field       | Z0.Konst.AsciArrow                                                    | The "-&gt;" character sequence
Field       | Z0.Konst.Define                                                       | The ":=" character sequence
Field       | Z0.Konst.SpacePipe                                                    | The " | " character sequence
Property    | Z0.Konst.base2                                                        | Species the base2 singleton representative
Property    | Z0.Konst.Base2                                                        | Species the base2 singleton representative
Property    | Z0.Konst.Base3                                                        | Species the base8 singleton representative
Property    | Z0.Konst.Base8                                                        | Species the base8 singleton representative
Property    | Z0.Konst.base10                                                       | Species the base10 singleton representative
Property    | Z0.Konst.Base10                                                       | Species the base10 singleton representative
Property    | Z0.Konst.Base16                                                       | Species the base16 singleton representative
Field       | Z0.Konst.Max8i                                                        | The largest representable int 8 value
Field       | Z0.Konst.Max8u                                                        | The largest representable uint8 value
Field       | Z0.Konst.Max16i                                                       | The largest representable int16 value
Field       | Z0.Konst.Max16u                                                       | The largest representable uint16 value
Field       | Z0.Konst.Max24u                                                       | The largest representable uint64 value
Field       | Z0.Konst.Max32u                                                       | The largest representable uint32 value
Field       | Z0.Konst.Max40u                                                       | The largest representable value v where v:uint40
Field       | Z0.Konst.Max48u                                                       | The largest representable value v where v:uint48
Field       | Z0.Konst.Max56u                                                       | The largest representable value v where v:uint56
Field       | Z0.Konst.Max64u                                                       | The largest representable value v where v:uint64
Field       | Z0.Konst.Max32f                                                       | The largest representable value v where v:float32
Field       | Z0.Konst.Max64f                                                       | The largest representable value v where v:float64
Field       | Z0.Konst.Max32i                                                       | The largest representable value v where v:int32
Field       | Z0.Konst.Max64i                                                       | The largest representable value v where v:int64
Field       | Z0.Konst.Min8i                                                        | The smallest representable int8 value
Field       | Z0.Konst.Min16i                                                       | The smallest representable int16 value
Field       | Z0.Konst.Min32i                                                       | The smallest representable int32 value
Field       | Z0.Konst.Min64i                                                       | The smallest representable int64 value
Field       | Z0.Konst.Min32f                                                       | The smallest representable float32 value
Field       | Z0.Konst.Min64f                                                       | The smallest representable float64 value
Field       | Z0.Konst.Min128f                                                      | The smallest representable float128 value
Field       | Z0.Konst.One8i                                                        | One, presented as an 8-bit signed integer
Field       | Z0.Konst.One8u                                                        | One, presented as an 8-bit unsigned integer
Field       | Z0.Konst.One16i                                                       | One, presented as a 16-bit signed integer
Field       | Z0.Konst.One16u                                                       | One, presented as a 16-bit unsigned integer
Field       | Z0.Konst.One32i                                                       | One, presented as a 32-bit signed integer
Field       | Z0.Konst.One32u                                                       | One, presented as a 32-bit unsigned integer
Field       | Z0.Konst.One64i                                                       | One, presented as a 64-bit signed integer
Field       | Z0.Konst.One64u                                                       | One, presented as a 64-bit unsigned integer
Field       | Z0.Konst.One32f                                                       | One, presented as a 32-bit floating-point number
Field       | Z0.Konst.One64f                                                       | One, presented as a 64-bit floating-point number
Field       | Z0.Konst.One128f                                                      | One, presented as a 128-bit floating-point number
Field       | Z0.Konst.Zero8i                                                       | Zero, presented as an 8-bit signed integer
Field       | Z0.Konst.Zero8u                                                       | Zero, presented as an 8-bit unsigned integer
Field       | Z0.Konst.Zero16i                                                      | Zero, presented as a 16-bit signed integer
Field       | Z0.Konst.Zero16u                                                      | Zero, presented as a 16-bit unsigned integer
Field       | Z0.Konst.Zero32i                                                      | Zero, presented as a 32-bit signed integer
Field       | Z0.Konst.Zero32u                                                      | Zero, presented as a 32-bit unsigned integer
Field       | Z0.Konst.Zero64i                                                      | Zero, presented as a 64-bit signed integer
Field       | Z0.Konst.Zero64u                                                      | Zero, presented as a 64-bit unsigned integer
Field       | Z0.Konst.Zero32f                                                      | Zero, presented as a 32-bit floating-point number
Field       | Z0.Konst.Zero64f                                                      | Zero, presented as a 64-bit floating-point number
Field       | Z0.Konst.Zero128f                                                     | Zero, presented as a 128-bit floating-point number
Field       | Z0.Konst.Zero16c                                                      | Zero, presented as a character
Field       | Z0.Konst.Zero8b                                                       | Zero, presented as a boolean
Field       | Z0.Konst.z8i                                                          | The zero-value for an 8-bit signed integer
Field       | Z0.Konst.z8                                                           | The zero-value for an 8-bit usigned integer
Field       | Z0.Konst.z16i                                                         | The zero-value for a 16-bit signed integer
Field       | Z0.Konst.z16                                                          | The zero-value for a 16-bit unsigned integer
Field       | Z0.Konst.z32i                                                         | The zero-value for a 32-bit signed integer
Field       | Z0.Konst.z32                                                          | The zero-value for a 32-bit usigned integer
Field       | Z0.Konst.z64i                                                         | The zero-value for a 64-bit signed integer
Field       | Z0.Konst.z64                                                          | The zero-value for a 64-bit usigned integer
Field       | Z0.Konst.c16                                                          | Zero, presented as a character, expressed with an impressively-short identifier
Field       | Z0.Konst.z32f                                                         | The zero-value for a 32-bit float
Field       | Z0.Konst.z64f                                                         | The zero-value for a 64-bit float
Field       | Z0.Konst.z128f                                                        | The zero-value for a 128-bit float
Property    | Z0.SymbolKonst.UpperHexCodes                                          | Defines a 16-byte sequence with terms that correspond to the ASCI codes the hex digits {0..9,A..F}
Property    | Z0.SymbolKonst.LowerHexCodes                                          | Defines a 16-byte sequence with terms that correspond to the ASCI codes for hex digits {0..9,a..f}
Property    | Z0.SymbolKonst.UpperHexSymbols                                        | Defines a 16-element sequence with terms that correspond to the uppercase hex symbolic literals
Property    | Z0.SymbolKonst.LowerHexSymbols                                        | Defines a 16-element sequence with terms that correspond to the lowercase hex symbolic literals
Property    | Z0.VectorKonst.BlendSpec_Even_256x8                                   | Defines a mask for an even 256x8-bit blend
Property    | Z0.VectorKonst.BlendSpec_Odd_256x8                                    | Defines a mask for an even 256x8-bit blend
Property    | Z0.VectorKonst.BlendSpec_Even_256x16                                  | Defines a mask for an even 256x8-bit blend
Property    | Z0.VectorKonst.BlendSpec_Odd_256x16                                   | Defines a mask for an odd 256x32-bit blend
Property    | Z0.VectorKonst.BlendSpec_Even_256x32                                  | Defines a mask for an even 256x32-bit blend
Property    | Z0.VectorKonst.BlendSpec_Odd_256x32                                   | Defines a mask for an odd 256x32-bit blend
Property    | Z0.VectorKonst.BlendSpec_Even_256x64                                  | Defines a mask for an even 256x64-bit blend
Property    | Z0.VectorKonst.BlendSpec_Odd_256x64                                   | Defines a mask for an odd 256x64-bit blend
Property    | Z0.VectorKonst.ByteSwap128x16u                                        | Shuffle pattern that, when applied, swaps the byte-level representation of 16-bit unsigned integers
Property    | Z0.VectorKonst.ByteSwap128x32u                                        | Shuffle pattern that, when applied, swaps the byte-level representation of 32-bit unsigned integers
Property    | Z0.VectorKonst.ByteSwap128x64u                                        | Shuffle pattern that, when applied, swaps the byte-level representation of 64-bit unsigned integers
Property    | Z0.VectorKonst.ByteSwap256x16u                                        | Shuffle pattern that, when applied, swaps the byte-level representation of 16-bit unsigned integers
Property    | Z0.VectorKonst.ByteSwap256x32u                                        | Shuffle pattern that, when applied, swaps the byte-level representation of 32-bit unsigned integers
Property    | Z0.VectorKonst.ByteSwap256x64u                                        | Shuffle pattern that, when applied, swaps the byte-level representation of 64-bit unsigned integers
Property    | Z0.VectorKonst.RotR48_128x8u                                          | Shuffle pattern that, when applied, rotates 128 bits of content rightward by 48 bits
Property    | Z0.VectorKonst.RotR8_128x8u                                           | Shuffle pattern that, when applied, rotates 128 bits of content rightward by 8 bits
Property    | Z0.VectorKonst.RotR16_128x8u                                          | Shuffle pattern that, when applied, rotates 128 bits of content rightward by 16 bits
Property    | Z0.VectorKonst.RotR24_128x8u                                          | Shuffle pattern that, when applied, rotates 128 bits of content rightward by 24 bits
Property    | Z0.VectorKonst.RotR32_128x8u                                          | Shuffle pattern that, when applied, rotates 128 bits of content rightward by 32 bits
Property    | Z0.VectorKonst.RotR40_128x8u                                          | Shuffle pattern that, when applied, rotates 128 bits of content rightward by 40 bits
Type        | Z0.AgentState                                                         | Defines the states in the agent lifecycle
Field       | Z0.AppMsgColor.Unspecified                                            | Boring
Field       | Z0.AppMsgColor.Gray                                                   | Gray foreground
Field       | Z0.AppMsgColor.DarkGray                                               | Dark gray foreground
Field       | Z0.AppMsgColor.Green                                                  | Green foreground
Field       | Z0.AppMsgColor.DarkGreen                                              | Dark green foreground
Field       | Z0.AppMsgColor.Blue                                                   | Light blue foreground
Field       | Z0.AppMsgColor.DarkBlue                                               | Dark blue foreground
Field       | Z0.AppMsgColor.Cyan                                                   | Cyan foreground
Field       | Z0.AppMsgColor.DarkCyan                                               | Dark cyan foreground
Field       | Z0.AppMsgColor.Magenta                                                | Magenta foreground
Field       | Z0.AppMsgColor.DarkMagenta                                            | Dark magenta foreground
Field       | Z0.AppMsgColor.Yellow                                                 | Yellow foreground
Field       | Z0.AppMsgColor.DarkYellow                                             | Dark yellow foreground
Field       | Z0.AppMsgColor.Red                                                    | Red foreground
Field       | Z0.AppMsgColor.DarkRed                                                | Dark red foreground
Type        | Z0.AppMsgKind                                                         | Classifier for application messages
Field       | Z0.AppMsgKind.Unspecified                                             | Boring
Field       | Z0.AppMsgKind.Babble                                                  | Identifies chatty content
Field       | Z0.AppMsgKind.Info                                                    | Identifies iformational content
Field       | Z0.AppMsgKind.Warning                                                 | Identifies warning content
Field       | Z0.AppMsgKind.Error                                                   | Identifies error content
Field       | Z0.AppMsgKind.Benchmark                                               | Identifies benchmark/timing result
Field       | Z0.AppMsgKind.HiliteBD                                                | Dark blue foreground
Field       | Z0.AppMsgKind.HiliteBL                                                | Light blue foreground
Field       | Z0.AppMsgKind.HiliteCD                                                | Dark cyan foreground
Field       | Z0.AppMsgKind.HiliteCL                                                | Cyan foreground
Field       | Z0.AppMsgKind.HiliteMD                                                | Dark magenta foreground
Field       | Z0.AppMsgKind.HiliteML                                                | Magenta foreground
Type        | Z0.AsciChar                                                           | All of the asci characters belong to us
Field       | Z0.AsciChar.Null                                                      | Asci null
Field       | Z0.AsciChar.a                                                         | The 'a' symbol
Field       | Z0.AsciChar.b                                                         | The 'b' symbol
Field       | Z0.AsciChar.c                                                         | The 'c' symbol
Field       | Z0.AsciChar.d                                                         | The 'd' symbol
Field       | Z0.AsciChar.e                                                         | The 'e' symbol
Field       | Z0.AsciChar.f                                                         | The 'f' symbol
Field       | Z0.AsciChar.g                                                         | The 'g' symbol
Field       | Z0.AsciChar.h                                                         | The 'h' symbol
Field       | Z0.AsciChar.i                                                         | The 'i' symbol
Field       | Z0.AsciChar.j                                                         | The 'j' symbol
Field       | Z0.AsciChar.k                                                         | The 'k' symbol
Field       | Z0.AsciChar.l                                                         | The 'l' symbol
Field       | Z0.AsciChar.m                                                         | The 'm' symbol
Field       | Z0.AsciChar.n                                                         | The 'n' symbol
Field       | Z0.AsciChar.o                                                         | The 'o' symbol
Field       | Z0.AsciChar.p                                                         | The 'p' symbol
Field       | Z0.AsciChar.q                                                         | The 'q' symbol
Field       | Z0.AsciChar.r                                                         | The 'r' symbol
Field       | Z0.AsciChar.s                                                         | The 's' symbol
Field       | Z0.AsciChar.t                                                         | The 't' symbol
Field       | Z0.AsciChar.u                                                         | The 'u' symbol
Field       | Z0.AsciChar.v                                                         | The 'v' symbol
Field       | Z0.AsciChar.w                                                         | The 'w' symbol
Field       | Z0.AsciChar.x                                                         | The 'x' symbol
Field       | Z0.AsciChar.y                                                         | The 'y' symbol
Field       | Z0.AsciChar.z                                                         | The 'z' symbol
Field       | Z0.AsciChar.A                                                         | The 'A' symbol
Field       | Z0.AsciChar.B                                                         | The 'B' symbol
Field       | Z0.AsciChar.C                                                         | The 'C' symbol
Field       | Z0.AsciChar.D                                                         | The 'D' symbol
Field       | Z0.AsciChar.E                                                         | The 'E' symbol
Field       | Z0.AsciChar.F                                                         | The 'F' symbol
Field       | Z0.AsciChar.G                                                         | The 'G' symbol
Field       | Z0.AsciChar.H                                                         | The 'H' symbol
Field       | Z0.AsciChar.I                                                         | The 'I' symbol
Field       | Z0.AsciChar.J                                                         | The 'J' symbol
Field       | Z0.AsciChar.K                                                         | The 'K' symbol
Field       | Z0.AsciChar.L                                                         | The 'L' symbol
Field       | Z0.AsciChar.M                                                         | The 'M' symbol
Field       | Z0.AsciChar.N                                                         | The 'N' symbol
Field       | Z0.AsciChar.O                                                         | The 'O' symbol
Field       | Z0.AsciChar.P                                                         | The 'P' symbol
Field       | Z0.AsciChar.Q                                                         | The 'Q' symbol
Field       | Z0.AsciChar.R                                                         | The 'R' symbol
Field       | Z0.AsciChar.S                                                         | The 'S' symbol
Field       | Z0.AsciChar.T                                                         | The 'T' symbol
Field       | Z0.AsciChar.U                                                         | The 'U' symbol
Field       | Z0.AsciChar.V                                                         | The 'V' symbol
Field       | Z0.AsciChar.W                                                         | The 'W' symbol
Field       | Z0.AsciChar.X                                                         | The 'X' symbol
Field       | Z0.AsciChar.Y                                                         | The 'Y' symbol
Field       | Z0.AsciChar.Z                                                         | The 'Z' symbol
Field       | Z0.AsciChar.d0                                                        | Specifies 0 base 10, asci code 48
Field       | Z0.AsciChar.d1                                                        | Specifies 1 base 10, asci code 49
Field       | Z0.AsciChar.d2                                                        | Specifies 2 base 10, asci code 50
Field       | Z0.AsciChar.d3                                                        | Specifies 3 base 10, asci code 51
Field       | Z0.AsciChar.d4                                                        | Specifies 4 base 10, asci code 52
Field       | Z0.AsciChar.d5                                                        | Specifies 5 base 10, asci code 53
Field       | Z0.AsciChar.d6                                                        | Specifies 6 base 10, asci code 54
Field       | Z0.AsciChar.d7                                                        | Specifies 7 base 10, asci code 55
Field       | Z0.AsciChar.d8                                                        | Specifies 8 base 10, asci code 56
Field       | Z0.AsciChar.d9                                                        | Specifies 9 base 10, asci code 57
Field       | Z0.AsciChar.At                                                        | The '@' character
Field       | Z0.AsciChar.Bang                                                      | The '!' character
Field       | Z0.AsciChar.BSlash                                                    | The backslash character
Field       | Z0.AsciChar.Caret                                                     | The '^' character
Field       | Z0.AsciChar.Colon                                                     | The ':' character
Field       | Z0.AsciChar.Comma                                                     | The ',' character
Field       | Z0.AsciChar.Dash                                                      | The '-' character
Field       | Z0.AsciChar.Dollar                                                    | The '$' character
Field       | Z0.AsciChar.Dot                                                       | The '.' character
Field       | Z0.AsciChar.Eq                                                        | The '=' character
Field       | Z0.AsciChar.FSlash                                                    | The '/' character
Field       | Z0.AsciChar.Gt                                                        | The '&gt;' character
Field       | Z0.AsciChar.Hash                                                      | The '#' character
Field       | Z0.AsciChar.LBrace                                                    | The '{' character
Field       | Z0.AsciChar.LBracket                                                  | The '[' character
Field       | Z0.AsciChar.LParen                                                    | The '(' character
Field       | Z0.AsciChar.Percent                                                   | The '%' character
Field       | Z0.AsciChar.Pipe                                                      | The '|' character
Field       | Z0.AsciChar.Plus                                                      | The '+' character
Field       | Z0.AsciChar.Question                                                  | The '?' character
Field       | Z0.AsciChar.Quote                                                     | The '"' character
Field       | Z0.AsciChar.RParen                                                    | The ')' character
Field       | Z0.AsciChar.RBrace                                                    | The '}' character
Field       | Z0.AsciChar.RBracket                                                  | The ']' character
Field       | Z0.AsciChar.Semicolon                                                 | The ',' character
Field       | Z0.AsciChar.Space                                                     | The ' ' character
Field       | Z0.AsciChar.SQuote                                                    | The ''' character
Field       | Z0.AsciChar.MUL                                                       | The '*' character
Field       | Z0.AsciChar.SYM                                                       | The '~' character
Field       | Z0.AsciChar.US                                                        | The '_' character
Field       | Z0.AsciChar.Tab                                                       | The tab character
Field       | Z0.AsciChar.NL                                                        | The line-feed character
Field       | Z0.AsciChar.CR                                                        | The carriage-return character
Field       | Z0.AsciChar.DEL                                                       | The delete control symbol
Field       | Z0.AsciCharCode.Null                                                  | The asci code for null
Field       | Z0.AsciCharCode.Tab                                                   | The tab character code 9
Field       | Z0.AsciCharCode.NL                                                    | The new-line character code 10
Field       | Z0.AsciCharCode.CR                                                    | The line-feed character code 13
Field       | Z0.AsciCharCode.Space                                                 | The ' ' character code 32
Field       | Z0.AsciCharCode.Bang                                                  | The '!' character code 33
Field       | Z0.AsciCharCode.Quote                                                 | The '"' character code 34
Field       | Z0.AsciCharCode.Hash                                                  | The '#' character code 35
Field       | Z0.AsciCharCode.Dollar                                                | The '$' character code 36
Field       | Z0.AsciCharCode.Percent                                               | The '%' character code 37
Field       | Z0.AsciCharCode.SQuote                                                | The ''' character code 39
Field       | Z0.AsciCharCode.LParen                                                | The '(' character code 40
Field       | Z0.AsciCharCode.RParen                                                | The ')' character code 41
Field       | Z0.AsciCharCode.RBrace                                                | The '}' character code 41
Field       | Z0.AsciCharCode.Star                                                  | The '*' character code 42
Field       | Z0.AsciCharCode.Plus                                                  | The '+' character code 43
Field       | Z0.AsciCharCode.Comma                                                 | The ,' character code 44
Field       | Z0.AsciCharCode.Dash                                                  | The '-' character code 45
Field       | Z0.AsciCharCode.Dot                                                   | The '.' character code 46
Field       | Z0.AsciCharCode.FSlash                                                | The '/' character code 47
Field       | Z0.AsciCharCode.d0                                                    | Specifies the asci code for the digit '0'
Field       | Z0.AsciCharCode.d1                                                    | Specifies the asci code for the digit '1'
Field       | Z0.AsciCharCode.d2                                                    | Specifies the asci code for the digit '2'
Field       | Z0.AsciCharCode.d3                                                    | Specifies the asci code for the digit '3'
Field       | Z0.AsciCharCode.d4                                                    | Specifies the asci code for the digit '4'
Field       | Z0.AsciCharCode.d5                                                    | Specifies the asci code for the digit '5'
Field       | Z0.AsciCharCode.d6                                                    | Specifies the asci code for the digit '6'
Field       | Z0.AsciCharCode.d7                                                    | Specifies the asci code for the digit '7'
Field       | Z0.AsciCharCode.d8                                                    | Specifies the asci code for the digit '8'
Field       | Z0.AsciCharCode.d9                                                    | Specifies the asci code for the digit '9'
Field       | Z0.AsciCharCode.a                                                     | The 'a' symbol code 97
Field       | Z0.AsciCharCode.b                                                     | The 'b' symbol code 98
Field       | Z0.AsciCharCode.c                                                     | The 'c' symbol code 99
Field       | Z0.AsciCharCode.d                                                     | The 'd' symbol code 100
Field       | Z0.AsciCharCode.e                                                     | The 'e' symbol code 101
Field       | Z0.AsciCharCode.f                                                     | The 'f' symbol code 102
Field       | Z0.AsciCharCode.g                                                     | The 'g' symbol code 103
Field       | Z0.AsciCharCode.h                                                     | The 'h' symbol code 104
Field       | Z0.AsciCharCode.i                                                     | The 'i' symbol code 105
Field       | Z0.AsciCharCode.j                                                     | The 'j' symbol code 106
Field       | Z0.AsciCharCode.k                                                     | The 'k' symbol code 107
Field       | Z0.AsciCharCode.l                                                     | The 'l' symbol code 108
Field       | Z0.AsciCharCode.m                                                     | The 'm' symbol code 109
Field       | Z0.AsciCharCode.n                                                     | The 'n' symbol code 110
Field       | Z0.AsciCharCode.o                                                     | The 'o' symbol code 111
Field       | Z0.AsciCharCode.p                                                     | The 'p' symbol code 112
Field       | Z0.AsciCharCode.q                                                     | The 'q' symbol code 113
Field       | Z0.AsciCharCode.r                                                     | The 'r' symbol code 114
Field       | Z0.AsciCharCode.s                                                     | The 's' symbol code 115
Field       | Z0.AsciCharCode.t                                                     | The 't' symbol code 116
Field       | Z0.AsciCharCode.u                                                     | The 'u' symbol code 117
Field       | Z0.AsciCharCode.v                                                     | The 'v' symbol code 118
Field       | Z0.AsciCharCode.w                                                     | The 'w' symbol code 119
Field       | Z0.AsciCharCode.x                                                     | The 'x' symbol code 120
Field       | Z0.AsciCharCode.y                                                     | The 'y' symbol code 121
Field       | Z0.AsciCharCode.z                                                     | The 'z' symbol code 122
Field       | Z0.AsciCharCode.A                                                     | The 'A' symbol code 65
Field       | Z0.AsciCharCode.B                                                     | The 'B' symbol code 66
Field       | Z0.AsciCharCode.C                                                     | The 'C' symbol code 67
Field       | Z0.AsciCharCode.D                                                     | The 'D' symbol code 68
Field       | Z0.AsciCharCode.E                                                     | The 'E' symbol code 69
Field       | Z0.AsciCharCode.F                                                     | The 'F' symbol code 70
Field       | Z0.AsciCharCode.G                                                     | The 'G' symbol code 71
Field       | Z0.AsciCharCode.H                                                     | The 'H' symbol code 72
Field       | Z0.AsciCharCode.I                                                     | The 'I' symbol code 73
Field       | Z0.AsciCharCode.J                                                     | The 'J' symbol code 74
Field       | Z0.AsciCharCode.K                                                     | The 'K' symbol code 75
Field       | Z0.AsciCharCode.L                                                     | The 'L' symbol code 76
Field       | Z0.AsciCharCode.M                                                     | The 'M' symbol code 77
Field       | Z0.AsciCharCode.N                                                     | The 'N' symbol code 78
Field       | Z0.AsciCharCode.O                                                     | The 'O' symbol code 79
Field       | Z0.AsciCharCode.P                                                     | The 'P' symbol code 80
Field       | Z0.AsciCharCode.Q                                                     | The 'Q' symbol code 81
Field       | Z0.AsciCharCode.R                                                     | The 'R' symbol code 82
Field       | Z0.AsciCharCode.S                                                     | The 'S' symbol code 83
Field       | Z0.AsciCharCode.T                                                     | The 'T' symbol code 84
Field       | Z0.AsciCharCode.U                                                     | The 'U' symbol code 85
Field       | Z0.AsciCharCode.V                                                     | The 'V' symbol code 86
Field       | Z0.AsciCharCode.W                                                     | The 'W' symbol code 87
Field       | Z0.AsciCharCode.X                                                     | The 'X' symbol code 88
Field       | Z0.AsciCharCode.Y                                                     | The 'Y' symbol code 89
Field       | Z0.AsciCharCode.Z                                                     | The 'Z' symbol code 90
Field       | Z0.AsciCharCode.Colon                                                 | The ':' character code 58
Field       | Z0.AsciCharCode.Semicolon                                             | The ,' character code 59
