Method      | Z0.BitGrid.negate``1(Z0.BitGrid16{``0})                               | Computes the two's complement negation of source grid
Method      | Z0.BitGrid.and``3(Z0.BitGrid64{``0,``1,``2},Z0.BitGrid64{``0,``1,``2})| Computes the bitwise AND between fixed-width natural bitgrids
Method      | Z0.BitGrid.and``3(Z0.BitGrid128{``0,``1,``2}@,Z0.BitGrid128{``0,``1,``2}@)| Computes the bitwise AND between fixed-width natural bitgrids
Method      | Z0.BitGrid.and``3(Z0.BitGrid256{``0,``1,``2}@,Z0.BitGrid256{``0,``1,``2}@)| Computes the bitwise AND between fixed-width natural bitgrids
Method      | Z0.BitGrid.and``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)| Computes the bitwise AND between natural bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.nand``1(Z0.BitGrid16{``0},Z0.BitGrid16{``0})               | Computes the bitwise nand between generic bitgrids
Method      | Z0.BitGrid.nand``1(Z0.BitGrid32{``0},Z0.BitGrid32{``0})               | Computes the bitwise nand between generic bitgrids
Method      | Z0.BitGrid.nand``1(Z0.BitGrid64{``0},Z0.BitGrid64{``0})               | Computes the bitwise nand between generic bitgrids
Method      | Z0.BitGrid.nand``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)| Computes the bitwise NAND between generic bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.nand``3(Z0.BitGrid16{``0,``1,``2},Z0.BitGrid16{``0,``1,``2})| Computes the bitwise nand between natural bitgrids
Method      | Z0.BitGrid.nand``3(Z0.BitGrid32{``0,``1,``2},Z0.BitGrid32{``0,``1,``2})| Computes the bitwise nand between natural bitgrids
Method      | Z0.BitGrid.nand``3(Z0.BitGrid64{``0,``1,``2},Z0.BitGrid64{``0,``1,``2})| Computes the bitwise nand between natural bitgrids
Method      | Z0.BitGrid.nand``3(Z0.BitGrid128{``0,``1,``2}@,Z0.BitGrid128{``0,``1,``2}@)| Computes the bitwise nand between natural bitgrids
Method      | Z0.BitGrid.nand``3(Z0.BitGrid256{``0,``1,``2}@,Z0.BitGrid256{``0,``1,``2}@)| Computes the bitwise nand between natural bitgrids
Method      | Z0.BitGrid.nand``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)| Computes the bitwise NAND between natural bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.nand``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@) | Computes the bitwise NAND between generic bitgrids and returns the allocated result
Method      | Z0.BitGrid.nor``1(Z0.BitGrid16{``0},Z0.BitGrid16{``0})                | Computes the bitwise NOR between 16-bit generic bitgrids
Method      | Z0.BitGrid.nor``1(Z0.BitGrid32{``0},Z0.BitGrid32{``0})                | Computes the bitwise NOR between fixed-width 32-bit generic bitgrids
Method      | Z0.BitGrid.nor``1(Z0.BitGrid64{``0},Z0.BitGrid64{``0})                | Computes the bitwise NOR between fixed-width 64-bit grids
Method      | Z0.BitGrid.nor``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@,Z0.BitGrid{``0}@) | Computes the bitwise NOR between generic bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.nor``3(Z0.BitGrid16{``0,``1,``2},Z0.BitGrid16{``0,``1,``2})| Computes the bitwise NOR between fixed-width natural bitgrids
Method      | Z0.BitGrid.nor``3(Z0.BitGrid32{``0,``1,``2},Z0.BitGrid32{``0,``1,``2})| Computes the bitwise NOR between fixed-width 32-bit natural bitgrids
Method      | Z0.BitGrid.nor``3(Z0.BitGrid64{``0,``1,``2},Z0.BitGrid64{``0,``1,``2})| Computes the bitwise NOR between fixed-width 64-bit natural bitgrids
Method      | Z0.BitGrid.nor``3(Z0.BitGrid128{``0,``1,``2}@,Z0.BitGrid128{``0,``1,``2}@)| Computes the bitwise NOR between 128-bit fixed-width natural bitgrids
Method      | Z0.BitGrid.nor``3(Z0.BitGrid256{``0,``1,``2}@,Z0.BitGrid256{``0,``1,``2}@)| Computes the bitwise NOR between 256-bit fixed-width natural bitgrids
Method      | Z0.BitGrid.nor``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)| Computes the bitwise NOR between natural bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.nor``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)  | Computes the bitwise NOR between generic bitgrids and returns the allocated result
Method      | Z0.BitGrid.not``1(Z0.BitGrid16{``0})                                  | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``1(Z0.BitGrid32{``0})                                  | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``1(Z0.BitGrid64{``0})                                  | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``3(Z0.BitGrid16{``0,``1,``2})                          | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``3(Z0.BitGrid32{``0,``1,``2})                          | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``3(Z0.BitGrid64{``0,``1,``2})                          | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``3(Z0.BitGrid128{``0,``1,``2}@)                        | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``3(Z0.BitGrid256{``0,``1,``2}@)                        | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)  | Computes the bitwise complement of the source grid and stores the result to a caller-supplied target
Method      | Z0.BitGrid.not``3(Z0.BitGrid{``0,``1,``2}@)                           | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.not``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)                  | Computes the bitwise complement of the source grid and deposits the result int a caller-supplied target
Method      | Z0.BitGrid.not``1(Z0.BitGrid{``0}@)                                   | Computes the bitwise complement of the source grid
Method      | Z0.BitGrid.or``1(Z0.BitGrid16{``0},Z0.BitGrid16{``0})                 | Computes the bitwise OR between fixed-width bitgrids
Method      | Z0.BitGrid.or``1(Z0.BitGrid32{``0},Z0.BitGrid32{``0})                 | Computes the bitwise OR between fixed-width bitgrids
Method      | Z0.BitGrid.or``1(Z0.BitGrid64{``0},Z0.BitGrid64{``0})                 | Computes the bitwise OR between fixed-width bitgrids
Method      | Z0.BitGrid.or``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)  | Computes the bitwise OR between generic bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.or``3(Z0.BitGrid16{``0,``1,``2},Z0.BitGrid16{``0,``1,``2}) | Computes the bitwise OR between fixed-width bitgrids of natural dimensions
Method      | Z0.BitGrid.or``3(Z0.BitGrid32{``0,``1,``2},Z0.BitGrid32{``0,``1,``2}) | Computes the bitwise OR between fixed-width bitgrids of natural dimensions
Method      | Z0.BitGrid.or``3(Z0.BitGrid64{``0,``1,``2},Z0.BitGrid64{``0,``1,``2}) | Computes the bitwise OR between fixed-width bitgrids of natural dimensions
Method      | Z0.BitGrid.or``3(Z0.BitGrid128{``0,``1,``2}@,Z0.BitGrid128{``0,``1,``2}@)| Computes the bitwise OR between fixed-width bitgrids of natural dimensions
Method      | Z0.BitGrid.or``3(Z0.BitGrid256{``0,``1,``2}@,Z0.BitGrid256{``0,``1,``2}@)| Computes the bitwise OR between fixed-width bitgrids of natural dimensions
Method      | Z0.BitGrid.or``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)| Computes the bitwise OR between natural bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.or``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)   | Computes the bitwise OR between generic bitgrids and returns the allocated result
Method      | Z0.BitGrid.xnor``1(Z0.BitGrid16{``0},Z0.BitGrid16{``0})               | Computes the bitwise XNOR between generic bitgrids
Method      | Z0.BitGrid.xnor``1(Z0.BitGrid32{``0},Z0.BitGrid32{``0})               | Computes the bitwise XNOR between generic bitgrids
Method      | Z0.BitGrid.xnor``1(Z0.BitGrid64{``0},Z0.BitGrid64{``0})               | Computes the bitwise XNOR between generic bitgrids
Method      | Z0.BitGrid.xnor``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)| Computes the bitwise XNOR between generic bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.xnor``3(Z0.BitGrid32{``0,``1,``2},Z0.BitGrid32{``0,``1,``2})| Computes the bitwise XNOR between natural bitgrids
Method      | Z0.BitGrid.xnor``3(Z0.BitGrid64{``0,``1,``2},Z0.BitGrid64{``0,``1,``2})| Computes the bitwise XNOR between natural bitgrids
Method      | Z0.BitGrid.xnor``3(Z0.BitGrid128{``0,``1,``2}@,Z0.BitGrid128{``0,``1,``2}@)| Computes the bitwise XNOR between natural bitgrids
Method      | Z0.BitGrid.xnor``3(Z0.BitGrid256{``0,``1,``2}@,Z0.BitGrid256{``0,``1,``2}@)| Computes the bitwise XNOR between 256-bit fixed-width natural bitgrids
Method      | Z0.BitGrid.xnor``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)| Computes the bitwise XNOR between natural bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.xnor``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@) | Computes the bitwise XNOR between generic bitgrids and returns the allocated result
Method      | Z0.BitGrid.xor``1(Z0.BitGrid16{``0},Z0.BitGrid16{``0})                | Computes the bitwise xor between generic bitgrids
Method      | Z0.BitGrid.xor``1(Z0.BitGrid32{``0},Z0.BitGrid32{``0})                | Computes the bitwise xor between generic bitgrids
Method      | Z0.BitGrid.xor``1(Z0.BitGrid64{``0},Z0.BitGrid64{``0})                | Computes the bitwise xor between generic bitgrids
Method      | Z0.BitGrid.xor``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@,Z0.BitGrid{``0}@) | Computes the bitwise XOR between generic bitgrids and stores the result to a caller-supplied target
Method      | Z0.BitGrid.xor``3(Z0.BitGrid16{``0,``1,``2},Z0.BitGrid16{``0,``1,``2})| Computes the bitwise xor between natural bitgrids
Method      | Z0.BitGrid.xor``3(Z0.BitGrid32{``0,``1,``2},Z0.BitGrid32{``0,``1,``2})| Computes the bitwise xor between natural bitgrids
Method      | Z0.BitGrid.xor``3(Z0.BitGrid64{``0,``1,``2},Z0.BitGrid64{``0,``1,``2})| Computes the bitwise xor between natural bitgrids
Method      | Z0.BitGrid.xor``3(Z0.BitGrid128{``0,``1,``2}@,Z0.BitGrid128{``0,``1,``2}@)| Computes the bitwise xor between natural bitgrids
Method      | Z0.BitGrid.xor``3(Z0.BitGrid256{``0,``1,``2}@,Z0.BitGrid256{``0,``1,``2}@)| Computes the bitwise xor between natural bitgrids
Method      | Z0.BitGrid.xor``3(Z0.SubGrid256{``0,``1,``2}@,Z0.SubGrid256{``0,``1,``2}@)| Computes the bitwise xor between subgrids
Method      | Z0.BitGrid.xor``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)| Computes the bitwise xor unfixed natural bitgrids
Method      | Z0.BitGrid.xor``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@)  | Computes the bitwise xor between natural dynamic bitgrids
Method      | Z0.BitGrid.rotl``1(Z0.BitGrid16{``0},System.Byte)                     | Circulates grid content clockwise
Method      | Z0.BitGrid.rotl``1(Z0.BitGrid32{``0},System.Byte)                     | Circulates grid content clockwise
Method      | Z0.BitGrid.rotl``1(Z0.BitGrid64{``0},System.Byte)                     | Circulates grid content clockwise
Method      | Z0.BitGrid.bitstring``1(Z0.BitGrid16{``0})                            | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``1(Z0.BitGrid32{``0})                            | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``1(Z0.BitGrid64{``0})                            | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``3(Z0.BitGrid16{``0,``1,``2})                    | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``3(Z0.BitGrid32{``0,``1,``2})                    | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``3(Z0.BitGrid64{``0,``1,``2})                    | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``3(Z0.BitGrid128{``0,``1,``2}@)                  | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``3(Z0.BitGrid256{``0,``1,``2}@)                  | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``3(Z0.BitGrid{``0,``1,``2}@)                     | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitstring``1(Z0.BitGrid{``0}@)                             | Converts a grid to an equivalent linear bitstring representation
Method      | Z0.BitGrid.bitvector``3(Z0.BitGrid16{``0,``1,``2})                    | Presents a fixed 16-bit grid as a 16-bit bitvector
Method      | Z0.BitGrid.bitvector``3(Z0.BitGrid32{``0,``1,``2})                    | Presents a fixed 32-bit grid as a 32-bit bitvector
Method      | Z0.BitGrid.bitvector``3(Z0.BitGrid64{``0,``1,``2})                    | Presents a fixed 64-bit grid as a 64-bit bitvector
Method      | Z0.BitGrid.bitvector``3(Z0.BitGrid128{``0,``1,``2})                   | Presents a fixed 128-bit grid as a 128-bit bitvector
Method      | Z0.BitGrid.alloc``1(System.Int32,System.Int32,``0)                    | Allocates a zero-filled generic bitgrid
Method      | Z0.BitGrid.alloc``1(Z0.N16)                                           | Creates a zero-filled 16-bit grid of caller-interpreted dimension
Method      | Z0.BitGrid.alloc``1(Z0.N32)                                           | Creates a zero-filled 32-bit grid of caller-interpreted dimension
Method      | Z0.BitGrid.alloc``1(Z0.N64)                                           | Creates a zero-filled 64-bit grid of caller-interpreted dimension
Method      | Z0.BitGrid.alloc``1(Z0.N16,Z0.N1,Z0.N16,``0)                          | Allocates a zero-filled 1x16 grid
Method      | Z0.BitGrid.alloc``1(Z0.N16,Z0.N16,Z0.N1,``0)                          | Allocates a zero-filled 16x1 grid
Method      | Z0.BitGrid.alloc``1(Z0.N16,Z0.N2,Z0.N8,``0)                           | Allocates a zero-filled 2x8 grid
Method      | Z0.BitGrid.alloc``1(Z0.N16,Z0.N8,Z0.N2,``0)                           | Allocates a zero-filled 8x2 grid
Method      | Z0.BitGrid.alloc``1(Z0.N16,Z0.N4,Z0.N4,``0)                           | Allocates a zero-filled 4x4 grid
Method      | Z0.BitGrid.alloc``1(Z0.N32,Z0.N1,Z0.N32,``0)                          | Allocates a zero-filled 1x32 grid
Method      | Z0.BitGrid.alloc``1(Z0.N32,Z0.N32,Z0.N1,``0)                          | Allocates a zero-filled 32x1 grid
Method      | Z0.BitGrid.alloc``1(Z0.N32,Z0.N16,Z0.N2,``0)                          | Allocates a zero-filled 16x2 grid
Method      | Z0.BitGrid.alloc``1(Z0.N32,Z0.N8,Z0.N4,``0)                           | Allocates a zero-filled 8x4 grid
Method      | Z0.BitGrid.alloc``1(Z0.N32,Z0.N4,Z0.N8,``0)                           | Allocates a zero-filled 4x8 grid
Method      | Z0.BitGrid.alloc``1(Z0.N64,Z0.N1,Z0.N64,``0)                          | Allocates a zero-filled 1x64 grid
Method      | Z0.BitGrid.alloc``1(Z0.N64,Z0.N64,Z0.N1,``0)                          | Allocates a zero-filled 64x1 grid
Method      | Z0.BitGrid.alloc``1(Z0.N64,Z0.N2,Z0.N32,``0)                          | Allocates a zero-filled 2x32 grid
Method      | Z0.BitGrid.alloc``1(Z0.N64,Z0.N32,Z0.N2,``0)                          | Allocates a zero-filled 32x2 grid
Method      | Z0.BitGrid.alloc``1(Z0.N64,Z0.N4,Z0.N16,``0)                          | Allocates a zero-filled 4x16 grid
Method      | Z0.BitGrid.alloc``1(Z0.N64,Z0.N16,Z0.N4,``0)                          | Allocates a zero-filled 16x4 grid
Method      | Z0.BitGrid.alloc``1(Z0.N64,Z0.N8,Z0.N8,``0)                           | Allocates a zero-filled 8x8 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N1,Z0.N128,``0)                        | Allocates a zero-filled 1x128 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N128,Z0.N1,``0)                        | Allocates a zero-filled 128x1 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N2,Z0.N64,``0)                         | Allocates a zero-filled 2x64 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N64,Z0.N2,``0)                         | Allocates a zero-filled 64x2 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N4,Z0.N32,``0)                         | Allocates a zero-filled 4x32 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N32,Z0.N4,``0)                         | Allocates a zero-filled 32x4 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N8,Z0.N16,``0)                         | Allocates a zero-filled 8x16 grid
Method      | Z0.BitGrid.alloc``1(Z0.N128,Z0.N16,Z0.N8,``0)                         | Allocates a zero-filled 16x8 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N1,Z0.N256,``0)                        | Allocates a zero-filled 1x256 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N256,Z0.N1,``0)                        | Allocates a zero-filled 256x1 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N2,Z0.N128,``0)                        | Allocates a zero-filled 2x128 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N128,Z0.N2,``0)                        | Allocates a zero-filled 128x2 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N4,Z0.N64,``0)                         | Allocates a zero-filled 4x64 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N64,Z0.N4,``0)                         | Allocates a zero-filled 64x4 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N8,Z0.N32,``0)                         | Allocates a zero-filled 8x32 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N32,Z0.N8,``0)                         | Allocates a zero-filled 32x8 grid
Method      | Z0.BitGrid.alloc``1(Z0.N256,Z0.N16,Z0.N16,``0)                        | Allocates a zero-filled 16x16 grid
Method      | Z0.BitGrid.alloc``3(``0,``1,``2)                                      | Allocates a natural bitgrid
Method      | Z0.BitGrid.alloc16``3(``0,``1,``2)                                    | Creates a zero-filled 16-bit grid of natural dimensions
Method      | Z0.BitGrid.alloc32``3(``0,``1,``2)                                    | Creates a zero-filled 32-bit grid of natural dimensions
Method      | Z0.BitGrid.alloc64``3(``0,``1,``2)                                    | Creates a zero-filled 64-bit grid of natural dimensions
Method      | Z0.BitGrid.alloc128``3(``0,``1,``2)                                   | Creates a zero-filled 128-bit grid of natural dimensions
Method      | Z0.BitGrid.alloc256``3(``0,``1,``2)                                   | Creates a zero-filled 256-bit grid of natural dimensions
Method      | Z0.BitGrid.broadcast``1(``0,Z0.BitGrid{``0}@)                         | Fills a caller-allocated generic grid
Method      | Z0.BitGrid.broadcast``3(``2,Z0.BitGrid32{``0,``1,``2}@)               | Transmits the content of a single cell to all cells in a grid
Method      | Z0.BitGrid.broadcast``3(``2,Z0.BitGrid64{``0,``1,``2}@)               | Transmits the content of a single cell to all cells in a grid
Method      | Z0.BitGrid.broadcast``3(``2,Z0.BitGrid128{``0,``1,``2}@)              | Transmits the content of a single cell to all cells in a grid
Method      | Z0.BitGrid.broadcast``3(``2,Z0.BitGrid256{``0,``1,``2}@)              | Transmits the content of a single cell to all cells in a grid
Method      | Z0.BitGrid.broadcast``3(``2,Z0.BitGrid{``0,``1,``2}@)                 | Fills a caller-allocated natural grid
Method      | Z0.BitGrid.init``1(Z0.N16,``0)                                        | Creates a 66-bit generic grid initialized with a specified fill-value
Method      | Z0.BitGrid.init``1(Z0.N32,``0)                                        | Creates a 32-bit generic grid initialized with a specified fill-value
Method      | Z0.BitGrid.init``1(Z0.N64,``0)                                        | Creates a 64-bit generic grid initialized with a specified fill-value
Method      | Z0.BitGrid.init``1(Z0.N16,Z0.N1,Z0.N16,``0)                           | Creates a populated 1x16 grid
Method      | Z0.BitGrid.init``1(Z0.N16,Z0.N16,Z0.N1,``0)                           | Creates a populated 16x1 grid
Method      | Z0.BitGrid.init``1(Z0.N16,Z0.N2,Z0.N8,``0)                            | Creates a populated 2x8 grid
Method      | Z0.BitGrid.init``1(Z0.N16,Z0.N8,Z0.N2,``0)                            | Creates a populated 8x2 grid
Method      | Z0.BitGrid.init``1(Z0.N16,Z0.N4,Z0.N4,``0)                            | Creates a populated 4x4 grid
Method      | Z0.BitGrid.init``1(Z0.N32,Z0.N1,Z0.N32,``0)                           | Creates a populated 1x32 grid
Method      | Z0.BitGrid.init``1(Z0.N32,Z0.N32,Z0.N1,``0)                           | Creates a populated 32x1 grid
Method      | Z0.BitGrid.init``1(Z0.N32,Z0.N16,Z0.N2,``0)                           | Creates a populated 16x2 grid
Method      | Z0.BitGrid.init``1(Z0.N32,Z0.N8,Z0.N4,``0)                            | Creates a populated 8x4 grid
Method      | Z0.BitGrid.init``1(Z0.N32,Z0.N4,Z0.N8,``0)                            | Creates a populated 4x8 grid
Method      | Z0.BitGrid.init``1(Z0.N64,Z0.N1,Z0.N64,``0)                           | Creates a populated 1x64 grid
Method      | Z0.BitGrid.init``1(Z0.N64,Z0.N64,Z0.N1,``0)                           | Creates a populated 64x1 grid
Method      | Z0.BitGrid.init``1(Z0.N64,Z0.N2,Z0.N32,``0)                           | Creates a populated 2x32 grid
Method      | Z0.BitGrid.init``1(Z0.N64,Z0.N32,Z0.N2,``0)                           | Creates a populated 32x2 grid
Method      | Z0.BitGrid.init``1(Z0.N64,Z0.N4,Z0.N16,``0)                           | Creates a populated 4x16 grid
Method      | Z0.BitGrid.init``1(Z0.N64,Z0.N16,Z0.N4,``0)                           | Creates a populated 16x4 grid
Method      | Z0.BitGrid.init``1(Z0.N64,Z0.N8,Z0.N8,``0)                            | Creates a populated 8x8 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N1,Z0.N128,``0)                         | Creates a populated 1x128 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N128,Z0.N1,``0)                         | Creates a populated 128x1 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N2,Z0.N64,``0)                          | Creates a populated 2x64 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N64,Z0.N2,``0)                          | Creates a populated 64x2 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N4,Z0.N32,``0)                          | Creates a populated 4x32 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N32,Z0.N4,``0)                          | Creates a populated 32x4 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N8,Z0.N16,``0)                          | Creates a populated 8x16 grid
Method      | Z0.BitGrid.init``1(Z0.N128,Z0.N16,Z0.N8,``0)                          | Creates a populated 16x8 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N1,Z0.N256,``0)                         | Creates a populated 1x256 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N256,Z0.N1,``0)                         | Creates a populated 256x1 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N2,Z0.N128,``0)                         | Creates a populated 2x128 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N128,Z0.N2,``0)                         | Creates a populated 128x2 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N4,Z0.N64,``0)                          | Creates a populated 4x64 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N64,Z0.N4,``0)                          | Creates a populated 64x4 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N8,Z0.N32,``0)                          | Creates a populated 8x32 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N32,Z0.N8,``0)                          | Creates a populated 32x8 grid
Method      | Z0.BitGrid.init``1(Z0.N256,Z0.N16,Z0.N16,``0)                         | Creates a populated 16x16 grid
Method      | Z0.BitGrid.init``1(System.Int32,System.Int32,``0)                     | Creates a dynamically-sized grid of soft dimensions filled with specified data
Method      | Z0.BitGrid.init``3(``0,``1,``2)                                       | Creates a dynamically-sized grid of natural dimensions filled with specified data
Method      | Z0.BitGrid.init16``1(System.UInt16)                                   | Initializes 16-bit grid
Method      | Z0.BitGrid.init32``1(System.UInt32)                                   | Initializes 32-bit grid
Method      | Z0.BitGrid.init64``1(System.UInt64)                                   | Initializes 64-bit grid
Method      | Z0.BitGrid.init16``3(``0,``1,``2)                                     | Initializes a 128-bit grid of natural dimensions
Method      | Z0.BitGrid.init32``3(``0,``1,``2)                                     | Initializes a 32-bit grid of natural dimensions
Method      | Z0.BitGrid.init64``3(``0,``1,``2)                                     | Initializes a 64-bit grid of natural dimensions
Method      | Z0.BitGrid.init128``3(``0,``1,``2)                                    | Initializes a 128-bit grid of natural dimensions
Method      | Z0.BitGrid.init256``3(``0,``1,``2)                                    | Initializes a 256-bit grid of natural dimensions
