Type        | Z0.dinxfp                                                             | Direct vectorized intrinsics over floating-point domains
Method      | Z0.dinxfp.vfnmadd(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_fnmadd_ps (__m128 a, __m128 b, __m128 c) VFNMADDPS xmm, xmm, xmm/m128            dst = -(x*y + c)
Method      | Z0.dinxfp.vfnmadd(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_fnmadd_pd (__m128d a, __m128d b, __m128d c) VFNMADDPD xmm, xmm, xmm/m128            dst = -(x*y + z)
Method      | Z0.dinxfp.vfmaddsub(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_fmaddsub_ps (__m128 a, __m128 b, __m128 c) VFMADDSUBPS xmm, xmm, xmm/m128            dst = x*y - z
Method      | Z0.dinxfp.vfmaddsub(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_fmaddsub_pd (__m128d a, __m128d b, __m128d c) VFMADDSUBPD xmm, xmm, xmm/m128            dst[i] = x[i]*y[i] + z (i is even?)            dst[i] = x[i]*y[i] - z (i is odd?)
Method      | Z0.dinxfp.vfnmadd(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_fnmadd_ps (__m256 a, __m256 b, __m256 c) VFNMADDPS ymm, ymm, ymm/m256            dst = -(x*y + z)
Method      | Z0.dinxfp.vfnmadd(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_fnmadd_pd (__m256d a, __m256d b, __m256d c) VFNMADDPD ymm, ymm,ymm/m256            dst = -(x*y + z)
Method      | Z0.dinxfp.vfmaddsub(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_fmaddsub_ps (__m256 a, __m256 b, __m256 c) VFMADDSUBPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vfmaddsub(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_fmaddsub_pd (__m256d a, __m256d b, __m256d c) VFMADDSUBPD ymm, ymm, ymm/m256            dst[i] = x[i]*y[i] + z (i is even?)            dst[i] = x[i]*y[i] - z (i is odd?)
Method      | Z0.dinxfp.fmadd(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| dst = x*y + z            __m128 _mm_fmadd_ps (__m128 a, __m128 b, __m128 c) VFMADDPS xmm, xmm, xmm/m128
Method      | Z0.dinxfp.fmadd(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| dst = x*y + z             __m128d _mm_fmadd_pd (__m128d a, __m128d b, __m128d c) VFMADDPD xmm, xmm, xmm/m128
Method      | Z0.dinxfp.fmadd(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_fmadd_ps (__m256 a, __m256 b, __m256 c) VFMADDPS ymm, ymm, ymm/m256            dst = a*b + c
Method      | Z0.dinxfp.fmadd(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_fmadd_pd (__m256d a, __m256d b, __m256d c) VFMADDPS ymm, ymm, ymm/m256            dst = a*b + c
Method      | Z0.dinxfp.vhadd(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_hadd_ps (__m128 a, __m128 b) HADDPS xmm, xmm/m128
Method      | Z0.dinxfp.vhadd(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_hadd_pd (__m128d a, __m128d b) HADDPD xmm, xmm/m128
Method      | Z0.dinxfp.vhadd(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_hadd_ps (__m256 a, __m256 b) VHADDPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vhadd(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_hadd_pd (__m256d a, __m256d b) VHADDPD ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vhsub(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_hsub_ps (__m128 a, __m128 b) HSUBPS xmm, xmm/m128
Method      | Z0.dinxfp.vhsub(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_hsub_pd (__m128d a, __m128d b) HSUBPD xmm, xmm/m128
Method      | Z0.dinxfp.vhsub(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_hsub_ps (__m256 a, __m256 b) VHSUBPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vhsub(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_hsub_pd (__m256d a, __m256d b) VHSUBPD ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vmul(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_mul_ps (__m128 a, __m128 b) MULPS xmm, xmm/m128
Method      | Z0.dinxfp.vmul(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_mul_pd (__m128d a, __m128d b) MULPD xmm, xmm/m128
Method      | Z0.dinxfp.vmul(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_mul_ps (__m256 a, __m256 b) VMULPS ymm, ymm, ymm/m256            Multiplies corresponding components and returns the result
Method      | Z0.dinxfp.vmul(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_mul_pd (__m256d a, __m256d b) VMULPD ymm, ymm, ymm/m256            Multiplies corresponding components and returns the result
Method      | Z0.dinxfp.vnegate(System.Runtime.Intrinsics.Vector128{System.Single}) | Negates each source vector component
Method      | Z0.dinxfp.vnegate(System.Runtime.Intrinsics.Vector128{System.Double}) | Negates each source vector component
Method      | Z0.dinxfp.vnegate(System.Runtime.Intrinsics.Vector256{System.Single}) | Negates each source vector component
Method      | Z0.dinxfp.vnegate(System.Runtime.Intrinsics.Vector256{System.Double}) | Negates each source vector component
Method      | Z0.dinxfp.rcp(System.Runtime.Intrinsics.Vector128{System.Single})     | __m128 _mm_rcp_ps (__m128 a) RCPPS xmm, xmm/m128
Method      | Z0.dinxfp.rcp(System.Runtime.Intrinsics.Vector256{System.Single})     | __m256 _mm256_rcp_ps (__m256 a) VRCPPS ymm, ymm/m256
Method      | Z0.dinxfp.vround(System.Runtime.Intrinsics.Vector128{System.Single})  | _mm_round_ps:            Round to nearest integer
Method      | Z0.dinxfp.vround(System.Runtime.Intrinsics.Vector128{System.Double})  | _mm_round_pd:            Round to nearest integer
Method      | Z0.dinxfp.vroundz(System.Runtime.Intrinsics.Vector128{System.Single}) | _mm_round_ss:            Round towards zero
Method      | Z0.dinxfp.vroundz(System.Runtime.Intrinsics.Vector128{System.Double}) | _mm_round_sd:            Round towards zero
Method      | Z0.dinxfp.vround(System.Runtime.Intrinsics.Vector256{System.Single})  | _mm256_round_ps:            Round to nearest integer
Method      | Z0.dinxfp.vround(System.Runtime.Intrinsics.Vector256{System.Double})  | __m256d _mm256_round_pd (__m256d a, _MM_FROUND_TO_NEAREST_INT | _MM_FROUND_NO_EXC) VROUNDPD ymm, ymm/m256, imm8(8)            Round to nearest integer
Method      | Z0.dinxfp.vroundz(System.Runtime.Intrinsics.Vector256{System.Single}) | __m256 _mm256_round_ps (__m256 a, _MM_FROUND_TO_ZERO | _MM_FROUND_NO_EXC)VROUNDPS ymm, ymm/m256, imm8(11)            Round towards zero
Method      | Z0.dinxfp.vroundz(System.Runtime.Intrinsics.Vector256{System.Double}) | __m256d _mm256_round_pd (__m256d a, _MM_FROUND_TO_ZERO | _MM_FROUND_NO_EXC) VROUNDPD ymm, ymm/m256, imm8(11)            Round towards zero
Method      | Z0.dinxfp.sqrt(System.Runtime.Intrinsics.Vector128{System.Single})    | __m128 _mm_sqrt_ps (__m128 a) SQRTPS xmm, xmm/m128
Method      | Z0.dinxfp.sqrt(System.Runtime.Intrinsics.Vector128{System.Double})    | __m128d _mm_sqrt_pd (__m128d a) SQRTPD xmm, xmm/m128
Method      | Z0.dinxfp.sqrt(System.Runtime.Intrinsics.Vector256{System.Single})    | __m256 _mm256_sqrt_ps (__m256 a) VSQRTPS ymm, ymm/m256
Method      | Z0.dinxfp.sqrt(System.Runtime.Intrinsics.Vector256{System.Double})    | __m256d _mm256_sqrt_pd (__m256d a) VSQRTPD ymm, ymm/m256
Method      | Z0.dinxfp.rsqrt(System.Runtime.Intrinsics.Vector128{System.Single})   | __m128 _mm_rsqrt_ps (__m128 a) RSQRTPS xmm, xmm/m128
Method      | Z0.dinxfp.vsub(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128d _mm_sub_ps (__m128d a, __m128d b) SUBPS xmm, xmm/m128
Method      | Z0.dinxfp.vsub(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_sub_pd (__m128d a, __m128d b) SUBPD xmm, xmm/m128
Method      | Z0.dinxfp.vsub(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_sub_ps (__m256 a, __m256 b) VSUBPS ymm, ymm, ymm/m256            Subtracts the right vector from the left
Method      | Z0.dinxfp.vsub(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_sub_pd (__m256d a, __m256d b) VSUBPD ymm, ymm, ymm/m256            Subtracts the right vector from the left
Method      | Z0.dinxfp.vblend(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Byte)| __m128 _mm_blend_ps (__m128 a, __m128 b, const int imm8) BLENDPS xmm, xmm/m128, imm8            Produces a new vector by assembling components from two source vectors as dermined by a mask
Method      | Z0.dinxfp.vblend(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Byte)| __m128d _mm_blend_pd (__m128d a, __m128d b, const int imm8) BLENDPD xmm, xmm/m128, imm8            Produces a new vector by assembling components from two source vectors as dermined by a mask
Method      | Z0.dinxfp.vblend(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Byte)| __m256 _mm256_blend_ps (__m256 a, __m256 b, const int imm8) VBLENDPS ymm, ymm, ymm/m256, imm8            Produces a new vector by assembling components from two source vectors as dermined by a mask
Method      | Z0.dinxfp.vblend(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Byte)| __m256d _mm256_blend_pd (__m256d a, __m256d b, const int imm8) VBLENDPD ymm, ymm, ymm/m256, imm8            Produces a new vector by assembling components from two source vectors as dermined by a mask
Method      | Z0.dinxfp.vblendv(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_blendv_ps (__m256 a, __m256 b, __m256 mask) VBLENDVPS ymm, ymm,ymm/m256, ymm            Produces a new vector by assembling components from two source vectors as specified by a spec vector
Method      | Z0.dinxfp.vblendv(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| _mm256_blendv_ps            Produces a new vector by assembling components from two source vectors as specified by a spec vector
Method      | Z0.dinxfp.vblend4x32(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_blendv_ps (__m128 a, __m128 b, __m128 mask) BLENDVPS xmm, xmm/m128,xmm0
Method      | Z0.dinxfp.vblend2x64(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_blendv_pd (__m128d a, __m128d b, __m128d mask) BLENDVPD xmm, xmm/m128,xmm0
Method      | Z0.dinxfp.vblend8x32(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_blendv_ps (__m256 a, __m256 b, __m256 mask) VBLENDVPS ymm, ymm, ymm/m256, ymm
Method      | Z0.dinxfp.vblend4x64(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256 _mm256_blendv_ps (__m256 a, __m256 b, __m256 mask) VBLENDVPS ymm, ymm, ymm/m256, ymm
Method      | Z0.dinxfp.vblend(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},Z0.Blend2x64)| __m128d _mm_blend_pd (__m128d a, __m128d b, const int imm8)BLENDPD xmm, xmm/m128, imm8
Method      | Z0.dinxfp.vbroadcast(Z0.N256,System.Single)                           | __m256 _mm256_broadcast_ss (float const * mem_addr) VBROADCASTSS ymm, m32
Method      | Z0.dinxfp.vbroadcast(Z0.N256,System.Double)                           | __m256d _mm256_broadcast_sd (double const * mem_addr) VBROADCASTSD ymm, m64
Method      | Z0.dinxfp.vbroadcast(Z0.N128,System.Single)                           | __m128 _mm_broadcast_ss (float const * mem_addr) VBROADCASTSS xmm, m32
Method      | Z0.dinxfp.vdup32(Z0.N0,System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_moveldup_ps (__m256 a) VMOVSLDUP ymm, ymm/m256
Method      | Z0.dinxfp.vdup32(Z0.N1,System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_movehdup_ps (__m256 a) VMOVSHDUP ymm, ymm/m256
Method      | Z0.dinxfp.vdup64(Z0.N0,System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_movedup_pd (__m256d a) VMOVDDUP ymm, ymm/m256
Method      | Z0.dinxfp.vextract(System.Runtime.Intrinsics.Vector128{System.Single},Z0.Hex2)| int _mm_extract_ps (__m128 a, const int imm8)EXTRACTPS xmm, xmm/m32, imm8            Extracts the value of an identified source vector component
Method      | Z0.dinxfp.vextract(System.Runtime.Intrinsics.Vector256{System.Single},System.Byte)| __m128 _mm256_extractf128_ps (__m256 a, const int imm8) VEXTRACTF128 xmm/m128, ymm, imm8            Extracts either the lo (pos = 0) or hi (pos = 1) 128-bit lane of the source vector
Method      | Z0.dinxfp.vextract(System.Runtime.Intrinsics.Vector256{System.Double},System.Byte)| __m128d _mm256_extractf128_pd (__m256d a, const int imm8) VEXTRACTF128 xmm/m128, ymm, imm8            Extracts either the lo (pos = 0) or hi (pos = 1) 128-bit lane of the source vector
Method      | Z0.dinxfp.vxscalar(System.Runtime.Intrinsics.Vector128{System.Single},System.Byte)| Extracts the value of an identified source vector component
Method      | Z0.dinxfp.vxscalar(System.Runtime.Intrinsics.Vector128{System.Double},System.Byte)| Extracts the value of an identified source vector component
Method      | Z0.dinxfp.vhi(System.Runtime.Intrinsics.Vector128{System.Single})     | Creates a scalar vector from the upper 64 bits of the source vector
Method      | Z0.dinxfp.vhi(System.Runtime.Intrinsics.Vector128{System.Double})     | Creates a scalar vector from the upper 64 bits of the source vector
Method      | Z0.dinxfp.vinsert(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Byte)| _mm256_insertf128_ps: Overwrites a 128-bit lane in the target with the content of the source vector
Method      | Z0.dinxfp.vinsert(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Byte)| _mm256_insertf128_pd: Overwrites a 128-bit lane in the target with the content of the source vector
Method      | Z0.dinxfp.vmaskload(System.Single@,System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_maskload_ps (float const * mem_addr, __m128i mask) VMASKMOVPS xmm,xmm, m128
Method      | Z0.dinxfp.vmaskload(System.Double@,System.Runtime.Intrinsics.Vector128{System.Double})| __m128 _mm_maskload_ps (float const * mem_addr, __m128i mask) VMASKMOVPS xmm,xmm, m128
Method      | Z0.dinxfp.vmaskload(System.Single@,System.Runtime.Intrinsics.Vector256{System.Single})| __m256d _mm256_maskload_pd (double const * mem_addr, __m256i mask) VMASKMOVPD ymm, ymm, m256
Method      | Z0.dinxfp.vmaskload(System.Double@,System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_maskload_pd (double const * mem_addr, __m256i mask) VMASKMOVPD ymm, ymm, m256
Method      | Z0.dinxfp.maskstore(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Single@)| void _mm_maskstore_ps (float * mem_addr, __m128i mask, __m128 a) VMASKMOVPS m128, xmm, xmm
Method      | Z0.dinxfp.maskstore(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Double@)| void _mm_maskstore_pd (double * mem_addr, __m128i mask, __m128d a) VMASKMOVPD m128, xmm, xmm
Method      | Z0.dinxfp.maskstore(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Single@)| void _mm256_maskstore_ps (float * mem_addr, __m256i mask, __m256 a) VMASKMOVPS m256, ymm, ymm
Method      | Z0.dinxfp.maskstore(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Double@)| void _mm256_maskstore_pd (double * mem_addr, __m256i mask, __m256d a) VMASKMOVPD m256, ymm, ymm
Method      | Z0.dinxfp.vmovescalar(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_move_ss (__m128 a, __m128 b) MOVSS xmm, xmm            z[0] = y[0]            z[1] = x[1]            z[2] = x[2]            z[3] = x[3]
Method      | Z0.dinxfp.vmovescalar(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_move_sd (__m128d a, __m128d b) MOVSD xmm, xmm
Method      | Z0.dinxfp.vperm4x64(System.Runtime.Intrinsics.Vector256{System.Double},System.Byte)| __m256d _mm256_permute4x64_pd (__m256d a, const int imm8) VPERMPD ymm, ymm/m256, imm8            Permutes components in the source vector across lanes as specified by the control byte
Method      | Z0.dinxfp.vperm4x64(System.Runtime.Intrinsics.Vector256{System.Double},Z0.Perm4L)| __m256d _mm256_permute4x64_pd (__m256d a, const int imm8)VPERMPD ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vperm8x32(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Int32})| Permutes components in the source vector across lanes as specified by the control vector            __m256 _mm256_permutevar8x32_ps (__m256 a, __m256i idx)VPERMPS ymm, ymm/m256, ymm
Method      | Z0.dinxfp.vperm8x32(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.UInt32})| __m256 _mm256_permutevar8x32_ps (__m256 a, __m256i idx)VPERMPS ymm, ymm/m256, ymm
Method      | Z0.dinxfp.vperm2x128(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},System.Byte)| __m256 _mm256_permute2f128_ps (__m256 a, __m256 b, int imm8) VPERM2F128 ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vperm2x128(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},System.Byte)| __m256d _mm256_permute2f128_pd (__m256d a, __m256d b, int imm8) VPERM2F128 ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vperm2x128(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single},Z0.Perm2x4)| __m256 _mm256_permute2f128_ps (__m256 a, __m256 b, int imm8) VPERM2F128 ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vperm2x128(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double},Z0.Perm2x4)| __m256d _mm256_permute2f128_pd (__m256d a, __m256d b, int imm8) VPERM2F128 ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vshuffle(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Byte)| __m128 _mm_shuffle_ps (__m128 a, __m128 b, unsigned int control) SHUFPS xmm, xmm/m128, imm8
Method      | Z0.dinxfp.vshuffle(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Byte)| __m128d _mm_shuffle_pd (__m128d a, __m128d b, int immediate) SHUFPD xmm, xmm/m128, imm8
Method      | Z0.dinxfp.vswaphl(System.Runtime.Intrinsics.Vector256{System.Single}) | Swaps hi/lo 128-bit lanes
Method      | Z0.dinxfp.vswaphl(System.Runtime.Intrinsics.Vector256{System.Double}) | Swaps hi/lo 128-bit lanes
Method      | Z0.dinxfp.takemask(System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_movemask_pd (__m128d a) MOVMSKPD reg, xmm            Constructs an integer from the most significant bit of each source vector component
Method      | Z0.dinxfp.takemask(System.Runtime.Intrinsics.Vector256{System.Single})| int _mm256_movemask_ps (__m256 a) VMOVMSKPS reg, ymm            Constructs an integer from the most significant bit of each source vector component
Method      | Z0.dinxfp.takemask(System.Runtime.Intrinsics.Vector256{System.Double})| int _mm256_movemask_pd (__m256d a) VMOVMSKPD reg, ymm            Constructs an integer from the most significant bit of each source vector component
Method      | Z0.dinxfp.movehl(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_movehl_ps (__m128 a, __m128 b) MOVHLPS xmm, xmm            z[0] = x[3]            z[1] = y[3]            z[2] = x[0]            z[3] = y[0]
Method      | Z0.dinxfp.movelh(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_movelh_ps (__m128 a, __m128 b) MOVLHPS xmm, xmm
Method      | Z0.dinxfp.vtranspose(System.Runtime.Intrinsics.Vector128{System.Single}@,System.Runtime.Intrinsics.Vector128{System.Single}@,System.Runtime.Intrinsics.Vector128{System.Single}@,System.Runtime.Intrinsics.Vector128{System.Single}@)| Transposes a 4x4 matrix of floats, adapted from MSVC intrinsic headers
