Method      | Z0.Logix.LogicEngine.eval(Z0.Logix.ILogicExpr)                        | Evalutates an untyped expression
Method      | Z0.Logix.LogicEngine.satisfied``1(Z0.Logix.ComparisonExpr{System.Runtime.Intrinsics.Vector256{``0}},System.Runtime.Intrinsics.Vector256{``0},System.Runtime.Intrinsics.Vector256{``0})| Returns an enabled bit if the equality expression is satisfied with             specified variable values and a disabled bit otherwise
Method      | Z0.Logix.LogicEngine.equal(Z0.Logix.VariedLogicExpr,Z0.Logix.VariedLogicExpr)| Determines by exhaustion whether the left and right operands are equal
Method      | Z0.Logix.LogicExprEval.eval(Z0.Logix.ILogicOpExpr)                    | Evaluates a logical operator expression
Type        | Z0.Logix.IComparisonExpr                                              | Characterizes a claim that two variable-dependent comparison expressions are equivalent
Property    | Z0.Logix.IComparisonExpr.Lhs                                          | The left expression
Property    | Z0.Logix.IComparisonExpr.Rhs                                          | The right expression
Property    | Z0.Logix.IComparisonExpr.Vars                                         | Variables upon which the expression depends
Type        | Z0.Logix.IComparisonExpr`1                                            | Characterizes a claim that two variable-dependent typed comparison expressions are equivalent
Property    | Z0.Logix.IComparisonExpr`1.LeftArg                                    | The left expression
Property    | Z0.Logix.IComparisonExpr`1.RightArg                                   | The right expression
Property    | Z0.Logix.IComparisonExpr`1.Vars                                       | Variables upon which the expression depends
Property    | Z0.Logix.IComparisonExpr`1.ComparisonKind                             | The sort of comparison to be applied
Type        | Z0.Logix.IComparisonPredExpr`1                                        | Characterizes a comparison expression that evaluates as a predicate where a single bit, or bitvector,             characterizes the evaluation result. This is in contradistinction to the more general typed comparison expression            where the result is predicated on the type and may be scalar/vector/etc in nature
Type        | Z0.Logix.IExpr                                                        | Characterizes an expression
Method      | Z0.Logix.IExpr.Format                                                 | Renders the expression in canonical form
Type        | Z0.Logix.IExpr`1                                                      | Characterizes an parametric expression
Type        | Z0.Logix.ILogicExpr                                                   | Characterizes a logicical expression over a bit
Type        | Z0.Logix.ILogicExpr`1                                                 | Characterizes a typed expression that admits logical evaluation
Type        | Z0.Logix.IOperatorExpr                                                | Characterizes an expression defined via an operator
Type        | Z0.Logix.IOperatorExpr`1                                              | Characterizes a parametric operator that varies over operand type
Type        | Z0.Logix.IOperatorExpr`2                                              | Characterizes a parametric operator that varies over operator kind and operand type
Property    | Z0.Logix.IOperatorExpr`2.OpKind                                       | Specifies the class to which the operator belongs
Type        | Z0.Logix.IBinaryOpExpr`1                                              | Characterizes a binary operator parametrized by expression type
Type        | Z0.Logix.IUnaryOpExpr`1                                               | Characterizes a unary operator parametrized by an expression type
Property    | Z0.Logix.IUnaryOpExpr`1.Arg                                           | The operand
Type        | Z0.Logix.ITernaryOpExpr`1                                             | Characterizes a ternary operator parametrized by expression type
Type        | Z0.Logix.IFormulaExpr                                                 | Characterizes a formula which, by definition, is a named expression
Property    | Z0.Logix.IFormulaExpr.Name                                            | The formula name, unique with respect to some context
Property    | Z0.Logix.IFormulaExpr.Encoding                                        | The defining expression
Type        | Z0.Logix.IFormulaExpr`1                                               | Characterizes a typed formula, a named typed expression
Property    | Z0.Logix.IFormulaExpr`1.Encoding                                      | The defining expression
Property    | Z0.Logix.ILiteralExpr`1.Value                                         | The value of the literal
Type        | Z0.Logix.ILogicOpExpr                                                 | Characterizes an operator reified as a boolean function
Type        | Z0.Logix.ILogicOpExpr`2                                               | Characterizes a logic operator that varies by operator kind and is evaluated in the context of a parametric type
Property    | Z0.Logix.ILazySeqExpr`1.Terms                                         | The terms in the sequence that are evaluated on-demand
Type        | Z0.Logix.ISeqExpr`1                                                   | Characterizes a finite sequence of terms
Property    | Z0.Logix.ISeqExpr`1.Terms                                             | The terms in the sequence
Property    | Z0.Logix.ISeqExpr`1.Item(System.Int32)                                | Sequence value accessor/manipulator
Property    | Z0.Logix.ISeqExpr`1.Length                                            | The number of terms in the sequence
Property    | Z0.Logix.IShiftOpExpr`1.Subject                                       | The thing to shift
Type        | Z0.Logix.ITernaryBitwiseOpExpr`1                                      | Characterizes a typed ternary bitwise operator
Type        | Z0.Logix.IVarExpr                                                     | Characterizes a variable
Property    | Z0.Logix.IVarExpr.Name                                                | The name of the variable
Type        | Z0.Logix.IVarExpr`1                                                   | Characterizes a typed variable
Method      | Z0.Logix.IVarExpr`1.Set(Z0.Logix.IExpr{`0})                           | Updates the variable
Method      | Z0.Logix.IVarExpr`1.Set(`0)                                           | Updates the expression value
Property    | Z0.Logix.IVarExpr`1.Value                                             | The current value of the variable
Type        | Z0.Logix.ILogicVarExpr                                                | Characterizes a logical variable
Method      | Z0.Logix.ILogicVarExpr.Set(Z0.Logix.ILogicExpr)                       | Updates the variable
Method      | Z0.Logix.ILogicVarExpr.Set(Z0.bit)                                    | Updates the expression value
Property    | Z0.Logix.ILogicVarExpr.Value                                          | The current value of the variable
Type        | Z0.Logix.ILogicVarExpr`1                                              | Characterizes a logical variable that also carries type information
Method      | Z0.Logix.ILogicVarExpr`1.Set(Z0.Logix.ILogicExpr{`0})                 | Updates the variable
Property    | Z0.Logix.ILogicVarExpr`1.Value                                        | The current value of the variable
Type        | Z0.Logix.IVariedExpr                                                  | Distinguishes varied expressions from other sorts of expressions
Type        | Z0.Logix.IVariedExpr`1                                                | Characterizes an expression that varies over a typed expression
Type        | Z0.Logix.IVariedLogicExpr                                             | Characterizes an expression that depends on a boolean variable
Type        | Z0.Logix.IVariedLogicExpr`1                                           | Characterizes an expression that depends on a boolean variable but which            also carries type information
Method      | Z0.Logix.ArithmeticSpec.unary``1(Z0.UnaryArithmeticKind,Z0.Logix.IExpr{``0})| Defines an arithmetic unary expression
Method      | Z0.Logix.ArithmeticSpec.unary``1(Z0.UnaryArithmeticKind,``0)          | Defines an arithmetic unary expression over a literal operand
Method      | Z0.Logix.ArithmeticSpec.binary``1(Z0.BinaryArithmeticKind,Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a binary arithmetic expression
Method      | Z0.Logix.ArithmeticSpec.binary``1(Z0.BinaryArithmeticKind,``0,``0)    | Defines a binary arithmetic expression over literal operands
Method      | Z0.Logix.ArithmeticSpec.inc``1(Z0.Logix.IExpr{``0})                   | Defines a unary increment expression
Method      | Z0.Logix.ArithmeticSpec.inc``1(``0)                                   | Defines a unary increment expression with a literal operand
Method      | Z0.Logix.ArithmeticSpec.dec``1(Z0.Logix.IExpr{``0})                   | Defines a unary decrement expression
Method      | Z0.Logix.ArithmeticSpec.dec``1(``0)                                   | Defines a decrement increment expression with a literal operand
Method      | Z0.Logix.ArithmeticSpec.negate``1(Z0.Logix.IExpr{``0})                | Defines a unary decrement expression
Method      | Z0.Logix.ArithmeticSpec.negate``1(``0)                                | Defines a decrement increment expression with a literal operand
Method      | Z0.Logix.ArithmeticSpec.add``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a binary addition expression
Method      | Z0.Logix.ArithmeticSpec.add``1(``0,``0)                               | Defines a binary addition expression over literal operands
Method      | Z0.Logix.ArithmeticSpec.sub``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a binary subtraction expression
Method      | Z0.Logix.ArithmeticSpec.sub``1(``0,``0)                               | Defines a binary subtraction expression over literal operands
Method      | Z0.Logix.PredicateSpec.compare``1(Z0.BinaryComparisonKind,Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a typed comparison predicate over operand expressions
Method      | Z0.Logix.PredicateSpec.compare``1(Z0.BinaryComparisonKind,``0,``0)    | Defines a typed comparison predicate over literal operands
Method      | Z0.Logix.PredicateSpec.equals``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines an equality comparison expression
Method      | Z0.Logix.PredicateSpec.equals``1(``0,``0)                             | Defines an equality comparison expression over literal operands
Method      | Z0.Logix.PredicateSpec.lt``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0}) | Defines a less-than comparison expression
Method      | Z0.Logix.PredicateSpec.lt``1(``0,``0)                                 | Defines a less-than comparison expression over literal operands
Method      | Z0.Logix.PredicateSpec.lteq``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a less-than or equal comparison expression
Method      | Z0.Logix.PredicateSpec.lteq``1(``0,``0)                               | Defines a less-than or equal comparison expression over literal operands
Method      | Z0.Logix.PredicateSpec.gt``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0}) | Defines a greater-than comparison expression
Method      | Z0.Logix.PredicateSpec.gt``1(``0,``0)                                 | Defines a greater-than comparison expression over literal operands
Method      | Z0.Logix.PredicateSpec.gteq``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a greater-than or equal comparison expression
Method      | Z0.Logix.PredicateSpec.gteq``1(``0,``0)                               | Defines a greater-than or equal comparison expression over literal operands
Type        | Z0.Logix.BitLogicSpec                                                 | Defines factories that create structures for logic over a single bit
Method      | Z0.Logix.BitLogicSpec.bitseq(Z0.bit[])                                | Defines a bit sequence expression with an arbitrary number of terms
Method      | Z0.Logix.BitLogicSpec.bitseq``1(``0,Z0.bit[])                         | Defines a bit sequence expression of natural length
Method      | Z0.Logix.BitLogicSpec.not(Z0.Logix.ILogicExpr)                        | Defines a logical not operator over a logic expression
Method      | Z0.Logix.BitLogicSpec.not(Z0.bit)                                     | Defines a logical not operator over a bit literal
Method      | Z0.Logix.BitLogicSpec.not``1(Z0.Logix.ILogicExpr{``0})                | Defines a logical not operator over a typed logic expression
Method      | Z0.Logix.BitLogicSpec.not``1(Z0.bit)                                  | Defines a logical not operator over a typed literal
Method      | Z0.Logix.BitLogicSpec.and(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)    | Defines a logical And operator over expression operands
Method      | Z0.Logix.BitLogicSpec.and(Z0.bit,Z0.bit)                              | Defines a logical And operator over bit literal operands
Method      | Z0.Logix.BitLogicSpec.and``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a logical And operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.and``1(Z0.bit,Z0.bit)                           | Defines a logical And operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.nand(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)   | Defines a logical Nand operator over expression operands
Method      | Z0.Logix.BitLogicSpec.nand(Z0.bit,Z0.bit)                             | Defines a logical Nand operator over bit literal operands
Method      | Z0.Logix.BitLogicSpec.nand``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a logical Nand operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.nand``1(Z0.bit,Z0.bit)                          | Defines a logical Nand operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.or(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)     | Defines a logical Or operator over expression operands
Method      | Z0.Logix.BitLogicSpec.or(Z0.bit,Z0.bit)                               | Defines a logical Or operator over literal operands
Method      | Z0.Logix.BitLogicSpec.or``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a logical Or operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.or``1(Z0.bit,Z0.bit)                            | Defines a logical Or operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.nor(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)    | Defines a nor operator over expression operands
Method      | Z0.Logix.BitLogicSpec.nor``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a logical Nor operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.nor(Z0.bit,Z0.bit)                              | Defines a nor operator over literal operands
Method      | Z0.Logix.BitLogicSpec.nor``1(Z0.bit,Z0.bit)                           | Defines a logical Nor operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.xor(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)    | Defines a logical Xor operator over expression operands
Method      | Z0.Logix.BitLogicSpec.xor(Z0.bit,Z0.bit)                              | Defines a logical Xor operator over literal operands
Method      | Z0.Logix.BitLogicSpec.xor``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a logical Xor operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.xor``1(Z0.bit,Z0.bit)                           | Defines a logical Xor operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.xnor(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)   | Defines an xnor operator over expression operands
Method      | Z0.Logix.BitLogicSpec.xnor(Z0.bit,Z0.bit)                             | Defines an xnor operator over literal operands
Method      | Z0.Logix.BitLogicSpec.xnor``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a logical Xnor operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.xnor``1(Z0.bit,Z0.bit)                          | Defines a logical Xnor operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.left(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)   | Defines a left projection operator over expression operands
Method      | Z0.Logix.BitLogicSpec.left``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a logical Xor operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.left(Z0.bit,Z0.bit)                             | Defines a left projection over literal operands
Method      | Z0.Logix.BitLogicSpec.left``1(Z0.bit,Z0.bit)                          | Defines a left projection operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.right(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)  | Defines a right projection operator over expression operands
Method      | Z0.Logix.BitLogicSpec.right(Z0.bit,Z0.bit)                            | Defines a right projection over literal operands
Method      | Z0.Logix.BitLogicSpec.right``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a right projection operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.right``1(Z0.bit,Z0.bit)                         | Defines a right projection operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.lnot(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)   | Defines a left negation operator over expression operands
Method      | Z0.Logix.BitLogicSpec.lnot(Z0.bit,Z0.bit)                             | Defines a left negation operator over literal operands
Method      | Z0.Logix.BitLogicSpec.lnot``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a left negation operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.lnot``1(Z0.bit,Z0.bit)                          | Defines a left negation operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.rnot(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)   | Defines a right negation operator over expression operands
Method      | Z0.Logix.BitLogicSpec.rnot(Z0.bit,Z0.bit)                             | Defines a right negation operator over literal operands
Method      | Z0.Logix.BitLogicSpec.rnot``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a right negation operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.rnot``1(Z0.bit,Z0.bit)                          | Defines a right negation operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.imply(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)  | Defines a material implication operator over expression operands
Method      | Z0.Logix.BitLogicSpec.imply(Z0.bit,Z0.bit)                            | Defines a material implication operator over literal operands
Method      | Z0.Logix.BitLogicSpec.imply``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a material implication operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.imply``1(Z0.bit,Z0.bit)                         | Defines a material implication operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.notimply(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)| Defines a material nonimplication operator over expression operands
Method      | Z0.Logix.BitLogicSpec.notimply(Z0.bit,Z0.bit)                         | Defines a material nonimplication operator over literal operands
Method      | Z0.Logix.BitLogicSpec.notimply``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a material nonimplication operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.notimply``1(Z0.bit,Z0.bit)                      | Defines a material nonimplication operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.cimply(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr) | Defines a converse implication operator over expression operands
Method      | Z0.Logix.BitLogicSpec.cimply(Z0.bit,Z0.bit)                           | Defines a converse implication operator over literal operands
Method      | Z0.Logix.BitLogicSpec.cimply``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a converse implication operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.cimply``1(Z0.bit,Z0.bit)                        | Defines a converse implication operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.cnotimply(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)| Defines a converse nonimplication operator over expression operands
Method      | Z0.Logix.BitLogicSpec.cnotimply(Z0.bit,Z0.bit)                        | Defines a converse nonimplication operator over literal operands
Method      | Z0.Logix.BitLogicSpec.cnotimply``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a converse nonimplication operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.cnotimply``1(Z0.bit,Z0.bit)                     | Defines a converse nonimplication operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.select(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)| Defines a ternary select operator over expression operands
Method      | Z0.Logix.BitLogicSpec.select(Z0.bit,Z0.bit,Z0.bit)                    | Defines a ternary select operator over bit literal operands
Method      | Z0.Logix.BitLogicSpec.select``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a ternary select operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N1)                                 | Computes all bit sequence expressions of length 1
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N2)                                 | Computes all bit sequence expressions of length 2
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N3)                                 | Computes all bit sequence expressions of length 3
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N4)                                 | Computes all bit sequence expressions of length 4
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N5)                                 | Computes all bit sequence expressions of length 5
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N6)                                 | Computes all bit sequence expressions of length 6
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N7)                                 | Computes all bit sequence expressions of length 7
Method      | Z0.Logix.BitLogicSpec.bitcombo(Z0.N8)                                 | Computes all bit sequence expressions of length 8
Method      | Z0.Logix.BitLogicSpec.compare(Z0.BinaryComparisonKind,Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr,Z0.Logix.ILogicVarExpr[])| Defines comparison expression
Method      | Z0.Logix.BitLogicSpec.compare``1(Z0.BinaryComparisonKind,Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0},Z0.Logix.IVarExpr{``0}[])| Defines comparison expression
Method      | Z0.Logix.BitLogicSpec.equals(Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr,Z0.Logix.ILogicVarExpr[])| Defines an equality comparison expression
Method      | Z0.Logix.BitLogicSpec.equals``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0},Z0.Logix.IVarExpr{``0}[])| Defines an equality comparison expression
Method      | Z0.Logix.BitLogicSpec.true                                            | Creates a logical TRUE expression, i.e. an expression that is always true
Method      | Z0.Logix.BitLogicSpec.true``1                                         | Creates a logical TRUE expression, i.e. an expression that is always true
Method      | Z0.Logix.BitLogicSpec.false                                           | Creates a logical FALSE expression, i.e. an expression that is always false
Method      | Z0.Logix.BitLogicSpec.false``1                                        | Creates a logical FALSE expression, i.e. an expression that is always false
Method      | Z0.Logix.BitLogicSpec.literal(Z0.bit)                                 | Creates a bit literal expression
Method      | Z0.Logix.BitLogicSpec.literal``1(Z0.bit)                              | Creates a typed logic literal
Method      | Z0.Logix.BitLogicSpec.identity(Z0.Logix.ILogicExpr)                   | Defines a logical identity expression
Method      | Z0.Logix.BitLogicSpec.identity``1(Z0.Logix.ILogicExpr{``0})           | Defines a typed logical identity expression
Method      | Z0.Logix.BitLogicSpec.unary(Z0.UnaryBitLogic,Z0.Logix.ILogicExpr)     | Defines a unary logic operator over an expression
Method      | Z0.Logix.BitLogicSpec.unary``1(Z0.UnaryBitLogic,Z0.Logix.ILogicExpr{``0})| Defines a unary logic operator over an expression
Method      | Z0.Logix.BitLogicSpec.unary``1(Z0.UnaryBitLogic,Z0.bit)               | Defines a unary logic operator over a typed literal operand
Method      | Z0.Logix.BitLogicSpec.unary(Z0.UnaryBitLogic,Z0.bit)                  | Defines a unary logic operator over a literal
Method      | Z0.Logix.BitLogicSpec.binary(Z0.BinaryLogicKind,Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)| Defines a binary logic operator over expression operands
Method      | Z0.Logix.BitLogicSpec.binary``1(Z0.BinaryLogicKind,Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a binary logic operator over typed expression operands
Method      | Z0.Logix.BitLogicSpec.binary(Z0.BinaryLogicKind,Z0.bit,Z0.bit)        | Defines a binary logic operator over bit literal operands
Method      | Z0.Logix.BitLogicSpec.binary``1(Z0.BinaryLogicKind,Z0.bit,Z0.bit)     | Defines a binary logic operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.ternary(Z0.TernaryBitLogic,Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr,Z0.Logix.ILogicExpr)| Defines a ternary logic operator over expression operands
Method      | Z0.Logix.BitLogicSpec.ternary``1(Z0.TernaryBitLogic,Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0},Z0.Logix.ILogicExpr{``0})| Defines a ternary logic operator over expression operands
Method      | Z0.Logix.BitLogicSpec.ternary(Z0.TernaryBitLogic,Z0.bit,Z0.bit,Z0.bit)| Defines a ternary logic operator over bit literal operands
Method      | Z0.Logix.BitLogicSpec.ternary``1(Z0.TernaryBitLogic,Z0.bit,Z0.bit,Z0.bit)| Defines a ternary logic operator over typed literal operands
Method      | Z0.Logix.BitLogicSpec.lvar(System.String,Z0.bit)                      | Defines a bit variable expression initialized to a literal value
Method      | Z0.Logix.BitLogicSpec.lvar(System.Char,Z0.bit)                        | Defines a bit variable expression initialized to a literal value
Method      | Z0.Logix.BitLogicSpec.lvar(System.UInt32,Z0.bit)                      | Defines a bit variable expression initialized to a literal value            and the variable name is defined by an integer
Method      | Z0.Logix.BitLogicSpec.lvar``1(System.String,Z0.bit)                   | Defines a typed logic variable expression initialized to a literal value
Method      | Z0.Logix.BitLogicSpec.lvar``1(System.String,Z0.Logix.ILogicExpr{``0}) | Defines a typed logic variable expression initialized to a literal value
Method      | Z0.Logix.BitLogicSpec.lvar``1(System.Char,Z0.bit)                     | Defines a typed logic variable expression initialized to a literal value
Method      | Z0.Logix.BitLogicSpec.lvar``1(System.UInt32,Z0.bit)                   | Defines a typed logic variable expression initialized to a literal value
Method      | Z0.Logix.BitLogicSpec.lvars(System.Int32)                             | Defines a specified number n of logic variable expressions where each variable is respectively named 0,..., n - 1
Method      | Z0.Logix.BitLogicSpec.lvars``1(System.Int32)                          | Defines a specified number n of typed logic variable expressions where each variable is respectively named 0,..., n - 1
Method      | Z0.Logix.BitLogicSpec.varied(Z0.Logix.ILogicExpr,Z0.Logix.LogicVariable[])| Creates a varied expression predicated on a specified variable sequence
Method      | Z0.Logix.BitLogicSpec.varied``1(Z0.Logix.ILogicExpr{``0},Z0.Logix.LogicVariable{``0}[])| Creates a varied expression predicated on a specified variable sequence
Method      | Z0.Logix.ExprX.Set``1(Z0.Logix.IVarExpr{``0},Z0.IPolyrand)            | Assigns a random value to a variable and returns that value to the caller
Method      | Z0.Logix.ExprX.Set``1(Z0.Logix.IVarExpr{``0},Z0.IPolyrand,``0,``0)    | Assigns a random value to a variable and returns that value to the caller
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N1,``0})                | Returns the source expression variable at index 0
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N1,``0},Z0.Logix.IExpr{``0})| Returns the source expression variable at index 0, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N1,``0},``0)            | Returns the source expression variable at index 0, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N2,``0})                | Returns the source expression variable at index 0
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N2,``0},Z0.Logix.IExpr{``0})| Returns the source expression variable at index 0, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N2,``0},``0)            | Returns the source expression variable at index 0, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var1``1(Z0.Logix.VariedExpr{Z0.N2,``0})                | Returns the source expression variable at index 1
Method      | Z0.Logix.ExprX.Var1``1(Z0.Logix.VariedExpr{Z0.N2,``0},Z0.Logix.IExpr{``0})| Returns the source expression variable at index 1, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var1``1(Z0.Logix.VariedExpr{Z0.N2,``0},``0)            | Returns the source expression variable at index 1, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N3,``0})                | Returns the source expression variable at index 0
