Method      | Z0.BitMatrixA.cimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)         | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitBlocks.bitseg``1(Z0.Block256{``0}@,Z0.BitPos{``0},Z0.BitPos{``0})| Extracts a T-valued segment, cross-cell or same-cell, from the source as determined by an inclusive position range
Method      | Z0.BitBlocks.setbit``1(Z0.Block256{``0}@,System.Int32,Z0.bit)         | Sets a bit value in a T-sequence predicated on a linear index
Method      | Z0.BitBlocks.bitseg``1(Z0.Block256{``0}@,System.Int32,System.Int32)   | Extracts a T-valued segment, cross-cell or same-cell, from the source as determined by             an inclusive linear index range
Method      | Z0.BitBlocks.readcell``1(``0@,System.Int32)                           | Reads a cell determined by a linear bit position
Method      | Z0.BitBlocks.cell``1(``0@,System.Int32)                               | Reads/manipulates a cell identified by a linear bit position
Method      | Z0.BitBlocks.setbit``1(System.Int32,Z0.bit,``0@)                      | Sets the state of a grid bit identified by its linear position
Method      | Z0.BitBlocks.transfer``2(System.Span{``1},``0)                        | Transfers span content to a bitblock without checks
Method      | Z0.BitBlocks.modprod``1(Z0.BitBlock{``0}@,Z0.BitBlock{``0}@)          | Computes the Euclidean scalar product between two bitvectors using modular arithmetic
Method      | Z0.BitBlocks.modprod``2(Z0.BitBlock{``0,``1}@,Z0.BitBlock{``0,``1}@)  | Computes the Euclidean scalar product between two natural bitvectors using modular arithmetic
Method      | Z0.BitBlocks.cellcount``1(System.Int32)                               | Computes the number of primal cells required to cover a specified number of bits
Method      | Z0.BitBlocks.alloc``2(``0,``1)                                        | Allocates a block and populates it with a pattern, if supplied
Method      | Z0.BitBlocks.dot``1(Z0.BitBlock{``0}@,Z0.BitBlock{``0}@)              | Computes the scalar product between two bitblocks
Method      | Z0.BitBlocks.dot``2(Z0.BitBlock{``0,``1}@,Z0.BitBlock{``0,``1}@)      | Computes the scalar product between this vector and another
Method      | Z0.BitBlocks.from(Z0.BitVector4)                                      | Loads a bitblock from a 4-bit bitvector
Method      | Z0.BitBlocks.from(Z0.BitVector8)                                      | Loads a bitblock from an 8-bit bitvector
Method      | Z0.BitBlocks.from(Z0.BitVector16)                                     | Loads a bitblock from a 16-bit bitvector
Method      | Z0.BitBlocks.from(Z0.BitVector32)                                     | Loads a bitblock from a 32-bit bitvector
Method      | Z0.BitBlocks.from(Z0.BitVector64)                                     | Loads a bitblock from a 64-bit bitvector
Method      | Z0.BitBlocks.from``1(Z0.BitVector{``0})                               | Loads a bitblock from a generic bitvector
Method      | Z0.BitBlocks.from``1(Z0.BitString)                                    | Loads a bitblock from a bitstring
Method      | Z0.BitBlocks.load``1(System.Span{System.Byte},System.Int32)           | Creates a bitvector from a span of bytes
Method      | Z0.BitBlocks.single``2(``1,``0)                                       | Creates a block over a single cell
Method      | Z0.BitBlocks.single``1(``0,System.Int32)                              | Creates a bitblock over a single cell
Method      | Z0.BitBlocks.load``1(System.Span{``0},System.Int32)                   | Loads a bitblock from a span
Method      | Z0.BitBlocks.load``2(``1[],``0)                                       | Loads a bitblock from an array
Method      | Z0.BitBlocks.load``1(``0[])                                           | Creates a bitblock over an arbitrary number of segments
Method      | Z0.BitBlocks.load``2(System.Span{``1},``0)                            | Loads a natural bitcell container from a span
Method      | Z0.BitBlocks.load``2(System.ReadOnlySpan{``1},``0)                    | Loads a natural bitblock from a readonly span; allocation required
Type        | Z0.BitBlock`1                                                         | A data structure that covers and arbitrary number of 256-bit blocks of packed bits
Field       | Z0.BitBlock`1.data                                                    | The bitvector content
Field       | Z0.BitBlock`1.BitCount                                                | The actual number of bits that are represented by the vector
Property    | Z0.BitBlock`1.CellWidth                                               | The maximum number of bits that can be placed a single segment segment
Method      | Z0.BitBlock`1.op_OnesComplement(Z0.BitBlock{`0}@)                     | Computes the bitwise complement of the operand
Method      | Z0.BitBlock`1.op_True(Z0.BitBlock{`0}@)                               | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitBlock`1.op_False(Z0.BitBlock{`0}@)                              | Returns false if the source vector is the zero vector, false otherwise
Property    | Z0.BitBlock`1.Data                                                    | The underlying cell data
Property    | Z0.BitBlock`1.Bytes                                                   | Presents the represented data as a span of bytes
Property    | Z0.BitBlock`1.NonEmpty                                                | Is true if at least one enabled bit; false otherwise
Property    | Z0.BitBlock`1.Item(System.Int32)                                      | A bit-level accessor/manipulator
Method      | Z0.BitBlock`1.TakeScalarBits(System.Int32,System.Int32)               | Retrieves, at most, one cell's worth of bits defined by an inclusive bit index range
Method      | Z0.BitBlock`1.ToBitString                                             | Extracts the represented data as a bitstring
Method      | Z0.BitBlock`1.Pop                                                     | Counts the enabled bits
Type        | Z0.BitBlock`2                                                         | A data structure that covers a natural count of packed bits
Property    | Z0.BitBlock`2.CellWidth                                               | The maximum number of bits contained in an N[T] vector component
Property    | Z0.BitBlock`2.BitCount                                                | The number of bits represented by an N[T] vector
Property    | Z0.BitBlock`2.CellCount                                               | The number of segments required to allocate an N[T] vector
Property    | Z0.BitBlock`2.BitCapacity                                             | The maximum number of bits that can be represented by an N[T] vector
Method      | Z0.BitBlock`2.op_OnesComplement(Z0.BitBlock{`0,`1}@)                  | Computes the bitwise complement of the operand
Method      | Z0.BitBlock`2.op_Modulus(Z0.BitBlock{`0,`1}@,Z0.BitBlock{`0,`1}@)     | Computes the scalar product of the operands
Method      | Z0.BitBlock`2.op_UnaryNegation(Z0.BitBlock{`0,`1}@)                   | Computes the bitwise complement of the operand
Method      | Z0.BitBlock`2.op_True(Z0.BitBlock{`0,`1}@)                            | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitBlock`2.op_False(Z0.BitBlock{`0,`1}@)                           | Returns false if the source vector is the zero vector, false otherwise
Property    | Z0.BitBlock`2.Data                                                    | The data over which the bitvector is constructed
Property    | Z0.BitBlock`2.Head                                                    | Returns a reference to the leading segment of the underlying storage
Property    | Z0.BitBlock`2.Width                                                   | The number of represented bits
Property    | Z0.BitBlock`2.Length                                                  | The number of allocated cells
Property    | Z0.BitBlock`2.Item(System.Int32)                                      | A bit-level accessor/manipulator
Method      | Z0.BitBlock`2.Pop                                                     | Counts the vector's enabled bits
Property    | Z0.BitBlock`2.Empty                                                   | Returns true if no bits are enabled, false otherwise
Property    | Z0.BitBlock`2.Nonempty                                                | Returns true if the vector has at least one enabled bit; false otherwise
Method      | Z0.BitBlock`2.Fill(Z0.bit)                                            | Sets all the bits in use to the specified state
Method      | Z0.XTend.FormatMatrixBits(System.Span{System.Byte},System.Int32,System.Nullable{System.Int32},System.Boolean)| Formats a span as a bitmatrix
Method      | Z0.XTend.FormatMatrixBits``1(System.Span{``0},System.Int32,System.Nullable{System.Int32},System.Boolean)| Formats the content of a generic span of primal cells as a bitmatrix
Method      | Z0.XTend.ToBitCells``1(System.Span{``0},System.Int32)                 | Extracts the bitcells froma span
Method      | Z0.XTend.ToBitVector``2(Z0.BitBlock{``0,``1},Z0.N8)                   | Converts the least significant elements of a generic natural bitvector to a 8-bit primal bitvector
Method      | Z0.XTend.ToBitVector``2(Z0.BitBlock{``0,``1},Z0.N16)                  | Converts the least significant elements of a generic natural bitvector to a 16-bit primal bitvector
Method      | Z0.XTend.ToCpuVector``1(Z0.BitString,Z0.N128,``0)                     | Extracts a 128-bit cpu vector from a bitsring of sufficient length
Method      | Z0.XTend.ToCpuVector``1(Z0.BitString,Z0.N256,``0)                     | Extracts a 256-bit cpu vector from a bitsring of sufficient length
Method      | Z0.XTend.ToNatBits(Z0.BitVector8)                                     | Converts the source bitvector to bit cells
Method      | Z0.XTend.ToNatBits(Z0.BitVector16)                                    | Converts the source bitvector to an equivalent natural/generic bitvector
Method      | Z0.XTend.ToNatBits(Z0.BitVector64)                                    | Converts the source bitvector it the equivalent natural/generic bitvector
Method      | Z0.XTend.ToNatBits``2(System.ReadOnlySpan{``1},``0)                   | Constructs a bitvector of natural length from a source span
Method      | Z0.XTend.ToNatBits``2(System.Span{``1},``0)                           | Constructs a bitvector of natural length from a source span
Method      | Z0.XTend.BitSeg``1(Z0.Block256{``0},System.Int32,System.Int32)        | Retrieves, at most, one cell's worth of bits defined by an inclusive bit index range
Method      | Z0.XTend.ToBitMatrix``1(Z0.RowBits{``0})                              | Loads a generic bitmatrix from size-conformant sequence of row bits
Method      | Z0.XTend.ToBitString``3(Z0.BitMatrix{``0,``1,``2})                    | Exracts a contiguous bitstring that captures the defined matrix
Method      | Z0.BitMatrix.init``1(Z0.BitVector{``0})                               | Allocates a square generic bitmatrix filled with a specified row
Method      | Z0.BitMatrix.init``1(Z0.BitVector{``0},System.Int32)                  | Allocates a generic bitmatrix filled with a specified row
Method      | Z0.BitMatrix.init``2(``1,``0)                                         | Allocates a square bitmatrix of natural order filled with a specified row
Method      | Z0.BitMatrix.init``3(``2,``0,``1)                                     | Allocates a bitmatrix of natural dimensions filled with a specified cell
Method      | Z0.BitMatrix.alloc``1                                                 | Allocates a zero-filled square generic bitmatrix
Method      | Z0.BitMatrix.alloc``1(System.Int32)                                   | Allocates a zero-filled generic bitmatrix with a specified number of rows
Method      | Z0.BitMatrix.alloc``2(``0,``1)                                        | Allocates a zero-filled square bitmatrix of natural order
Method      | Z0.BitMatrix.alloc``3(``0,``1,``2)                                    | Allocates a zero-filed bitmatrix of natural dimensions
Method      | Z0.BitMatrix.alloc(Z0.N4,Z0.bit)                                      | Allocates a primal bitmatrix
Method      | Z0.BitMatrix.alloc(Z0.N8,Z0.bit)                                      | Allocates a primal bitmatrix
Method      | Z0.BitMatrix.alloc(Z0.N8,Z0.BitVector8)                               | Allocates a primal bitmatrix with rows filled by a specified vector
Method      | Z0.BitMatrix.alloc(Z0.N16,Z0.bit)                                     | Allocates a primal bitmatrix
Method      | Z0.BitMatrix.alloc(Z0.BitVector16)                                    | Allocates a primal bitmatrix with rows filled by a specified vector
Method      | Z0.BitMatrix.alloc(Z0.N32,Z0.bit)                                     | Allocates a primal bitmatrix
Method      | Z0.BitMatrix.alloc(Z0.BitVector32)                                    | Allocates a primal bitmatrix with rows filled by a specified vector
Method      | Z0.BitMatrix.alloc(Z0.N64,Z0.bit)                                     | Allocates a primal bitmatrix
Method      | Z0.BitMatrix.alloc(Z0.BitVector64)                                    | Allocates a primal bitmatrix with rows filled by a specified vector
Method      | Z0.BitMatrix.and``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)            | Computes the logical And between two generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.and``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the logical and and between two generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.and``2(Z0.BitMatrix{``0,``1}@,Z0.BitMatrix{``0,``1}@,Z0.BitMatrix{``0,``1}@)| Computes the bitwise AND between two square bitmatrices of common natural order and stores the            result a caller-supplied target matrix
Method      | Z0.BitMatrix.and(Z0.BitMatrix4@,Z0.BitMatrix4@)                       | Computes the logical And between two source bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.and(Z0.BitMatrix8@,Z0.BitMatrix8@)                       | Computes the logical And between two source bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.and(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)        | Computes the logical and btween two source bitmatrices and deposits the result to a caller-supplied target
Method      | Z0.BitMatrix.and(Z0.BitMatrix16@,Z0.BitMatrix16@)                     | Computes the logical And between two primal bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.and(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)     | Computes the logical And btween two source bitmatrices and deposits the result to a caller-supplied target
Method      | Z0.BitMatrix.and(Z0.BitMatrix32@,Z0.BitMatrix32@)                     | Computes the logical And between two primal bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.and(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)     | Computes the logical and btween two source bitmatrices and deposits the result to a caller-supplied target
Method      | Z0.BitMatrix.and(Z0.BitMatrix64@,Z0.BitMatrix64@)                     | Computes the logical And between two priaml bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.and(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)     | Computes the logical and btween two source bitmatrices and deposits the result to a caller-supplied target
Method      | Z0.BitMatrix.broadcast``1(Z0.BitVector{``0},Z0.BitMatrix{``0}@)       | Overwrites each row of a generic bitmatrix with a specified source vector
Method      | Z0.BitMatrix.broadcast(Z0.BitVector8,Z0.BitMatrix8@)                  | Overwrites each row of a primal bitmatrix with a specified source vector
Method      | Z0.BitMatrix.broadcast(Z0.BitVector16,Z0.BitMatrix16@)                | Overwrites each row of a primal bitmatrix with a specified source vector
Method      | Z0.BitMatrix.broadcast(Z0.BitVector32,Z0.BitMatrix32@)                | Overwrites each row of a primal bitmatrix with a specified source vector
Method      | Z0.BitMatrix.broadcast(Z0.BitVector64,Z0.BitMatrix64@)                | Overwrites each row of a primal bitmatrix with a specified source vector
Method      | Z0.BitMatrix.cellcount``3(``0,``1,``2)                                | Computes the minimum number of cells required to store a bitmatrix of natural dimensions where each row is data-type aligned
Method      | Z0.BitMatrix.cimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)      | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix8@,Z0.BitMatrix8@)                     | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)   | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix16@,Z0.BitMatrix16@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)   | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix32@,Z0.BitMatrix32@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)   | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cimpl(Z0.BitMatrix64@,Z0.BitMatrix64@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.cnonimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)   | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)| Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)| Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)| Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix8@,Z0.BitMatrix8@)                  | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix16@,Z0.BitMatrix16@)                | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix32@,Z0.BitMatrix32@)                | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.cnonimpl(Z0.BitMatrix64@,Z0.BitMatrix64@)                | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.col(Z0.BitMatrix4@,System.Int32)                         | Queries the matrix for the data in an index-identified column
Method      | Z0.BitMatrix.diagonal``1(Z0.BitMatrix{``0}@)                          | Extracts the diagonal from a generic bitmatrix
Method      | Z0.BitMatrix.diagonal(Z0.BitMatrix16@)                                | Extracts the diagonal from a primal bitmatrix
Method      | Z0.BitMatrix.diagonal(Z0.BitMatrix32@)                                | Extracts the diagonal from a primal bitmatrix
Method      | Z0.BitMatrix.diagonal(Z0.BitMatrix64@)                                | Extracts the diagonal from a primal bitmatrix
Method      | Z0.BitMatrix.empty``1(Z0.BitMatrix{``0}@)                             | Determines whether the matrix is 0-filled
Method      | Z0.BitMatrix.empty(Z0.BitMatrix8@)                                    | Determines whether the matrix is 0-filled
Method      | Z0.BitMatrix.empty(Z0.BitMatrix16@)                                   | Determines whether the matrix is 0-filled
Method      | Z0.BitMatrix.empty(Z0.BitMatrix32@)                                   | Determines whether the matrix is 0-filled
Method      | Z0.BitMatrix.empty(Z0.BitMatrix64@)                                   | Determines whether the matrix is 0-filled
Method      | Z0.BitMatrix.from``1(Z0.RowBits{``0}@)                                | Loads a generic bitmatrix from a rowbit sequence
Method      | Z0.BitMatrix.graph``1(Z0.BitMatrix{``0}@)                             | Constructs the graph determined by an adjacency bitmatrix
Method      | Z0.BitMatrix.graph(Z0.BitMatrix8)                                     | Constructs a 8-node graph via the adjacency matrix interpretation
Method      | Z0.BitMatrix.graph(Z0.BitMatrix16)                                    | Constructs a 16-node graph via the adjacency matrix interpretation
Method      | Z0.BitMatrix.graph(Z0.BitMatrix32)                                    | Constructs a 32-node graph via the adjacency matrix interpretation
Method      | Z0.BitMatrix.graph(Z0.BitMatrix64)                                    | Constructs a 64-node graph via the adjacency matrix interpretation
Method      | Z0.BitMatrix.graph``2(Z0.BitMatrix{``0,``1})                          | Constructs a graph from an adjacency bitmatrix of natural order
Method      | Z0.BitMatrix.hprod``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the Hadamard product of the source matrix and another of the same dimension
Method      | Z0.BitMatrix.hprod(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)      | Computes the Hadamard product of the source matrix and another of the same dimension
Method      | Z0.BitMatrix.hprod(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)   | Computes the Hadamard product of the source matrix and another of the same dimension
Method      | Z0.BitMatrix.hprod(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)   | Computes the Hadamard product of the source matrix and another of the same dimension
Method      | Z0.BitMatrix.hprod(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)   | Computes the Hadamard product of the source matrix and another of the same dimension
Method      | Z0.BitMatrix.impl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)           | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.impl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.impl(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)       | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
