Method      | Z0.BitMask.alteven``1                                                 | Defines an alternating bit pattern 10 10...10
Method      | Z0.BitMask.msb64(Z0.N64,Z0.N32,Z0.N1)                                 | [10000000 00000000 00000000 0000000]            The greatest bit of each 32-bit segment over 64 bits of data is enabled
Method      | Z0.BitMask.even``1(Z0.N2,Z0.N1,``0)                                   | [01010101]
Method      | Z0.BitMask.even``1(Z0.N2,Z0.N2,``0)                                   | [00110011]
Method      | Z0.BitMask.odd``1(Z0.N2,Z0.N1)                                        | [10101010]
Method      | Z0.BitMask.odd``1(Z0.N2,Z0.N2)                                        | [11001100]
Method      | Z0.BitMask.mask``1(Z0.ParityMask{Z0.N2,Z0.N1,``0}@,Z0.N0)             | [01010101]
Method      | Z0.BitMask.mask``1(Z0.ParityMask{Z0.N2,Z0.N1,``0}@,Z0.N1)             | [10101010]
Method      | Z0.BitMask.mask``1(Z0.ParityMask{Z0.N2,Z0.N2,``0}@,Z0.N0)             | [00110011]
Method      | Z0.BitMask.mask``1(Z0.ParityMask{Z0.N2,Z0.N2,``0}@,Z0.N1)             | [11001100]
Type        | Z0.CentralMask`3                                                      | Defines a specification for producing Central-oriented masks
Type        | Z0.IndexMask`2                                                        | Defines a specification for producing an index-oriented mask
Type        | Z0.JsbMask`3                                                          | Defines a specification for producing joint lsb/msb mask compositions
Type        | Z0.LsbMask`3                                                          | Defines a specification for producing LSB-oriented masks
Type        | Z0.MaskSpec                                                           | Defines a specification for producing classified bitmasks
Type        | Z0.MsbMask`3                                                          | Defines a specification for producing MSB-oriented masks
Type        | Z0.ParityMask`3                                                       | Defines a specification for producing parity masks
