Method      | Z0.Blocks.aligned``1(Z0.W8,System.Int32)                              | Determines whether a specified number of elements can be evenly covered by 8-bit blocks
Method      | Z0.Blocks.blockcount``1(Z0.W8,System.Int32)                           | Computes the whole number of blocks that cover a specified count of T-cells
Method      | Z0.Blocks.blockcount``1(Z0.W16,System.Int32)                          | Computes the whole number of blocks that cover a specified count of T-cells
Method      | Z0.Blocks.blockcount``1(Z0.W32,System.Int32)                          | Computes the whole number of blocks that cover a specified count of T-cells
Method      | Z0.Blocks.blockcount``1(Z0.W64,System.Int32)                          | Computes the whole number of blocks that cover a specified count of T-cells
Method      | Z0.Blocks.blockcount``1(Z0.W128,System.Int32)                         | Computes the whole number of blocks that cover a specified count of T-cells
Method      | Z0.Blocks.blockcount``1(Z0.W256,System.Int32)                         | Computes the whole number of blocks that cover a specified count of T-cells
Method      | Z0.Blocks.blockcount``1(Z0.W512,System.Int32)                         | Computes the whole number of blocks that cover a specified count of T-cells
Method      | Z0.Blocks.blockcount``1(Z0.W8,System.Int32,System.Int32@)             | Computes the whole number of blocks that cover a specified count of T-cells            and reveals the number of cells that remain uncovered
Method      | Z0.Blocks.blockcount``1(Z0.W16,System.Int32,System.Int32@)            | Computes the whole number of blocks that cover a specified count of T-cells            and reveals the number of cells that remain uncovered
Method      | Z0.Blocks.blockcount``1(Z0.W32,System.Int32,System.Int32@)            | Computes the whole number of blocks that cover a specified count of T-cells            and reveals the number of cells that remain uncovered
Method      | Z0.Blocks.blockcount``1(Z0.W64,System.Int32,System.Int32@)            | Computes the whole number of blocks that cover a specified count of T-cells            and reveals the number of cells that remain uncovered
Method      | Z0.Blocks.blockcount``1(Z0.W128,System.Int32,System.Int32@)           | Computes the whole number of blocks that cover a specified count of T-cells            and reveals the number of cells that remain uncovered
Method      | Z0.Blocks.blockcount``1(Z0.W256,System.Int32,System.Int32@)           | Computes the whole number of blocks that cover a specified count of T-cells            and reveals the number of cells that remain uncovered
Method      | Z0.Blocks.blockcount``1(Z0.W512,System.Int32,System.Int32@)           | Computes the whole number of blocks that cover a specified count of T-cells            and reveals the number of cells that remain uncovered
Method      | Z0.Blocks.blockcount``3(Z0.N256)                                      | Computes the minimum number of 256-bit blocks that can hold a table of data
Method      | Z0.Blocks.blockcount``3(Z0.W512)                                      | Computes the minimum number of 512-bit blocks that can hold a table of data
Method      | Z0.Blocks.broadcast``1(``0,Z0.Block8{``0}@)                           | Fills a target block with replicated cell data
Method      | Z0.Blocks.broadcast``1(``0,Z0.Block16{``0}@)                          | Fills a target block with replicated cell data
Method      | Z0.Blocks.broadcast``1(``0,Z0.Block32{``0}@)                          | Fills a target block with replicated cell data
Method      | Z0.Blocks.broadcast``1(``0,Z0.Block64{``0}@)                          | Fills a target block with replicated cell data
Method      | Z0.Blocks.broadcast``1(``0,Z0.Block128{``0}@)                         | Fills a target block with replicated cell data
Method      | Z0.Blocks.broadcast``1(``0,Z0.Block256{``0}@)                         | Fills a target block with replicated cell data
Method      | Z0.Blocks.broadcast``1(``0,Z0.Block512{``0}@)                         | Fills a target block with replicated cell data
Method      | Z0.Blocks.bytecount(System.Int32,System.Int32)                        | Computes the number of bytes covered by a specified cell count and width
Method      | Z0.Blocks.bytecount``1(System.Int32)                                  | Computes  the number of bytes covered by a specified cell count of parametric type
Method      | Z0.Blocks.cellalloc``1(Z0.W8,System.Int32)                            | Allocates a sequence of 8-bit blocks sufficient to cover a specified number of cells
Method      | Z0.Blocks.cellalloc``1(Z0.W16,System.Int32)                           | Allocates a sequence of 16-bit blocks sufficient to cover a specified number of cells
Method      | Z0.Blocks.cellalloc``1(Z0.W32,System.Int32)                           | Allocates a sequence of 32-bit blocks sufficient to cover a specified number of cells
Method      | Z0.Blocks.cellalloc``1(Z0.W64,System.Int32)                           | Allocates a sequence of 64-bit blocks sufficient to cover a specified number of cells
Method      | Z0.Blocks.cellalloc``1(Z0.W128,System.Int32)                          | Allocates a sequence of 128-bit blocks sufficient to cover a specified number of cells
Method      | Z0.Blocks.cellalloc``1(Z0.W256,System.Int32)                          | Allocates a sequence of 256-bit blocks sufficient to cover a specified number of cells
Method      | Z0.Blocks.cellalloc``1(Z0.W512,System.Int32)                          | Allocates a sequence of 512-bit blocks sufficient to cover a specified number of cells
Method      | Z0.Blocks.cellblocks``1(Z0.W8,System.Int32)                           | Calculates the number of cells that comprise a specified number of blocks
Method      | Z0.Blocks.cellblocks``1(Z0.W16,System.Int32)                          | Calculates the number of cells that comprise a specified number of blocks
Method      | Z0.Blocks.cellblocks``1(Z0.W32,System.Int32)                          | Calculates the number of cells that comprise a specified number of blocks
Method      | Z0.Blocks.cellblocks``1(Z0.W64,System.Int32)                          | Calculates the number of cells that comprise a specified number of blocks
Method      | Z0.Blocks.cellblocks``1(Z0.W128,System.Int32)                         | Calculates the number of cells that comprise a specified number of blocks
Method      | Z0.Blocks.cellblocks``1(Z0.W256,System.Int32)                         | Calculates the number of cells that comprise a specified number of blocks
Method      | Z0.Blocks.cellblocks``1(Z0.W512,System.Int32)                         | Calculates the number of cells that comprise a specified number of blocks
Method      | Z0.Blocks.cellcover``1(Z0.W8,System.Int32)                            | Computes the minimum number of 8-bit blocks required to cover a specified number of cells
Method      | Z0.Blocks.cellcover``1(Z0.W16,System.Int32)                           | Computes the minimum number of 32-bit blocks required to cover a specified number of cells
Method      | Z0.Blocks.cellcover``1(Z0.W32,System.Int32)                           | Computes the minimum number of 32-bit blocks required to cover a specified number of cells
Method      | Z0.Blocks.cellcover``1(Z0.W64,System.Int32)                           | Computes the minimum number of 64-bit blocks required to cover a specified number of cells
Method      | Z0.Blocks.cellcover``1(Z0.W128,System.Int32)                          | Computes the minimum number of 128-bit blocks required to cover a specified number of cells
Method      | Z0.Blocks.cellcover``1(Z0.W256,System.Int32)                          | Computes the minimum number of 256-bit blocks required to cover a specified number of cells
Method      | Z0.Blocks.cellcover``1(Z0.W512,System.Int32)                          | Computes the minimum number of 512-bit blocks required to cover a specified number of cells
Method      | Z0.Blocks.cellcover``4(``0,``1,``2,``3)                               | Computes the minimum numbet of W-blocks over T-cells required to cover a grid of natural dimensions MxN
Method      | Z0.Blocks.cells(Z0.W8,System.Byte)                                    | Creates a 8-bit blocked container from 1 8-bit cell
Method      | Z0.Blocks.cells(Z0.W16,System.UInt16)                                 | Creates a 16-bit blocked container from 1 16-bit cell
Method      | Z0.Blocks.cells(Z0.W16,System.UInt64)                                 | Creates a 16-bit blocked container from 1 64-bit cell
Method      | Z0.Blocks.cells(Z0.W32,System.UInt64)                                 | Creates a 32-bit blocked container from 1 64-bit cell
Method      | Z0.Blocks.cells(Z0.W32,System.Byte,System.Byte,System.Byte,System.Byte)| Creates a 32-bit blocked container from 4 8-bit cells
Method      | Z0.Blocks.cells(Z0.W32,System.UInt16,System.UInt16)                   | Creates a 32-bit blocked container from 2 16-bit cells
Method      | Z0.Blocks.cells(Z0.W32,System.UInt32)                                 | Creates a 32-bit blocked container from 1 32-bit cell
Method      | Z0.Blocks.cells(Z0.W64,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte)| Creates a 64-bit blocked container from 8 8-bit cells
Method      | Z0.Blocks.cells(Z0.W64,System.UInt16,System.UInt16,System.UInt16,System.UInt16)| Creates a 64-bit blocked container from 4 16-bit cells
Method      | Z0.Blocks.cells(Z0.W64,System.UInt32,System.UInt32)                   | Creates a 64-bit data block from 2 32-bit cells
Method      | Z0.Blocks.cells(Z0.W64,System.UInt64)                                 | Creates a 64-bit data block from 1 64-bit cell
Method      | Z0.Blocks.cells(Z0.W128,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte)| Creates a 128-bit blocked span from 8-bit cells
Method      | Z0.Blocks.cells(Z0.W128,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16)| Creates a 128-bit blocked span from 16-bit cells
Method      | Z0.Blocks.cells(Z0.W128,System.UInt32,System.UInt32,System.UInt32,System.UInt32)| Creates a 128-bit blocked span from 4 32-bit cells
Method      | Z0.Blocks.cells(Z0.W128,System.UInt64,System.UInt64)                  | Creates a 128-bit blocked container from 2 64-bit cells
Method      | Z0.Blocks.cells(Z0.W256,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte,System.Byte)| Creates a 256-bit blocked container from 32 8-bit cells
Method      | Z0.Blocks.cells(Z0.W256,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.UInt16)| Creates a 256-bit blocked container from 16 16-bit cells
Method      | Z0.Blocks.cells(Z0.W256,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32)| Creates a 256-bit blocked container from 8 32-bit cells
Method      | Z0.Blocks.cells(Z0.W256,System.UInt64,System.UInt64,System.UInt64,System.UInt64)| Creates a 256-bit blocked container from 4 64-bit cells
Method      | Z0.Blocks.cells(Z0.W512,System.UInt64,System.UInt64,System.UInt64,System.UInt64,System.UInt64,System.UInt64,System.UInt64,System.UInt64)| Creates a 512-bit blocked container from 8 64-bit cells
Method      | Z0.Blocks.cells(Z0.W512,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32,System.UInt32)| Creates a 512-bit blocked container from 16 32-bit cells
Method      | Z0.Blocks.cellsize``1                                                 | Calculates the number of bytes required to represent a block constituent
Method      | Z0.Blocks.convert``2(Z0.Block128{``0})                                | If possible, applies the conversion S -&gt; T for each cell in the source block
Method      | Z0.Blocks.convert``2(Z0.Block256{``0})                                | If possible, applies the conversion S -&gt; T for each cell in the source block
Method      | Z0.Blocks.convert``2(Z0.Block512{``0})                                | If possible, applies the conversion S -&gt; T for each cell in the source block
Method      | Z0.Blocks.init``1(Z0.W8,System.Span{``0})                             | Loads a single 16-bit block from the leading elements of a source span (unchecked)
Method      | Z0.Blocks.init``1(Z0.W16,System.Span{``0})                            | Loads a single 16-bit block from the leading elements of a source span (unchecked)
Method      | Z0.Blocks.init``1(Z0.W32,System.Span{``0})                            | Loads a single 32-bit block from the leading elements of a source span (unchecked)
Method      | Z0.Blocks.init``1(Z0.W64,System.Span{``0})                            | Loads a single 64-bit block from the leading elements of a source span (unchecked)
Method      | Z0.Blocks.init``1(Z0.W128,System.Span{``0})                           | Loads a single 128-bit block from the leading elements of a source span (unchecked)
Method      | Z0.Blocks.init``1(Z0.W256,System.Span{``0})                           | Loads a single 256-bit block from the leading elements of a source span (unchecked)
Method      | Z0.Blocks.init``1(Z0.W512,System.Span{``0})                           | Loads a single 512-bit block from the leading elements of a source span (unchecked)
Method      | Z0.Blocks.length``1(Z0.W8,``0)                                        | Computes the number of cells that comprise a single 8-bit block
Method      | Z0.Blocks.length``1(Z0.W16,``0)                                       | Computes the number of cells that comprise a single 16-bit block
Method      | Z0.Blocks.length``1(Z0.W32,``0)                                       | Computes the number of cells that comprise a single 32-bit block
Method      | Z0.Blocks.length``1(Z0.W64,``0)                                       | Computes the number of elements that comprise a single 64-bit block
Method      | Z0.Blocks.length``1(Z0.W128,``0)                                      | Computes the number of elements that comprise a single 128-bit block
Method      | Z0.Blocks.length``1(Z0.W256,``0)                                      | Computes the number of elements that comprise a 256-bit block
Method      | Z0.Blocks.length``1(Z0.W512,``0)                                      | Computes the number of elements that comprise a 512-bit block
Method      | Z0.Blocks.length``2(``0,``1)                                          | Computes the number of T-cells that comprise an N-block
Method      | Z0.Blocks.length``2(Z0.Block128{``0},Z0.Block128{``1},System.String,System.String,System.Nullable{System.Int32})| Returns the length of equal-length blocks; otherwise raises an error
Method      | Z0.Blocks.length``2(Z0.Block256{``0},Z0.Block256{``1},System.String,System.String,System.Nullable{System.Int32})| Returns the length of equal-length blocks; otherwise raises an error
Method      | Z0.Blocks.length``2(Z0.Block512{``0},Z0.Block512{``1},System.String,System.String,System.Nullable{System.Int32})| Returns the length of equal-length blocks; otherwise raises an error
Method      | Z0.Blocks.load``1(Z0.W8,System.Span{``0},System.Int32)                | Loads 8-bit segments from a span, raising an error if said source does not evenly partition
Method      | Z0.Blocks.load``1(Z0.W16,System.Span{``0},System.Int32)               | Loads 16-bit segments from a span, raising an error if said source does not evenly partition
Method      | Z0.Blocks.load``1(Z0.W32,System.Span{``0},System.Int32)               | Loads 32-bit segments from a span, raising an error if said source does not evenly partition
Method      | Z0.Blocks.load``1(Z0.W64,System.Span{``0},System.Int32)               | Loads 64-bit segments from a span, raising an error if said source does not evenly partition
Method      | Z0.Blocks.load``1(Z0.W128,System.Span{``0},System.Int32)              | Loads 128-bit segments from a span, raising an error if said source does not evenly partition
Method      | Z0.Blocks.load``1(Z0.W256,System.Span{``0},System.Int32)              | Loads 256-bit segments from a span, raising an error if said source does not evenly partition
Method      | Z0.Blocks.load``1(Z0.W512,System.Span{``0},System.Int32)              | Loads 256-bit segments from a span, raising an error if said source does not evenly partition
Method      | Z0.Blocks.load``1(Z0.W8,``0@,System.Int32)                            | Loads a specified count of 8-bit blocks from a reference
Method      | Z0.Blocks.load``1(Z0.W16,``0@)                                        | Loads a single 16-bit block from a reference
Method      | Z0.Blocks.load``1(Z0.W16,``0@,System.Int32)                           | Loads a specified count of 16-bit blocks from a reference
Method      | Z0.Blocks.load``1(Z0.W32,``0@)                                        | Loads a single 32-bit block from a reference
Method      | Z0.Blocks.load``1(Z0.W32,``0@,System.Int32)                           | Loads a specified count of 32-bit block from a reference
Method      | Z0.Blocks.load``1(Z0.W64,``0@)                                        | Loads a single 64-bit block from a reference
Method      | Z0.Blocks.load``1(Z0.W64,``0@,System.Int32)                           | Loads a specified count of 64-bit blocks from a reference
Method      | Z0.Blocks.load``1(Z0.W128,``0@)                                       | Loads a single 128-bit block from a reference
Method      | Z0.Blocks.load``1(Z0.W128,``0@,System.Int32)                          | Loads a specified count of 128-bit blocks from a reference
Method      | Z0.Blocks.load``1(Z0.W256,``0@)                                       | Loads a single 256-bit block from a reference
Method      | Z0.Blocks.load``1(Z0.W256,``0@,System.Int32)                          | Loads a specified count of 256-bit block sfrom a reference
Method      | Z0.Blocks.load``1(Z0.W512,``0@)                                       | Loads a single 512-bit blocks from a reference
Method      | Z0.Blocks.load``1(Z0.W512,``0@,System.Int32)                          | Loads a specified count of 512-bit blocks from a reference
Method      | Z0.Blocks.parts``1(Z0.W8,``0[])                                       | Creates a sequence of 8-bit blocks from a parameter array and raises an error if the data source is not block-aligned
Method      | Z0.Blocks.parts``1(Z0.W16,``0[])                                      | Creates 16-bit blocked container from a parameter array and raises an error if the data source is not block-aligned
Method      | Z0.Blocks.parts``1(Z0.W32,``0[])                                      | Creates 32-bit blocked span from a parameter array and raises an error if the data source is not block-aligned
Method      | Z0.Blocks.parts``1(Z0.W64,``0[])                                      | Creates 64-bit blocked span from a parameter array and raises an error if the data source is not block-aligned
Method      | Z0.Blocks.parts``1(Z0.W128,``0[])                                     | Creates 128-bit blocked span from a parameter array and raises an error if the data source is improperly blocked
Method      | Z0.Blocks.parts``1(Z0.W256,``0[])                                     | Creates 256-bit blocked span from a parameter array and raises an error if the data source is improperly blocked
Method      | Z0.Blocks.parts``1(Z0.W512,``0[])                                     | Creates 512-bit blocked span from a parameter array and raises an error if the data source is improperly blocked
Method      | Z0.Blocks.pvoid``1(``0@)                                              | Converts a generic reference into a void pointer
Method      | Z0.Blocks.ptr``1(``0@)                                                | Presents generic reference as a generic pointer
Method      | Z0.Blocks.ptr``1(Z0.Block16{``0}@)                                    | Returns a generic pointer to the leading cell of the first block of a 16-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block32{``0}@)                                    | Returns a generic pointer to the leading cell of the first block of a 32-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block64{``0}@)                                    | Returns a generic pointer to the leading cell of the first block of a 64-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block128{``0}@)                                   | Returns a generic pointer to the leading cell of the first block of a 128-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block256{``0}@)                                   | Returns a generic pointer to the leading cell of the first block of a 256-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block16{``0}@,System.Int32)                       | Returns a generic pointer to the leading cell of an index-identified block of a 16-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block32{``0}@,System.Int32)                       | Returns a generic pointer to the leading cell of an index-identified block of a 32-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block64{``0}@,System.Int32)                       | Returns a generic pointer to the leading cell of an index-identified block of a 64-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block128{``0}@,System.Int32)                      | Returns a generic pointer to the leading cell of an index-identified block of a 128-bit blocked container
Method      | Z0.Blocks.ptr``1(Z0.Block256{``0}@,System.Int32)                      | Returns a generic pointer to the leading cell of an index-identified block of a 256-bit blocked container
Method      | Z0.Blocks.rectangle``1(Z0.W8,System.Int32,System.Int32)               | Allocates the minimum number of blocks required to block-align tabular data in 8-bit blocks
Method      | Z0.Blocks.rectangle``1(Z0.W16,System.Int32,System.Int32)              | Allocates the minimum number of blocks required to block-align tabular data in 16-bit blocks
Method      | Z0.Blocks.rectangle``1(Z0.W32,System.Int32,System.Int32)              | Allocates the minimum number of blocks required to block-align tabular data in 32-bit blocks
Method      | Z0.Blocks.rectangle``1(Z0.W64,System.Int32,System.Int32)              | Allocates the minimum number of blocks required to block-align tabular data in 64-bit blocks
Method      | Z0.Blocks.rectangle``1(Z0.W128,System.Int32,System.Int32)             | Allocates the minimum number of blocks required to block-align tabular data in 64-bit blocks
Method      | Z0.Blocks.rectangle``1(Z0.W256,System.Int32,System.Int32)             | Allocates the minimum number of blocks required to block-align tabular data in 256-bit blocks
Method      | Z0.Blocks.reference``1(Z0.Block8{``0}@,System.Int32)                  | Returns a reference to the leading cell of an index-identified block
Method      | Z0.Blocks.reference``1(Z0.Block16{``0}@,System.Int32)                 | Returns a reference to the leading cell of an index-identified block
Method      | Z0.Blocks.reference``1(Z0.Block32{``0}@,System.Int32)                 | Returns a reference to the leading cell of an index-identified block
Method      | Z0.Blocks.reference``1(Z0.Block64{``0}@,System.Int32)                 | Returns a reference to the leading cell of an index-identified block
Method      | Z0.Blocks.reference``1(Z0.Block128{``0}@,System.Int32)                | Returns a reference to the leading cell of an index-identified block
Method      | Z0.Blocks.reference``1(Z0.Block256{``0}@,System.Int32)                | Returns a reference to the leading cell of an index-identified block
Method      | Z0.Blocks.reference``1(Z0.Block512{``0}@,System.Int32)                | Returns a reference to the leading cell of an index-identified block
Method      | Z0.Blocks.safeload``1(Z0.W8,System.Span{``0})                         | Loads a sequence of 16-bit blocks from an unblocked span, reallocating if the source span isn't properly blocked
Method      | Z0.Blocks.safeload``1(Z0.W16,System.Span{``0})                        | Loads a sequence of 16-bit blocks from an unblocked span, reallocating if the source span isn't properly blocked
Method      | Z0.Blocks.safeload``1(Z0.W32,System.Span{``0})                        | Loads 32-bit blocked span from an unblocked span, reallocating if the source span isn't properly blocked
Method      | Z0.Blocks.safeload``1(Z0.W64,System.Span{``0})                        | Loads 64-bit blocked span from an unblocked span, reallocating if the source span isn't properly blocked
Method      | Z0.Blocks.safeload``1(Z0.W128,System.Span{``0})                       | Loads 128-bit blocked span from an unblocked span, reallocating if the source span isn't properly blocked
Method      | Z0.Blocks.safeload``1(Z0.W256,System.Span{``0})                       | Loads 256-bit blocked span from an unblocked span, reallocating if the source span isn't properly blocked
Method      | Z0.Blocks.safeload``1(Z0.W512,System.Span{``0})                       | Loads 512-bit blocked span from an unblocked span, reallocating if the source span isn't properly blocked
Method      | Z0.Blocks.single``1(Z0.W8)                                            | Allocates a single 8-bit block
Method      | Z0.Blocks.single``1(Z0.W16)                                           | Allocates a single 16-bit block
Method      | Z0.Blocks.single``1(Z0.W32)                                           | Allocates a single 32-bit block
Method      | Z0.Blocks.single``1(Z0.W64)                                           | Allocates a single 64-bit block
Method      | Z0.Blocks.single``1(Z0.W128)                                          | Allocates a single 128-bit block
Method      | Z0.Blocks.single``1(Z0.W256)                                          | Allocates a single 256-bit block
Method      | Z0.Blocks.single``1(Z0.W512)                                          | Allocates a single 512-bit block
Method      | Z0.Blocks.square``1(Z0.W8,System.Int32)                               | Allocates the minimum number of blocks required to block-align tabular data of square dimension in 32-bit blocks
Method      | Z0.Blocks.square``1(Z0.W16,System.Int32)                              | Allocates the minimum number of blocks required to block-align tabular data of square dimension in 32-bit blocks
Method      | Z0.Blocks.square``1(Z0.W32,System.Int32)                              | Allocates the minimum number of blocks required to block-align tabular data of square dimension in 32-bit blocks
Method      | Z0.Blocks.square``1(Z0.W64,System.Int32)                              | Allocates the minimum number of blocks required to block-align tabular data of square dimension in 64-bit blocks
Method      | Z0.Blocks.square``1(Z0.W128,System.Int32)                             | Allocates the minimum number of blocks required to block-align tabular data of square dimension in 128-bit blocks
Method      | Z0.Blocks.square``1(Z0.W256,System.Int32)                             | Allocates the minimum number of blocks required to block-align tabular data of square dimension in 256-bit blocks
Method      | Z0.Blocks.stats(System.Int32,System.Int32,System.Int32)               | Calculates memory block statistics for specified parameters
Method      | Z0.Blocks.stats``1(System.Int32,System.Int32)                         | Calculates memory block statistics for specified function and type parameters
Method      | Z0.Blocks.stats``2(System.Int32,``0,``1)                              | Calculates memory block statistics for specified function and type parameters
Method      | Z0.Blocks.store(System.UInt64,Z0.Block8{System.Byte}@)                | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store(System.UInt64,Z0.Block16{System.Byte}@)               | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store(System.UInt64,Z0.Block32{System.Byte}@)               | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store(System.UInt64,Z0.Block64{System.Byte}@)               | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store(System.UInt64,Z0.Block64{System.UInt16}@)             | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store(System.UInt64,Z0.Block64{System.UInt32}@)             | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store(System.UInt32,Z0.Block32{System.Byte}@)               | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store(System.UInt16,Z0.Block16{System.Byte}@)               | Stores the source value to the leading target cell blocks
Method      | Z0.Blocks.store``1(System.Byte@,Z0.Block256{``0}@,System.Int32,System.Int32)| Writes a specified number of bytes to a block beginning at a byte-relative offset
Method      | Z0.Blocks.store``1(System.Byte@,Z0.Block512{``0}@,System.Int32,System.Int32)| Writes a specified number of bytes to a block beginning at a byte-relative offset
Method      | Z0.Blocks.unsafeload``1(Z0.W8,System.Span{``0})                       | Loads a span into a blocked container without checks
Method      | Z0.Blocks.unsafeload``1(Z0.W16,System.Span{``0})                      | Loads a span into a blocked container without checks
Method      | Z0.Blocks.unsafeload``1(Z0.W32,System.Span{``0})                      | Loads a span into a blocked container without checks
Method      | Z0.Blocks.unsafeload``1(Z0.W64,System.Span{``0})                      | Loads a span into a blocked container without checks
Method      | Z0.Blocks.unsafeload``1(Z0.W128,System.Span{``0})                     | Loads a span into a blocked container without checks
Method      | Z0.Blocks.unsafeload``1(Z0.W256,System.Span{``0})                     | Loads a span into a blocked container without checks
Method      | Z0.Blocks.unsafeload``1(Z0.W512,System.Span{``0})                     | Loads a span into a blocked container without checks
Method      | Z0.XBlocks.Blocked``1(System.Span{``0},Z0.W8)                         | Constructs a 32-bit blocked span from an unblocked span
Method      | Z0.XBlocks.Blocked``1(System.Span{``0},Z0.W16)                        | Constructs a 32-bit blocked span from an unblocked span
Method      | Z0.XBlocks.Blocked``1(System.Span{``0},Z0.W32)                        | Constructs a 32-bit blocked span from an unblocked span
Method      | Z0.XBlocks.Blocked``1(System.Span{``0},Z0.W64)                        | Constructs a 16-bit blocked span from an unblocked span
Method      | Z0.XBlocks.Blocked``1(System.Span{``0},Z0.W128)                       | Constructs a 128-bit blocked span from an unblocked span
Method      | Z0.XBlocks.Blocked``1(System.Span{``0},Z0.W256)                       | Constructs a 128-bit blocked span from an unblocked span
Method      | Z0.XBlocks.Blocked``1(System.Span{``0},Z0.W512)                       | Constructs a 128-bit blocked span from an unblocked span
Method      | Z0.XBlocks.BlockRef``1(Z0.Block8{``0}@,System.Int32)                  | Returns a reference to the leading cell of an index-identified block
