# SystemClasses - https://docs.microsoft.com/en-us/dotnet/api/system?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                   | Description                                                                                                                                                                                                                                                         |
| Event Args                             | Represents the base class for classes that contain event data, and provides a value to use for events that do not include event data.                                                                                                                               |
| Exception                              | Represents errors that occur during application execution.                                                                                                                                                                                                          |
| Execution Engine Exception             | The exception that is thrown when there is an internal error in the execution engine of the common language runtime. This class cannot be inherited.                                                                                                                |
| Field Access Exception                 | The exception that is thrown when there is an invalid attempt to access a private or protected field inside a class.                                                                                                                                                |
| File Style Uri Parser                  | A customizable parser based on the File scheme.                                                                                                                                                                                                                     |
| Flags Attribute                        | Indicates that an enumeration can be treated as a bit field; that is, a set of flags.                                                                                                                                                                               |
| Format Exception                       | The exception that is thrown when the format of an argument is invalid, or when a composite format string is not well formed.                                                                                                                                       |
| Formattable String                     | Represents a composite format string, along with the arguments to be formatted.                                                                                                                                                                                     |
| Ftp Style Uri Parser                   | A customizable parser based on the File Transfer Protocol (FTP) scheme.                                                                                                                                                                                             |
| GC                                     | Controls the system garbage collector, a service that automatically reclaims unused memory.                                                                                                                                                                         |
| Generic Uri Parser                     | A customizable parser for a hierarchical URI.                                                                                                                                                                                                                       |
| Gopher Style Uri Parser                | A customizable parser based on the Gopher scheme.                                                                                                                                                                                                                   |
| Http Style Uri Parser                  | A customizable parser based on the HTTP scheme.                                                                                                                                                                                                                     |
| Index Out OfRange Exception            | The exception that is thrown when an attempt is made to access an element of an array or collection with an index that is outside its bounds.                                                                                                                       |
| Insufficient Execution Stack Exception | The exception that is thrown when there is insufficient execution stack available to allow most methods to execute.                                                                                                                                                 |
| Insufficient Memory Exception          | The exception that is thrown when a check for sufficient available memory fails. This class cannot be inherited.                                                                                                                                                    |
| Invalid Cast Exception                 | The exception that is thrown for invalid casting or explicit conversion.                                                                                                                                                                                            |
| Invalid Operation Exception            | The exception that is thrown when a method call is invalid for the object's current state.                                                                                                                                                                          |
| Invalid Program Exception              | The exception that is thrown when a program contains invalid Microsoft intermediate language (MSIL) or metadata. Generally this indicates a bug in the compiler that generated the program.                                                                         |
| Invalid Time Zone Exception            | The exception that is thrown when time zone information is invalid.                                                                                                                                                                                                 |
| Lazy<T>                                | Provides support for lazy initialization.                                                                                                                                                                                                                           |
| Lazy<T,TMetadata>                      | Provides a lazy indirect reference to an object and its associated metadata for use by the Managed Extensibility Framework.                                                                                                                                         |
| Ldap Style Uri Parser                  | A customizable parser based on the Lightweight Directory Access Protocol (LDAP) scheme.                                                                                                                                                                             |
| Loader Optimization Attribute          | Used to set the default loader optimization policy for the main method of an executable application.                                                                                                                                                                |
| Local Data Store Slot                  | Encapsulates a memory slot to store local data. This class cannot be inherited.                                                                                                                                                                                     |
| Marshal ByRef Object                   | Enables access to objects across application domain boundaries in applications that support remoting.                                                                                                                                                               |
| Math                                   | Provides constants and static methods for trigonometric, logarithmic, and other common mathematical functions.                                                                                                                                                      |
| MathF                                  | Provides constants and static methods for trigonometric, logarithmic, and other common mathematical functions.                                                                                                                                                      |
| Member Access Exception                | The exception that is thrown when an attempt to access a class member fails.                                                                                                                                                                                        |
| Memory Extensions                      | Provides extension methods for for the memory- and span-related types, such as Memory<T> , ReadOnlyMemory<T> , Span<T> , and ReadOnlySpan<T> .                                                                                                                      |
| Method Access Exception                | The exception that is thrown when there is an invalid attempt to access a method, such as accessing a private method from partially trusted code.                                                                                                                   |
| Missing Field Exception                | The exception that is thrown when there is an attempt to dynamically access a field that does not exist. If a field in a class library has been removed or renamed, recompile any assemblies that reference that library.                                           |
| Missing Member Exception               | The exception that is thrown when there is an attempt to dynamically access a class member that does not exist or that is not declared as public. If a member in a class library has been removed or renamed, recompile any assemblies that reference that library. |
| Missing Method Exception               | The exception that is thrown when there is an attempt to dynamically access a method that does not exist.                                                                                                                                                           |
| MTAThread Attribute                    | Indicates that the COM threading model for an application is multithreaded apartment (MTA).                                                                                                                                                                         |
| Multicast Delegate                     | Represents a multicast delegate; that is, a delegate that can have more than one element in its invocation list.                                                                                                                                                    |
| Multicast Not Supported Exception      | The exception that is thrown when there is an attempt to combine two delegates based on the Delegate type instead of the MulticastDelegate type. This class cannot be inherited.                                                                                    |
| Net Pipe Style Uri Parser              | A parser based on the NetPipe scheme for the "Indigo" system.                                                                                                                                                                                                       |
| Net Tcp Style Uri Parser               | A parser based on the NetTcp scheme for the "Indigo" system.                                                                                                                                                                                                        |
| News Style Uri Parser                  | A customizable parser based on the news scheme using the Network News Transfer Protocol (NNTP).                                                                                                                                                                     |
| Non Serialized Attribute               | Indicates that a field of a serializable class should not be serialized. This class cannot be inherited.                                                                                                                                                            |
| Not Finite Number Exception            | The exception that is thrown when a floating-point value is positive infinity, negative infinity, or Not-a-Number (NaN).                                                                                                                                            |
| Not Implemented Exception              | The exception that is thrown when a requested method or operation is not implemented.                                                                                                                                                                               |
| Not Supported Exception                | The exception that is thrown when an invoked method is not supported, or when there is an attempt to read, seek, or write to a stream that does not support the invoked functionality.                                                                              |
| Nullable                               | Supports a value type that can be assigned null . This class cannot be inherited.                                                                                                                                                                                   |
| Null Reference Exception               | The exception that is thrown when there is an attempt to dereference a null object reference.                                                                                                                                                                       |
| Object                                 | Supports all classes in the .NET class hierarchy and provides low-level services to derived classes. This is the ultimate base class of all .NET classes; it is the root of the type hierarchy.                                                                     |
| Object Disposed Exception              | The exception that is thrown when an operation is performed on a disposed object.                                                                                                                                                                                   |
| Obsolete Attribute                     | Marks the program elements that are no longer in use. This class cannot be inherited.                                                                                                                                                                               |
| Operating System                       | Represents information about an operating system, such as the version and platform identifier. This class cannot be inherited.                                                                                                                                      |
| Operation Canceled Exception           | The exception that is thrown in a thread upon cancellation of an operation that the thread was executing.                                                                                                                                                           |
| Out OfMemory Exception                 | The exception that is thrown when there is not enough memory to continue the execution of a program.                                                                                                                                                                |
| Overflow Exception                     | The exception that is thrown when an arithmetic, casting, or conversion operation in a checked context results in an overflow.                                                                                                                                      |
| Param Array Attribute                  | Indicates that a method will allow a variable number of arguments in its invocation. This class cannot be inherited.                                                                                                                                                |
| Platform Not Supported Exception       | The exception that is thrown when a feature does not run on a particular platform.                                                                                                                                                                                  |
| Progress<T>                            | Provides an IProgress<T> that invokes callbacks for each reported progress value.                                                                                                                                                                                   |
| Random                                 | Represents a pseudo-random number generator, which is an algorithm that produces a sequence of numbers that meet certain statistical requirements for randomness.                                                                                                   |
| Rank Exception                         | The exception that is thrown when an array with the wrong number of dimensions is passed to a method.                                                                                                                                                               |
| Resolve Event Args                     | Provides data for loader resolution events, such as the TypeResolve , ResourceResolve , ReflectionOnlyAssemblyResolve , and AssemblyResolve events.                                                                                                                 |
| Serializable Attribute                 | Indicates that a class can be serialized. This class cannot be inherited.                                                                                                                                                                                           |
| Stack Overflow Exception               | The exception that is thrown when the execution stack overflows because it contains too many nested method calls. This class cannot be inherited.                                                                                                                   |
| STAThread Attribute                    | Indicates that the COM threading model for an application is single-threaded apartment (STA).                                                                                                                                                                       |
| String                                 | Represents text as a sequence of UTF-16 code units.                                                                                                                                                                                                                 |
| String Comparer                        | Represents a string comparison operation that uses specific case and culture-based or ordinal comparison rules.                                                                                                                                                     |
| String Normalization Extensions        | Provides extension methods to work with string normalization.                                                                                                                                                                                                       |
| System Exception                       | Serves as the base class for system exceptions namespace.                                                                                                                                                                                                           |
| Thread Static Attribute                | Indicates that the value of a static field is unique for each thread.                                                                                                                                                                                               |
| Timeout Exception                      | The exception that is thrown when the time allotted for a process or operation has expired.                                                                                                                                                                         |
| Time Zone                              | Represents a time zone.                                                                                                                                                                                                                                             |
| Time Zone Info                         | Represents any time zone in the world.                                                                                                                                                                                                                              |
| Time Zone Info. Adjustment Rule        | Provides information about a time zone adjustment, such as the transition to and from daylight saving time.                                                                                                                                                         |
| Time Zone Not Found Exception          | The exception that is thrown when a time zone cannot be found.                                                                                                                                                                                                      |
| Tuple                                  | Provides static methods for creating tuple objects.                                                                                                                                                                                                                 |
| Tuple<T1>                              | Represents a 1-tuple, or singleton.                                                                                                                                                                                                                                 |
| Tuple<T1,T2>                           | Represents a 2-tuple, or pair.                                                                                                                                                                                                                                      |
| Tuple<T1,T2,T3>                        | Represents a 3-tuple, or triple.                                                                                                                                                                                                                                    |
| Tuple<T1,T2,T3,T4>                     | Represents a 4-tuple, or quadruple.                                                                                                                                                                                                                                 |
| Tuple<T1,T2,T3,T4,T5>                  | Represents a 5-tuple, or quintuple.                                                                                                                                                                                                                                 |
| Tuple<T1,T2,T3,T4,T5,T6>               | Represents a 6-tuple, or sextuple.                                                                                                                                                                                                                                  |
| Tuple<T1,T2,T3,T4,T5,T6,T7>            | Represents a 7-tuple, or septuple.                                                                                                                                                                                                                                  |
| Tuple<T1,T2,T3,T4,T5,T6,T7,TRest>      | Represents an n -tuple, where n is 8 or greater.                                                                                                                                                                                                                    |
| Tuple Extensions                       | Provides extension methods for tuples to interoperate with language support for tuples in C#.                                                                                                                                                                       |
| Type                                   | Represents type declarations: class types, interface types, array types, value types, enumeration types, type parameters, generic type definitions, and open or closed constructed generic types.                                                                   |
| Type Access Exception                  | The exception that is thrown when a method attempts to use a type that it does not have access to.                                                                                                                                                                  |
| Type Initialization Exception          | The exception that is thrown as a wrapper around the exception thrown by the class initializer. This class cannot be inherited.                                                                                                                                     |
| Type Load Exception                    | The exception that is thrown when type-loading failures occur.                                                                                                                                                                                                      |
| Type Unloaded Exception                | The exception that is thrown when there is an attempt to access an unloaded class.                                                                                                                                                                                  |
| Unauthorized Access Exception          | The exception that is thrown when the operating system denies access because of an I/O error or a specific type of security error.                                                                                                                                  |
| Unhandled Exception Event Args         | Provides data for the event that is raised when there is an exception that is not handled in any application domain.                                                                                                                                                |
| Uri                                    | Provides an object representation of a uniform resource identifier (URI) and easy access to the parts of the URI.                                                                                                                                                   |
| Uri Builder                            | Provides a custom constructor for uniform resource identifiers (URIs) and modifies URIs for the Uri class.                                                                                                                                                          |
| Uri Format Exception                   | The exception that is thrown when an invalid Uniform Resource Identifier (URI) is detected.                                                                                                                                                                         |
| Uri Parser                             | Parses a new URI scheme. This is an abstract class.                                                                                                                                                                                                                 |
| Uri Type Converter                     | Converts a String type to a Uri type, and vice versa.                                                                                                                                                                                                               |
| Value Type                             | Provides the base class for value types.                                                                                                                                                                                                                            |
| Version                                | Represents the version number of an assembly, operating system, or the common language runtime. This class cannot be inherited.                                                                                                                                     |
| Weak Reference                         | Represents a weak reference, which references an object while still allowing that object to be reclaimed by garbage collection.                                                                                                                                     |
| Weak Reference<T>                      | Represents a typed weak reference, which references an object while still allowing that object to be reclaimed by garbage collection.                                                                                                                               |
