| Instruction | OF | SF | ZF | AF | PF | CF | TF | IF | DF | NT | RF |
| WAIT        |    |    |    |    |    |    |    |    |    |    |    |
| WBINVD      |    |    |    |    |    |    |    |    |    |    |    |
| WRMSR       |    |    |    |    |    |    |    |    |    |    |    |
| XADD        | M  | M  | M  | M  | M  | M  |    |    |    |    |    |
| XCHG        |    |    |    |    |    |    |    |    |    |    |    |
| XLAT        |    |    |    |    |    |    |    |    |    |    |    |
| XOR         | 0  | M  | M  | _  | M  | 0  |    |    |    |    |    |

# Codes
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Code  | Meaning                                                                  |
| T     | Instruction tests flag.                                                  |
| M     | Instruction modifies flag (either sets or resets depending on operands). |
| 0     | Instruction resets flag.                                                 |
| 1     | Instruction sets flag.                                                   |
| _     | Instruction's effect on flag is undefined.                               |
| R     | Instruction restores prior value of flag.                                |
| Blank | Instruction does not affect flag.                                        |
