Mnemonic         | Expression                     | Instruction                              | Modes            | CpuId      | OpCodeId  
AESIMC           | 66 0F 38 DB /r                 | AESIMC xmm1, xmm2/m128                   | 16/32/64-bit     | AES        | Aesimc_xmm_xmmm128
AESKEYGENASSIST  | 66 0F 3A DF /r ib              | AESKEYGENASSIST xmm1, xmm2/m128, imm8    | 16/32/64-bit     | AES        | Aeskeygenassist_xmm_xmmm128_imm8
AND              | 20 /r                          | AND r/m8, r8                             | 16/32/64-bit     | 8086+      | And_rm8_r8
AND              | 21 /r                          | AND r/m16, r16                           | 16/32/64-bit     | 8086+      | And_rm16_r16
AND              | 21 /r                          | AND r/m32, r32                           | 16/32/64-bit     | 386+       | And_rm32_r32
AND              | REX.W 21 /r                    | AND r/m64, r64                           | 64-bit           | X64        | And_rm64_r64
AND              | 22 /r                          | AND r8, r/m8                             | 16/32/64-bit     | 8086+      | And_r8_rm8
AND              | 23 /r                          | AND r16, r/m16                           | 16/32/64-bit     | 8086+      | And_r16_rm16
AND              | 23 /r                          | AND r32, r/m32                           | 16/32/64-bit     | 386+       | And_r32_rm32
AND              | REX.W 23 /r                    | AND r64, r/m64                           | 64-bit           | X64        | And_r64_rm64
AND              | 24 ib                          | AND AL, imm8                             | 16/32/64-bit     | 8086+      | And_AL_imm8
AND              | 25 iw                          | AND AX, imm16                            | 16/32/64-bit     | 8086+      | And_AX_imm16
AND              | 25 id                          | AND EAX, imm32                           | 16/32/64-bit     | 386+       | And_EAX_imm32
AND              | REX.W 25 id                    | AND RAX, imm32                           | 64-bit           | X64        | And_RAX_imm32
AND              | 80 /4 ib                       | AND r/m8, imm8                           | 16/32/64-bit     | 8086+      | And_rm8_imm8
AND              | 81 /4 iw                       | AND r/m16, imm16                         | 16/32/64-bit     | 8086+      | And_rm16_imm16
AND              | 81 /4 id                       | AND r/m32, imm32                         | 16/32/64-bit     | 386+       | And_rm32_imm32
AND              | REX.W 81 /4 id                 | AND r/m64, imm32                         | 64-bit           | X64        | And_rm64_imm32
AND              | 82 /4 ib                       | AND r/m8, imm8                           | 16/32-bit        | 8086+      | And_rm8_imm8_82
AND              | 83 /4 ib                       | AND r/m16, imm8                          | 16/32/64-bit     | 8086+      | And_rm16_imm8
AND              | 83 /4 ib                       | AND r/m32, imm8                          | 16/32/64-bit     | 386+       | And_rm32_imm8
AND              | REX.W 83 /4 ib                 | AND r/m64, imm8                          | 64-bit           | X64        | And_rm64_imm8
ANDN             | VEX.LZ.0F38.W0 F2 /r           | ANDN r32a, r32b, r/m32                   | 16/32/64-bit     | BMI1       | VEX_Andn_r32_r32_rm32
ANDN             | VEX.LZ.0F38.W1 F2 /r           | ANDN r64a, r64b, r/m64                   | 64-bit           | BMI1       | VEX_Andn_r64_r64_rm64
ANDNPD           | 66 0F 55 /r                    | ANDNPD xmm1, xmm2/m128                   | 16/32/64-bit     | SSE2       | Andnpd_xmm_xmmm128
ANDNPS           | NP 0F 55 /r                    | ANDNPS xmm1, xmm2/m128                   | 16/32/64-bit     | SSE        | Andnps_xmm_xmmm128
ANDPD            | 66 0F 54 /r                    | ANDPD xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Andpd_xmm_xmmm128
ANDPS            | NP 0F 54 /r                    | ANDPS xmm1, xmm2/m128                    | 16/32/64-bit     | SSE        | Andps_xmm_xmmm128
ARPL             | 63 /r                          | ARPL r/m16, r16                          | 16/32-bit        | 286+       | Arpl_rm16_r16
ARPL             | 63 /r                          | ARPL r32/m16, r32                        | 16/32-bit        | 386+       | Arpl_r32m16_r32
BEXTR            | VEX.LZ.0F38.W0 F7 /r           | BEXTR r32a, r/m32, r32b                  | 16/32/64-bit     | BMI1       | VEX_Bextr_r32_rm32_r32
BEXTR            | VEX.LZ.0F38.W1 F7 /r           | BEXTR r64a, r/m64, r64b                  | 64-bit           | BMI1       | VEX_Bextr_r64_rm64_r64
BEXTR            | XOP.L0.XA.W0 10 /r id          | BEXTR r32, r/m32, imm32                  | 16/32/64-bit     | TBM        | XOP_Bextr_r32_rm32_imm32
BEXTR            | XOP.L0.XA.W1 10 /r id          | BEXTR r64, r/m64, imm32                  | 64-bit           | TBM        | XOP_Bextr_r64_rm64_imm32
BLCFILL          | XOP.L0.X9.W0 01 /1             | BLCFILL r32, r/m32                       | 16/32/64-bit     | TBM        | XOP_Blcfill_r32_rm32
BLCFILL          | XOP.L0.X9.W1 01 /1             | BLCFILL r64, r/m64                       | 64-bit           | TBM        | XOP_Blcfill_r64_rm64
BLCI             | XOP.L0.X9.W0 02 /6             | BLCI r32, r/m32                          | 16/32/64-bit     | TBM        | XOP_Blci_r32_rm32
BLCI             | XOP.L0.X9.W1 02 /6             | BLCI r64, r/m64                          | 64-bit           | TBM        | XOP_Blci_r64_rm64
BLCIC            | XOP.L0.X9.W0 01 /5             | BLCIC r32, r/m32                         | 16/32/64-bit     | TBM        | XOP_Blcic_r32_rm32
BLCIC            | XOP.L0.X9.W1 01 /5             | BLCIC r64, r/m64                         | 64-bit           | TBM        | XOP_Blcic_r64_rm64
BLCMSK           | XOP.L0.X9.W0 02 /1             | BLCMSK r32, r/m32                        | 16/32/64-bit     | TBM        | XOP_Blcmsk_r32_rm32
BLCMSK           | XOP.L0.X9.W1 02 /1             | BLCMSK r64, r/m64                        | 64-bit           | TBM        | XOP_Blcmsk_r64_rm64
BLCS             | XOP.L0.X9.W0 01 /3             | BLCS r32, r/m32                          | 16/32/64-bit     | TBM        | XOP_Blcs_r32_rm32
BLCS             | XOP.L0.X9.W1 01 /3             | BLCS r64, r/m64                          | 64-bit           | TBM        | XOP_Blcs_r64_rm64
BLENDPD          | 66 0F 3A 0D /r ib              | BLENDPD xmm1, xmm2/m128, imm8            | 16/32/64-bit     | SSE4.1     | Blendpd_xmm_xmmm128_imm8
BLENDPS          | 66 0F 3A 0C /r ib              | BLENDPS xmm1, xmm2/m128, imm8            | 16/32/64-bit     | SSE4.1     | Blendps_xmm_xmmm128_imm8
BLENDVPD         | 66 0F 38 15 /r                 | BLENDVPD xmm1, xmm2/m128, <XMM0>         | 16/32/64-bit     | SSE4.1     | Blendvpd_xmm_xmmm128
BLENDVPS         | 66 0F 38 14 /r                 | BLENDVPS xmm1, xmm2/m128, <XMM0>         | 16/32/64-bit     | SSE4.1     | Blendvps_xmm_xmmm128
BLSFILL          | XOP.L0.X9.W0 01 /2             | BLSFILL r32, r/m32                       | 16/32/64-bit     | TBM        | XOP_Blsfill_r32_rm32
BLSFILL          | XOP.L0.X9.W1 01 /2             | BLSFILL r64, r/m64                       | 64-bit           | TBM        | XOP_Blsfill_r64_rm64
BLSI             | VEX.LZ.0F38.W0 F3 /3           | BLSI r32, r/m32                          | 16/32/64-bit     | BMI1       | VEX_Blsi_r32_rm32
BLSI             | VEX.LZ.0F38.W1 F3 /3           | BLSI r64, r/m64                          | 64-bit           | BMI1       | VEX_Blsi_r64_rm64
BLSIC            | XOP.L0.X9.W0 01 /6             | BLSIC r32, r/m32                         | 16/32/64-bit     | TBM        | XOP_Blsic_r32_rm32
BLSIC            | XOP.L0.X9.W1 01 /6             | BLSIC r64, r/m64                         | 64-bit           | TBM        | XOP_Blsic_r64_rm64
BLSMSK           | VEX.LZ.0F38.W0 F3 /2           | BLSMSK r32, r/m32                        | 16/32/64-bit     | BMI1       | VEX_Blsmsk_r32_rm32
BLSMSK           | VEX.LZ.0F38.W1 F3 /2           | BLSMSK r64, r/m64                        | 64-bit           | BMI1       | VEX_Blsmsk_r64_rm64
BLSR             | VEX.LZ.0F38.W0 F3 /1           | BLSR r32, r/m32                          | 16/32/64-bit     | BMI1       | VEX_Blsr_r32_rm32
BLSR             | VEX.LZ.0F38.W1 F3 /1           | BLSR r64, r/m64                          | 64-bit           | BMI1       | VEX_Blsr_r64_rm64
BNDCL            | F3 0F 1A /r                    | BNDCL bnd, r/m32                         | 16/32-bit        | MPX        | Bndcl_bnd_rm32
BNDCL            | F3 0F 1A /r                    | BNDCL bnd, r/m64                         | 64-bit           | MPX        | Bndcl_bnd_rm64
BNDCN            | F2 0F 1B /r                    | BNDCN bnd, r/m32                         | 16/32-bit        | MPX        | Bndcn_bnd_rm32
BNDCN            | F2 0F 1B /r                    | BNDCN bnd, r/m64                         | 64-bit           | MPX        | Bndcn_bnd_rm64
BNDCU            | F2 0F 1A /r                    | BNDCU bnd, r/m32                         | 16/32-bit        | MPX        | Bndcu_bnd_rm32
BNDCU            | F2 0F 1A /r                    | BNDCU bnd, r/m64                         | 64-bit           | MPX        | Bndcu_bnd_rm64
BNDLDX           | NP 0F 1A /r                    | BNDLDX bnd, mib                          | 16/32/64-bit     | MPX        | Bndldx_bnd_mib
BNDMK            | F3 0F 1B /r                    | BNDMK bnd, m32                           | 16/32-bit        | MPX        | Bndmk_bnd_m32
BNDMK            | F3 0F 1B /r                    | BNDMK bnd, m64                           | 64-bit           | MPX        | Bndmk_bnd_m64
BNDMOV           | 66 0F 1A /r                    | BNDMOV bnd1, bnd2/m64                    | 16/32-bit        | MPX        | Bndmov_bnd_bndm64
BNDMOV           | 66 0F 1A /r                    | BNDMOV bnd1, bnd2/m128                   | 64-bit           | MPX        | Bndmov_bnd_bndm128
BNDMOV           | 66 0F 1B /r                    | BNDMOV bnd1/m64, bnd2                    | 16/32-bit        | MPX        | Bndmov_bndm64_bnd
BNDMOV           | 66 0F 1B /r                    | BNDMOV bnd1/m128, bnd2                   | 64-bit           | MPX        | Bndmov_bndm128_bnd
BNDSTX           | NP 0F 1B /r                    | BNDSTX mib, bnd                          | 16/32/64-bit     | MPX        | Bndstx_mib_bnd
BOUND            | 62 /r                          | BOUND r16, m16&16                        | 16/32-bit        | 186+       | Bound_r16_m1616
BOUND            | 62 /r                          | BOUND r32, m32&32                        | 16/32-bit        | 386+       | Bound_r32_m3232
BSF              | 0F BC /r                       | BSF r16, r/m16                           | 16/32/64-bit     | 386+       | Bsf_r16_rm16
BSF              | 0F BC /r                       | BSF r32, r/m32                           | 16/32/64-bit     | 386+       | Bsf_r32_rm32
BSF              | REX.W 0F BC /r                 | BSF r64, r/m64                           | 64-bit           | X64        | Bsf_r64_rm64
BSR              | 0F BD /r                       | BSR r16, r/m16                           | 16/32/64-bit     | 386+       | Bsr_r16_rm16
BSR              | 0F BD /r                       | BSR r32, r/m32                           | 16/32/64-bit     | 386+       | Bsr_r32_rm32
BSR              | REX.W 0F BD /r                 | BSR r64, r/m64                           | 64-bit           | X64        | Bsr_r64_rm64
BSWAP            | 0F C8+rw                       | BSWAP r16                                | 16/32/64-bit     | 486+       | Bswap_r16 
BSWAP            | 0F C8+rd                       | BSWAP r32                                | 16/32/64-bit     | 486+       | Bswap_r32 
BSWAP            | REX.W 0F C8+ro                 | BSWAP r64                                | 64-bit           | X64        | Bswap_r64 
BT               | 0F A3 /r                       | BT r/m16, r16                            | 16/32/64-bit     | 386+       | Bt_rm16_r16
BT               | 0F A3 /r                       | BT r/m32, r32                            | 16/32/64-bit     | 386+       | Bt_rm32_r32
BT               | REX.W 0F A3 /r                 | BT r/m64, r64                            | 64-bit           | X64        | Bt_rm64_r64
BT               | 0F BA /4 ib                    | BT r/m16, imm8                           | 16/32/64-bit     | 386+       | Bt_rm16_imm8
BT               | 0F BA /4 ib                    | BT r/m32, imm8                           | 16/32/64-bit     | 386+       | Bt_rm32_imm8
BT               | REX.W 0F BA /4 ib              | BT r/m64, imm8                           | 64-bit           | X64        | Bt_rm64_imm8
BTC              | 0F BA /7 ib                    | BTC r/m16, imm8                          | 16/32/64-bit     | 386+       | Btc_rm16_imm8
BTC              | 0F BA /7 ib                    | BTC r/m32, imm8                          | 16/32/64-bit     | 386+       | Btc_rm32_imm8
BTC              | REX.W 0F BA /7 ib              | BTC r/m64, imm8                          | 64-bit           | X64        | Btc_rm64_imm8
BTC              | 0F BB /r                       | BTC r/m16, r16                           | 16/32/64-bit     | 386+       | Btc_rm16_r16
BTC              | 0F BB /r                       | BTC r/m32, r32                           | 16/32/64-bit     | 386+       | Btc_rm32_r32
BTC              | REX.W 0F BB /r                 | BTC r/m64, r64                           | 64-bit           | X64        | Btc_rm64_r64
BTR              | 0F B3 /r                       | BTR r/m16, r16                           | 16/32/64-bit     | 386+       | Btr_rm16_r16
BTR              | 0F B3 /r                       | BTR r/m32, r32                           | 16/32/64-bit     | 386+       | Btr_rm32_r32
BTR              | REX.W 0F B3 /r                 | BTR r/m64, r64                           | 64-bit           | X64        | Btr_rm64_r64
BTR              | 0F BA /6 ib                    | BTR r/m16, imm8                          | 16/32/64-bit     | 386+       | Btr_rm16_imm8
BTR              | 0F BA /6 ib                    | BTR r/m32, imm8                          | 16/32/64-bit     | 386+       | Btr_rm32_imm8
BTR              | REX.W 0F BA /6 ib              | BTR r/m64, imm8                          | 64-bit           | X64        | Btr_rm64_imm8
BTS              | 0F AB /r                       | BTS r/m16, r16                           | 16/32/64-bit     | 386+       | Bts_rm16_r16
BTS              | 0F AB /r                       | BTS r/m32, r32                           | 16/32/64-bit     | 386+       | Bts_rm32_r32
BTS              | REX.W 0F AB /r                 | BTS r/m64, r64                           | 64-bit           | X64        | Bts_rm64_r64
BTS              | 0F BA /5 ib                    | BTS r/m16, imm8                          | 16/32/64-bit     | 386+       | Bts_rm16_imm8
BTS              | 0F BA /5 ib                    | BTS r/m32, imm8                          | 16/32/64-bit     | 386+       | Bts_rm32_imm8
BTS              | REX.W 0F BA /5 ib              | BTS r/m64, imm8                          | 64-bit           | X64        | Bts_rm64_imm8
BZHI             | VEX.LZ.0F38.W0 F5 /r           | BZHI r32a, r/m32, r32b                   | 16/32/64-bit     | BMI2       | VEX_Bzhi_r32_rm32_r32
BZHI             | VEX.LZ.0F38.W1 F5 /r           | BZHI r64a, r/m64, r64b                   | 64-bit           | BMI2       | VEX_Bzhi_r64_rm64_r64
CALL             | 9A cd                          | CALL ptr16:16                            | 16/32-bit        | 8086+      | Call_ptr1616
CALL             | 9A cp                          | CALL ptr16:32                            | 16/32-bit        | 386+       | Call_ptr1632
CALL             | E8 cw                          | CALL rel16                               | 16/32/64-bit     | 8086+      | Call_rel16
CALL             | E8 cd                          | CALL rel32                               | 16/32-bit        | 386+       | Call_rel32_32
CALL             | E8 cd                          | CALL rel32                               | 64-bit           | X64        | Call_rel32_64
CALL             | FF /2                          | CALL r/m16                               | 16/32/64-bit     | 8086+      | Call_rm16 
CALL             | FF /2                          | CALL r/m32                               | 16/32-bit        | 386+       | Call_rm32 
CALL             | FF /2                          | CALL r/m64                               | 64-bit           | X64        | Call_rm64 
CALL             | FF /3                          | CALL m16:16                              | 16/32/64-bit     | 8086+      | Call_m1616
CALL             | FF /3                          | CALL m16:32                              | 16/32/64-bit     | 386+       | Call_m1632
CALL             | REX.W FF /3                    | CALL m16:64                              | 64-bit           | X64        | Call_m1664
CBW              | 98                             | CBW                                      | 16/32/64-bit     | 8086+      | Cbw       
CDQ              | 99                             | CDQ                                      | 16/32/64-bit     | 386+       | Cdq       
CDQE             | REX.W 98                       | CDQE                                     | 64-bit           | X64        | Cdqe      
CL1INVMB         | 0F 0A                          | CL1INVMB                                 | 16/32/64-bit     | CL1INVMB   | Cl1invmb  
CLAC             | NP 0F 01 CA                    | CLAC                                     | 16/32/64-bit     | SMAP       | Clac      
CLC              | F8                             | CLC                                      | 16/32/64-bit     | 8086+      | Clc       
CLD              | FC                             | CLD                                      | 16/32/64-bit     | 8086+      | Cld       
CLDEMOTE         | NP 0F 1C /0                    | CLDEMOTE m8                              | 16/32/64-bit     | CLDEMOTE   | Cldemote_m8
CLFLUSH          | NP 0F AE /7                    | CLFLUSH m8                               | 16/32/64-bit     | CLFSH      | Clflush_m8
CLFLUSHOPT       | 66 0F AE /7                    | CLFLUSHOPT m8                            | 16/32/64-bit     | CLFLUSHOPT | Clflushopt_m8
CLGI             | 0F 01 DD                       | CLGI                                     | 16/32/64-bit     | SVM        | Clgi      
CLI              | FA                             | CLI                                      | 16/32/64-bit     | 8086+      | Cli       
CLRSSBSY         | F3 0F AE /6                    | CLRSSBSY m64                             | 16/32/64-bit     | CET_SS     | Clrssbsy_m64
CLTS             | 0F 06                          | CLTS                                     | 16/32/64-bit     | 286+       | Clts      
CLWB             | 66 0F AE /6                    | CLWB m8                                  | 16/32/64-bit     | CLWB       | Clwb_m8   
CLZERO           | a16 0F 01 FC                   | CLZERO                                   | 16/32-bit        | CLZERO     | Clzerow   
CLZERO           | a32 0F 01 FC                   | CLZERO                                   | 16/32/64-bit     | CLZERO     | Clzerod   
CLZERO           | 0F 01 FC                       | CLZERO                                   | 64-bit           | CLZERO     | Clzeroq   
CMC              | F5                             | CMC                                      | 16/32/64-bit     | 8086+      | Cmc       
CMOVA            | 0F 47 /r                       | CMOVA r16, r/m16                         | 16/32/64-bit     | CMOV       | Cmova_r16_rm16
CMOVA            | 0F 47 /r                       | CMOVA r32, r/m32                         | 16/32/64-bit     | CMOV       | Cmova_r32_rm32
CMOVA            | REX.W 0F 47 /r                 | CMOVA r64, r/m64                         | 64-bit           | CMOV       | Cmova_r64_rm64
CMOVAE           | 0F 43 /r                       | CMOVAE r16, r/m16                        | 16/32/64-bit     | CMOV       | Cmovae_r16_rm16
CMOVAE           | 0F 43 /r                       | CMOVAE r32, r/m32                        | 16/32/64-bit     | CMOV       | Cmovae_r32_rm32
CMOVAE           | REX.W 0F 43 /r                 | CMOVAE r64, r/m64                        | 64-bit           | CMOV       | Cmovae_r64_rm64
CMOVB            | 0F 42 /r                       | CMOVB r16, r/m16                         | 16/32/64-bit     | CMOV       | Cmovb_r16_rm16
CMOVB            | 0F 42 /r                       | CMOVB r32, r/m32                         | 16/32/64-bit     | CMOV       | Cmovb_r32_rm32
CMOVB            | REX.W 0F 42 /r                 | CMOVB r64, r/m64                         | 64-bit           | CMOV       | Cmovb_r64_rm64
CMOVBE           | 0F 46 /r                       | CMOVBE r16, r/m16                        | 16/32/64-bit     | CMOV       | Cmovbe_r16_rm16
CMOVBE           | 0F 46 /r                       | CMOVBE r32, r/m32                        | 16/32/64-bit     | CMOV       | Cmovbe_r32_rm32
CMOVBE           | REX.W 0F 46 /r                 | CMOVBE r64, r/m64                        | 64-bit           | CMOV       | Cmovbe_r64_rm64
CMOVE            | 0F 44 /r                       | CMOVE r16, r/m16                         | 16/32/64-bit     | CMOV       | Cmove_r16_rm16
CMOVE            | 0F 44 /r                       | CMOVE r32, r/m32                         | 16/32/64-bit     | CMOV       | Cmove_r32_rm32
CMOVE            | REX.W 0F 44 /r                 | CMOVE r64, r/m64                         | 64-bit           | CMOV       | Cmove_r64_rm64
CMOVG            | 0F 4F /r                       | CMOVG r16, r/m16                         | 16/32/64-bit     | CMOV       | Cmovg_r16_rm16
CMOVG            | 0F 4F /r                       | CMOVG r32, r/m32                         | 16/32/64-bit     | CMOV       | Cmovg_r32_rm32
CMOVG            | REX.W 0F 4F /r                 | CMOVG r64, r/m64                         | 64-bit           | CMOV       | Cmovg_r64_rm64
CMOVGE           | 0F 4D /r                       | CMOVGE r16, r/m16                        | 16/32/64-bit     | CMOV       | Cmovge_r16_rm16
CMOVGE           | 0F 4D /r                       | CMOVGE r32, r/m32                        | 16/32/64-bit     | CMOV       | Cmovge_r32_rm32
CMOVGE           | REX.W 0F 4D /r                 | CMOVGE r64, r/m64                        | 64-bit           | CMOV       | Cmovge_r64_rm64
CMOVL            | 0F 4C /r                       | CMOVL r16, r/m16                         | 16/32/64-bit     | CMOV       | Cmovl_r16_rm16
CMOVL            | 0F 4C /r                       | CMOVL r32, r/m32                         | 16/32/64-bit     | CMOV       | Cmovl_r32_rm32
CMOVL            | REX.W 0F 4C /r                 | CMOVL r64, r/m64                         | 64-bit           | CMOV       | Cmovl_r64_rm64
CMOVLE           | 0F 4E /r                       | CMOVLE r16, r/m16                        | 16/32/64-bit     | CMOV       | Cmovle_r16_rm16
CMOVLE           | 0F 4E /r                       | CMOVLE r32, r/m32                        | 16/32/64-bit     | CMOV       | Cmovle_r32_rm32
CMOVLE           | REX.W 0F 4E /r                 | CMOVLE r64, r/m64                        | 64-bit           | CMOV       | Cmovle_r64_rm64
CMOVNE           | 0F 45 /r                       | CMOVNE r16, r/m16                        | 16/32/64-bit     | CMOV       | Cmovne_r16_rm16
CMOVNE           | 0F 45 /r                       | CMOVNE r32, r/m32                        | 16/32/64-bit     | CMOV       | Cmovne_r32_rm32
CMOVNE           | REX.W 0F 45 /r                 | CMOVNE r64, r/m64                        | 64-bit           | CMOV       | Cmovne_r64_rm64
CMOVNO           | 0F 41 /r                       | CMOVNO r16, r/m16                        | 16/32/64-bit     | CMOV       | Cmovno_r16_rm16
