| Id                                                | CodeBytes       | Prefix  | Table   | Group   | Op1                 | Op2                 | Op3                 | Op4                 | OpSize    | AddressSize   | Flags
| Or_r32_rm32                                       | 0b 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Or_r64_rm64                                       | 0b 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Or_AL_imm8                                        | 0c 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| Or_AX_imm16                                       | 0d 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Or_EAX_imm32                                      | 0d 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Or_RAX_imm32                                      | 0d 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64
| Pushw_CS                                          | 0e 00 00 00     |         | Normal  |         | cs                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| Pushd_CS                                          | 0e 00 00 00     |         | Normal  |         | cs                  |                     |                     |                     | Size32    |               | Mode16, Mode32
| Popw_CS                                           | 0f 00 00 00     |         | Normal  |         | cs                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| Adc_rm8_r8                                        | 10 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Adc_rm16_r16                                      | 11 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Adc_rm32_r32                                      | 11 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Adc_rm64_r64                                      | 11 00 00 00     |         | Normal  |         | r64_or_mem          | r64_reg             |                     |                     | Size64    |               | Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Adc_r8_rm8                                        | 12 00 00 00     |         | Normal  |         | r8_reg              | r8_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Adc_r16_rm16                                      | 13 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Adc_r32_rm32                                      | 13 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Adc_r64_rm64                                      | 13 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Adc_AL_imm8                                       | 14 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| Adc_AX_imm16                                      | 15 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Adc_EAX_imm32                                     | 15 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Adc_RAX_imm32                                     | 15 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64
| Pushw_SS                                          | 16 00 00 00     |         | Normal  |         | ss                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| Pushd_SS                                          | 16 00 00 00     |         | Normal  |         | ss                  |                     |                     |                     | Size32    |               | Mode16, Mode32
| Popw_SS                                           | 17 00 00 00     |         | Normal  |         | ss                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| Popd_SS                                           | 17 00 00 00     |         | Normal  |         | ss                  |                     |                     |                     | Size32    |               | Mode16, Mode32
| Sbb_rm8_r8                                        | 18 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sbb_rm16_r16                                      | 19 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sbb_rm32_r32                                      | 19 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sbb_rm64_r64                                      | 19 00 00 00     |         | Normal  |         | r64_or_mem          | r64_reg             |                     |                     | Size64    |               | Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sbb_r8_rm8                                        | 1a 00 00 00     |         | Normal  |         | r8_reg              | r8_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Sbb_r16_rm16                                      | 1b 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Sbb_r32_rm32                                      | 1b 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Sbb_r64_rm64                                      | 1b 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Sbb_AL_imm8                                       | 1c 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| Sbb_AX_imm16                                      | 1d 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Sbb_EAX_imm32                                     | 1d 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Sbb_RAX_imm32                                     | 1d 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64
| Pushw_DS                                          | 1e 00 00 00     |         | Normal  |         | ds                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| Pushd_DS                                          | 1e 00 00 00     |         | Normal  |         | ds                  |                     |                     |                     | Size32    |               | Mode16, Mode32
| Popw_DS                                           | 1f 00 00 00     |         | Normal  |         | ds                  |                     |                     |                     | Size16    |               | Mode16, Mode32
| Popd_DS                                           | 1f 00 00 00     |         | Normal  |         | ds                  |                     |                     |                     | Size32    |               | Mode16, Mode32
| And_rm8_r8                                        | 20 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| And_rm16_r16                                      | 21 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| And_rm32_r32                                      | 21 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| And_rm64_r64                                      | 21 00 00 00     |         | Normal  |         | r64_or_mem          | r64_reg             |                     |                     | Size64    |               | Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| And_r8_rm8                                        | 22 00 00 00     |         | Normal  |         | r8_reg              | r8_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| And_r16_rm16                                      | 23 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| And_r32_rm32                                      | 23 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| And_r64_rm64                                      | 23 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| And_AL_imm8                                       | 24 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| And_AX_imm16                                      | 25 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| And_EAX_imm32                                     | 25 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| And_RAX_imm32                                     | 25 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64
| Daa                                               | 27 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32
| Sub_rm8_r8                                        | 28 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sub_rm16_r16                                      | 29 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sub_rm32_r32                                      | 29 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sub_rm64_r64                                      | 29 00 00 00     |         | Normal  |         | r64_or_mem          | r64_reg             |                     |                     | Size64    |               | Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Sub_r8_rm8                                        | 2a 00 00 00     |         | Normal  |         | r8_reg              | r8_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Sub_r16_rm16                                      | 2b 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Sub_r32_rm32                                      | 2b 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Sub_r64_rm64                                      | 2b 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Sub_AL_imm8                                       | 2c 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| Sub_AX_imm16                                      | 2d 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Sub_EAX_imm32                                     | 2d 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Sub_RAX_imm32                                     | 2d 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64
| Das                                               | 2f 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32
| Xor_rm8_r8                                        | 30 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Xor_rm16_r16                                      | 31 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Xor_rm32_r32                                      | 31 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32, Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Xor_rm64_r64                                      | 31 00 00 00     |         | Normal  |         | r64_or_mem          | r64_reg             |                     |                     | Size64    |               | Mode64, LockPrefix, XacquirePrefix, XreleasePrefix
| Xor_r8_rm8                                        | 32 00 00 00     |         | Normal  |         | r8_reg              | r8_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Xor_r16_rm16                                      | 33 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Xor_r32_rm32                                      | 33 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Xor_r64_rm64                                      | 33 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Xor_AL_imm8                                       | 34 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| Xor_AX_imm16                                      | 35 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Xor_EAX_imm32                                     | 35 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Xor_RAX_imm32                                     | 35 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64
| Aaa                                               | 37 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32
| Cmp_rm8_r8                                        | 38 00 00 00     |         | Normal  |         | r8_or_mem           | r8_reg              |                     |                     |           |               | Mode16, Mode32, Mode64
| Cmp_rm16_r16                                      | 39 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmp_rm32_r32                                      | 39 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmp_rm64_r64                                      | 39 00 00 00     |         | Normal  |         | r64_or_mem          | r64_reg             |                     |                     | Size64    |               | Mode64
| Cmp_r8_rm8                                        | 3a 00 00 00     |         | Normal  |         | r8_reg              | r8_or_mem           |                     |                     |           |               | Mode16, Mode32, Mode64
| Cmp_r16_rm16                                      | 3b 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmp_r32_rm32                                      | 3b 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmp_r64_rm64                                      | 3b 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmp_AL_imm8                                       | 3c 00 00 00     |         | Normal  |         | al                  | imm8                |                     |                     |           |               | Mode16, Mode32, Mode64
| Cmp_AX_imm16                                      | 3d 00 00 00     |         | Normal  |         | ax                  | imm16               |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmp_EAX_imm32                                     | 3d 00 00 00     |         | Normal  |         | eax                 | imm32               |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmp_RAX_imm32                                     | 3d 00 00 00     |         | Normal  |         | rax                 | imm32sex64          |                     |                     | Size64    |               | Mode64
| Aas                                               | 3f 00 00 00     |         | Normal  |         |                     |                     |                     |                     |           |               | Mode16, Mode32
| Inc_r16                                           | 40 00 00 00     |         | Normal  |         | r16_opcode          |                     |                     |                     | Size16    |               | Mode16, Mode32
| Inc_r32                                           | 40 00 00 00     |         | Normal  |         | r32_opcode          |                     |                     |                     | Size32    |               | Mode16, Mode32
| Dec_r16                                           | 48 00 00 00     |         | Normal  |         | r16_opcode          |                     |                     |                     | Size16    |               | Mode16, Mode32
| Dec_r32                                           | 48 00 00 00     |         | Normal  |         | r32_opcode          |                     |                     |                     | Size32    |               | Mode16, Mode32
| Push_r16                                          | 50 00 00 00     |         | Normal  |         | r16_opcode          |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Push_r32                                          | 50 00 00 00     |         | Normal  |         | r32_opcode          |                     |                     |                     | Size32    |               | Mode16, Mode32
| Push_r64                                          | 50 00 00 00     |         | Normal  |         | r64_opcode          |                     |                     |                     |           |               | Mode64
| Pop_r16                                           | 58 00 00 00     |         | Normal  |         | r16_opcode          |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Pop_r32                                           | 58 00 00 00     |         | Normal  |         | r32_opcode          |                     |                     |                     | Size32    |               | Mode16, Mode32
| Pop_r64                                           | 58 00 00 00     |         | Normal  |         | r64_opcode          |                     |                     |                     |           |               | Mode64
| Pushaw                                            | 60 00 00 00     |         | Normal  |         |                     |                     |                     |                     | Size16    |               | Mode16, Mode32
| Pushad                                            | 60 00 00 00     |         | Normal  |         |                     |                     |                     |                     | Size32    |               | Mode16, Mode32
| Popaw                                             | 61 00 00 00     |         | Normal  |         |                     |                     |                     |                     | Size16    |               | Mode16, Mode32
| Popad                                             | 61 00 00 00     |         | Normal  |         |                     |                     |                     |                     | Size32    |               | Mode16, Mode32
| Bound_r16_m1616                                   | 62 00 00 00     |         | Normal  |         | r16_reg             | mem                 |                     |                     | Size16    |               | Mode16, Mode32
| Bound_r32_m3232                                   | 62 00 00 00     |         | Normal  |         | r32_reg             | mem                 |                     |                     | Size32    |               | Mode16, Mode32
| Arpl_rm16_r16                                     | 63 00 00 00     |         | Normal  |         | r16_or_mem          | r16_reg             |                     |                     | Size16    |               | Mode16, Mode32
| Arpl_r32m16_r32                                   | 63 00 00 00     |         | Normal  |         | r32_or_mem          | r32_reg             |                     |                     | Size32    |               | Mode16, Mode32
| Movsxd_r16_rm16                                   | 63 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode64
| Movsxd_r32_rm32                                   | 63 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode64
| Movsxd_r64_rm32                                   | 63 00 00 00     |         | Normal  |         | r64_reg             | r32_or_mem          |                     |                     | Size64    |               | Mode64
| Push_imm16                                        | 68 00 00 00     |         | Normal  |         | imm16               |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Pushd_imm32                                       | 68 00 00 00     |         | Normal  |         | imm32               |                     |                     |                     | Size32    |               | Mode16, Mode32
| Pushq_imm32                                       | 68 00 00 00     |         | Normal  |         | imm32sex64          |                     |                     |                     |           |               | Mode64
| Imul_r16_rm16_imm16                               | 69 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          | imm16               |                     | Size16    |               | Mode16, Mode32, Mode64
| Imul_r32_rm32_imm32                               | 69 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          | imm32               |                     | Size32    |               | Mode16, Mode32, Mode64
| Imul_r64_rm64_imm32                               | 69 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          | imm32sex64          |                     | Size64    |               | Mode64
| Pushw_imm8                                        | 6a 00 00 00     |         | Normal  |         | imm8sex16           |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Pushd_imm8                                        | 6a 00 00 00     |         | Normal  |         | imm8sex32           |                     |                     |                     | Size32    |               | Mode16, Mode32
| Pushq_imm8                                        | 6a 00 00 00     |         | Normal  |         | imm8sex64           |                     |                     |                     |           |               | Mode64
| Imul_r16_rm16_imm8                                | 6b 00 00 00     |         | Normal  |         | r16_reg             | r16_or_mem          | imm8sex16           |                     | Size16    |               | Mode16, Mode32, Mode64
| Imul_r32_rm32_imm8                                | 6b 00 00 00     |         | Normal  |         | r32_reg             | r32_or_mem          | imm8sex32           |                     | Size32    |               | Mode16, Mode32, Mode64
| Imul_r64_rm64_imm8                                | 6b 00 00 00     |         | Normal  |         | r64_reg             | r64_or_mem          | imm8sex64           |                     | Size64    |               | Mode64
| Insb_m8_DX                                        | 6c 00 00 00     |         | Normal  |         | es_rDI              | dx                  |                     |                     |           |               | Mode16, Mode32, Mode64, RepPrefix
| Insw_m16_DX                                       | 6d 00 00 00     |         | Normal  |         | es_rDI              | dx                  |                     |                     | Size16    |               | Mode16, Mode32, Mode64, RepPrefix
| Insd_m32_DX                                       | 6d 00 00 00     |         | Normal  |         | es_rDI              | dx                  |                     |                     | Size32    |               | Mode16, Mode32, Mode64, RepPrefix
| Outsb_DX_m8                                       | 6e 00 00 00     |         | Normal  |         | dx                  | seg_rSI             |                     |                     |           |               | Mode16, Mode32, Mode64, RepPrefix
| Outsw_DX_m16                                      | 6f 00 00 00     |         | Normal  |         | dx                  | seg_rSI             |                     |                     | Size16    |               | Mode16, Mode32, Mode64, RepPrefix
| Outsd_DX_m32                                      | 6f 00 00 00     |         | Normal  |         | dx                  | seg_rSI             |                     |                     | Size32    |               | Mode16, Mode32, Mode64, RepPrefix
| Jo_rel8_16                                        | 70 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
| Jo_rel8_32                                        | 70 00 00 00     |         | Normal  |         | br32_1              |                     |                     |                     | Size32    |               | Mode16, Mode32, BndPrefix, HintTakenPrefix
| Jo_rel8_64                                        | 70 00 00 00     |         | Normal  |         | br64_1              |                     |                     |                     |           |               | Mode64, BndPrefix, HintTakenPrefix
| Jno_rel8_16                                       | 71 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
| Jno_rel8_32                                       | 71 00 00 00     |         | Normal  |         | br32_1              |                     |                     |                     | Size32    |               | Mode16, Mode32, BndPrefix, HintTakenPrefix
| Jno_rel8_64                                       | 71 00 00 00     |         | Normal  |         | br64_1              |                     |                     |                     |           |               | Mode64, BndPrefix, HintTakenPrefix
| Jb_rel8_16                                        | 72 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
| Jb_rel8_32                                        | 72 00 00 00     |         | Normal  |         | br32_1              |                     |                     |                     | Size32    |               | Mode16, Mode32, BndPrefix, HintTakenPrefix
| Jb_rel8_64                                        | 72 00 00 00     |         | Normal  |         | br64_1              |                     |                     |                     |           |               | Mode64, BndPrefix, HintTakenPrefix
| Jae_rel8_16                                       | 73 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
| Jae_rel8_32                                       | 73 00 00 00     |         | Normal  |         | br32_1              |                     |                     |                     | Size32    |               | Mode16, Mode32, BndPrefix, HintTakenPrefix
| Jae_rel8_64                                       | 73 00 00 00     |         | Normal  |         | br64_1              |                     |                     |                     |           |               | Mode64, BndPrefix, HintTakenPrefix
| Je_rel8_16                                        | 74 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
| Je_rel8_32                                        | 74 00 00 00     |         | Normal  |         | br32_1              |                     |                     |                     | Size32    |               | Mode16, Mode32, BndPrefix, HintTakenPrefix
| Je_rel8_64                                        | 74 00 00 00     |         | Normal  |         | br64_1              |                     |                     |                     |           |               | Mode64, BndPrefix, HintTakenPrefix
| Jne_rel8_16                                       | 75 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
| Jne_rel8_32                                       | 75 00 00 00     |         | Normal  |         | br32_1              |                     |                     |                     | Size32    |               | Mode16, Mode32, BndPrefix, HintTakenPrefix
| Jne_rel8_64                                       | 75 00 00 00     |         | Normal  |         | br64_1              |                     |                     |                     |           |               | Mode64, BndPrefix, HintTakenPrefix
| Jbe_rel8_16                                       | 76 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
| Jbe_rel8_32                                       | 76 00 00 00     |         | Normal  |         | br32_1              |                     |                     |                     | Size32    |               | Mode16, Mode32, BndPrefix, HintTakenPrefix
| Jbe_rel8_64                                       | 76 00 00 00     |         | Normal  |         | br64_1              |                     |                     |                     |           |               | Mode64, BndPrefix, HintTakenPrefix
| Ja_rel8_16                                        | 77 00 00 00     |         | Normal  |         | br16_1              |                     |                     |                     | Size16    |               | Mode16, Mode32, Mode64, BndPrefix, HintTakenPrefix
