# CPUID, Vol2
| 07 | Out | Bit | Feature          | Description                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 01 | ECX | 8   | TM2              | Thermal Monitor 2. A value of 1 indicates whether the processor supports this technology.                                                                                                                                                                                                                                                                                                                                                 |
| 01 | ECX | 9   | SSSE3            | A value of 1 indicates the presence of the Supplemental Streaming SIMD Extensions 3 (SSSE3). A value of 0 indicates the instruction extensions are not present in the processor.                                                                                                                                                                                                                                                          |
| 01 | ECX | 10  | CNXT-ID          | L1 Context ID. A value of 1 indicates the L1 data cache mode can be set to either adaptive mode or shared mode. A value of 0 indicates this feature is not supported.                                                                                                                                                                                                                                                                     |
| 01 | ECX | 11  | SDBG             | A value of 1 indicates the processor supports IA32_DEBUG_INTERFACE MSR for silicon debug.                                                                                                                                                                                                                                                                                                                                                 |
| 01 | ECX | 12  | FMA              | A value of 1 indicates the processor supports FMA extensions using YMM state.                                                                                                                                                                                                                                                                                                                                                             |
| 01 | ECX | 13  | CMPXCHG16B       | CMPXCHG16B Available. A value of 1 indicates that the feature is available                                                                                                                                                                                                                                                                                                                                                                |
| 01 | ECX | 14  | xTPR             | Update Control xTPR Update Control. A value of 1 indicates that the processor supports changing IA32_MISC_ENABLE[bit 23].                                                                                                                                                                                                                                                                                                                 |
| 01 | ECX | 15  | PDCM             | Perfmon and Debug Capability: A value of 1 indicates the processor supports the performance and debug feature indication MSR IA32_PERF_CAPABILITIES.                                                                                                                                                                                                                                                                                      |
| 01 | ECX | 16  | None             | Reserved                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 01 | ECX | 17  | PCID             | Process-context identifiers. A value of 1 indicates that the processor supports PCIDs and that software may set CR4.PCIDE to 1.                                                                                                                                                                                                                                                                                                           |
| 01 | ECX | 18  | DCA              | A value of 1 indicates the processor supports the ability to prefetch data from a memory mapped device.                                                                                                                                                                                                                                                                                                                                   |
| 01 | ECX | 19  | SSE4.1           | A value of 1 indicates that the processor supports SSE4.1.                                                                                                                                                                                                                                                                                                                                                                                |
| 01 | ECX | 20  | SSE4.2           | A value of 1 indicates that the processor supports SSE4.2.                                                                                                                                                                                                                                                                                                                                                                                |
| 01 | ECX | 21  | x2APIC           | A value of 1 indicates that the processor supports x2APIC feature.                                                                                                                                                                                                                                                                                                                                                                        |
| 01 | ECX | 22  | MOVBE            | A value of 1 indicates that the processor supports MOVBE instruction.                                                                                                                                                                                                                                                                                                                                                                     |
| 01 | ECX | 23  | POPCNT           | A value of 1 indicates that the processor supports the POPCNT instruction.                                                                                                                                                                                                                                                                                                                                                                |
| 01 | ECX | 24  | TSC-Deadline     | A value of 1 indicates that the processor’s local APIC timer supports one-shot operation using a TSC deadline value.                                                                                                                                                                                                                                                                                                                      |
| 01 | ECX | 25  | AESNI            | A value of 1 indicates that the processor supports the AESNI instruction extensions.                                                                                                                                                                                                                                                                                                                                                      |
| 01 | ECX | 26  | XSAVE            | A value of 1 indicates that the processor supports the XSAVE/XRSTOR processor extended states feature, the XSETBV/XGETBV instructions, and XCR0.                                                                                                                                                                                                                                                                                          |
| 01 | ECX | 27  | OSXSAVE          | A value of 1 indicates that the OS has set CR4.OSXSAVE[bit 18] to enable XSETBV/XGETBV instructions to access XCR0 and to support processor extended state management using XSAVE/XRSTOR.                                                                                                                                                                                                                                                 |
| 01 | ECX | 28  | AVX              | A value of 1 indicates the processor supports the AVX instruction extensions.                                                                                                                                                                                                                                                                                                                                                             |
| 01 | ECX | 29  | F16C             | A value of 1 indicates that processor supports 16-bit floating-point conversion instructions.                                                                                                                                                                                                                                                                                                                                             |
| 01 | ECX | 30  | RDRAND           | A value of 1 indicates that processor supports RDRAND instruction.                                                                                                                                                                                                                                                                                                                                                                        |
| 01 | ECX | 31  | None             | Always returns 0.                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 01 | EDX | 0   | FPU              | Floating Point Unit On-Chip. The processor contains an x87 FPU.                                                                                                                                                                                                                                                                                                                                                                           |
| 01 | EDX | 1   | VME              | Virtual 8086 Mode Enhancements. Virtual 8086 mode enhancements, including CR4.VME for controlling the feature, CR4.PVI for protected mode virtual interrupts, software interrupt indirection, expansion of the TSS with the software indirection bitmap, and EFLAGS.VIF and EFLAGS.VIP flags.                                                                                                                                             |
| 01 | EDX | 2   | DE               | Debugging Extensions. Support for I/O breakpoints, including CR4.DE for controlling the feature, and optional trapping of accesses to DR4 and DR5.                                                                                                                                                                                                                                                                                        |
| 01 | EDX | 3   | PSE              | Page Size Extension. Large pages of size 4 MByte are supported, including CR4.PSE for controlling the feature, the defined dirty bit in PDE (Page Directory Entries), optional reserved bit trapping in CR3, PDEs, and PTEs.                                                                                                                                                                                                              |
| 01 | EDX | 4   | TSC              | Time Stamp Counter. The RDTSC instruction is supported, including CR4.TSD for controlling privilege.                                                                                                                                                                                                                                                                                                                                      |
| 01 | EDX | 5   | MSR              | Model Specific Registers RDMSR and WRMSR Instructions. The RDMSR and WRMSR instructions are supported. Some of the MSRs are implementation dependent.                                                                                                                                                                                                                                                                                     |
| 01 | EDX | 6   | PAE              | Physical Address Extension. Physical addresses greater than 32 bits are supported: extended page table entry formats, an extra level in the page translation tables is defined, 2-MByte pages are supported instead of 4 Mbyte pages if PAE bit is 1.                                                                                                                                                                                     |
| 01 | EDX | 7   | MCE              | Machine Check Exception. Exception 18 is defined for Machine Checks, including CR4.MCE for controlling the feature. This feature does not define the model-specific implementations of machine-check error logging, reporting, and processor shutdowns. Machine Check exception handlers may have to depend on processor version to do model specific processing of the exception, or test for the presence of the Machine Check feature. |
| 01 | EDX | 8   | CX8              | CMPXCHG8B Instruction. The compare-and-exchange 8 bytes (64 bits) instruction is supported (implicitly locked and atomic).                                                                                                                                                                                                                                                                                                                |
| 01 | EDX | 9   | APIC             | APIC On-Chip. The processor contains an Advanced Programmable Interrupt Controller (APIC), responding to memory mapped commands in the physical address range FFFE0000H to FFFE0FFFH (by default - some processors permit the APIC to be relocated).                                                                                                                                                                                      |
| 01 | EDX | 10  | None             | Reserved                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 01 | EDX | 11  | SEP              | SYSENTER and SYSEXIT Instructions. The SYSENTER and SYSEXIT and associated MSRs are supported.                                                                                                                                                                                                                                                                                                                                            |
| 01 | EDX | 12  | MTRR             | Memory Type Range Registers. MTRRs are supported. The MTRRcap MSR contains feature bits that describe what memory types are supported, how many variable MTRRs are supported, and whether fixed MTRRs are supported.                                                                                                                                                                                                                      |
| 01 | EDX | 13  | PGE              | Page Global Bit. The global bit is supported in paging-structure entries that map a page, indicating TLB entries that are common to different processes and need not be flushed. The CR4.PGE bit controls this feature.                                                                                                                                                                                                                   |
| 01 | EDX | 14  | MCA              | Machine Check Architecture. A value of 1 indicates the Machine Check Architecture of reporting machine errors is supported. The MCG_CAP MSR contains feature bits describing how many banks of error reporting MSRs are supported.                                                                                                                                                                                                        |
| 01 | EDX | 15  | CMOV             | Conditional Move Instructions. The conditional move instruction CMOV is supported. In addition, if x87 FPU is present as indicated by the CPUID.FPU feature bit, then the FCOMI and FCMOV instructions are supported                                                                                                                                                                                                                      |
| 01 | EDX | 16  | PAT              | Page Attribute Table. Page Attribute Table is supported. This feature augments the Memory Type Range Registers (MTRRs), allowing an operating system to specify attributes of memory accessed through a linear address on a 4KB granularity.                                                                                                                                                                                              |
| 01 | EDX | 17  | PSE-36           | 36-Bit Page Size Extension. 4-MByte pages addressing physical memory beyond 4 GBytes are supported with 32-bit paging. This feature indicates that upper bits of the physical address of a 4-MByte page are encoded in bits 20:13 of the page-directory entry. Such physical addresses are limited by MAXPHYADDR and may be up to 40 bits in size.                                                                                        |
| 01 | EDX | 18  | PSN              | Processor Serial Number. The processor supports the 96-bit processor identification number feature and the feature is enabled.                                                                                                                                                                                                                                                                                                            |
| 01 | EDX | 19  | CLFSH            | CLFLUSH Instruction. CLFLUSH Instruction is supported.                                                                                                                                                                                                                                                                                                                                                                                    |
| 01 | EDX | 20  | None             | Reserved                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 01 | EDX | 21  | DS               | Debug Store. The processor supports the ability to write debug information into a memory resident buffer. This feature is used by the branch trace store (BTS) and processor event-based sampling (PEBS) facilities                                                                                                                                                                                                                       |
| 01 | EDX | 22  | ACPI             | Thermal Monitor and Software Controlled Clock Facilities. The processor implements internal MSRs that\ allow processor temperature to be monitored and processor performance to be modulated in predefined duty cycles under software control.                                                                                                                                                                                            |
| 01 | EDX | 23  | MMX              | Intel MMX Technology. The processor supports the Intel MMX technology.                                                                                                                                                                                                                                                                                                                                                                    |
| 01 | EDX | 24  | FXSR             | FXSAVE and FXRSTOR Instructions. The FXSAVE and FXRSTOR instructions are supported for fast save and restore of the floating point context. Presence of this bit also indicates that CR4.OSFXSR is available for an operating system to indicate that it supports the FXSAVE and FXRSTOR instructions.                                                                                                                                    |
| 01 | EDX | 25  | SSE              | SSE. The processor supports the SSE extensions.                                                                                                                                                                                                                                                                                                                                                                                           |
| 01 | EDX | 26  | SSE2             | SSE2. The processor supports the SSE2 extensions.                                                                                                                                                                                                                                                                                                                                                                                         |
| 01 | EDX | 27  | SS               | Self Snoop. The processor supports the management of conflicting memory types by performing a snoop of its own cache structure for transactions issued to the bus.                                                                                                                                                                                                                                                                        |
| 01 | EDX | 28  | HTT              | Max APIC IDs reserved field is Valid. A value of 0 for HTT indicates there is only a single logical processor in the package and software should assume only a single APIC ID is reserved. A value of 1 for HTT indicates the value in CPUID.1.EBX[23:16] (the Maximum number of addressable IDs for logical processors in this package) is valid for the package.                                                                        |
| 01 | EDX | 29  | TM               | Thermal Monitor. The processor implements the thermal monitor automatic thermal control circuitry (TCC).                                                                                                                                                                                                                                                                                                                                  |
| 01 | EDX | 30  | None             | Reserved                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 01 | EDX | 31  | PBE              | Pending Break Enable. The processor supports the use of the FERR#/PBE# pin when the processor is in the stop-clock state (STPCLK# is asserted) to signal the processor that an interrupt is pending and that the processor should return to normal operation to handle the interrupt. Bit 10 (PBE enable) in the IA32_MISC_ENABLE MSR enables this capability.                                                                            |
