| Type         | Identifier     | Name           | Description                                                                                                                                                                                                                                                               |
| InstClass    | MMXIi8         | MMXIi8         | MMX instructions with ImmT == Imm8 and PS prefix.                                                                                                                                                                                                                         |
| InstClass    | MMXID          | MMXID          | MMX instructions with XD prefix.                                                                                                                                                                                                                                          |
| InstClass    | MMXIS          | MMXIS          | MMX instructions with XS prefix.                                                                                                                                                                                                                                          |
| InstClass    | FPI            | FPI            | Floating Point Instruction                                                                                                                                                                                                                                                |
| InstClass    | Iseg16         | Iseg16         | 16-bit segment selector, 16-bit offset                                                                                                                                                                                                                                    |
| InstClass    | Iseg32         | Iseg32         | 16-bit segment selector, 32-bit offset                                                                                                                                                                                                                                    |
| InstClass    | SI             | SI             | SSE 1 & 2 scalar instructions                                                                                                                                                                                                                                             |
| InstClass    | SIi8           | SIi8           | SSE 1 & 2 scalar instructions - vex form available on AVX512                                                                                                                                                                                                              |
| InstClass    | PI             | PI             | SSE 1 & 2 packed instructions                                                                                                                                                                                                                                             |
| InstClass    | MMXPI          | MMXPI          | SSE 1 & 2 packed instructions with MMX operands                                                                                                                                                                                                                           |
| InstClass    | PIi8           | PIi8           | SSE 1 & 2 packed instructions with immediate                                                                                                                                                                                                                              |
| InstClass    | SSI            | SSI            | SSE1 instructions with XS prefix.                                                                                                                                                                                                                                         |
| InstClass    | PSI            | PSI            | SSE1 instructions with PS prefix.                                                                                                                                                                                                                                         |
| InstClass    | PSIi8          | PSIi8          | SSE1 instructions with ImmT == Imm8 and PS prefix.                                                                                                                                                                                                                        |
| InstClass    | VSSI           | VSSI           | SSE1 instructions with XS prefix in AVX form.                                                                                                                                                                                                                             |
| InstClass    | VPSI           | VPSI           | SSE1 instructions with PS prefix in AVX form, packed single.                                                                                                                                                                                                              |
| InstClass    | SDI            | SDI            | SSE2 instructions with XD prefix.                                                                                                                                                                                                                                         |
| InstClass    | SDIi8          | SDIi8          | SSE2 instructions with ImmT == Imm8 and XD prefix.                                                                                                                                                                                                                        |
| InstClass    | S2SI           | S2SI           | SSE2 instructions with XS prefix.                                                                                                                                                                                                                                         |
| InstClass    | SSDIi8         |                | SSE2 instructions with ImmT == Imm8 and XS prefix.                                                                                                                                                                                                                        |
| InstClass    | PDI            |                | SSE2 instructions with PD prefix, packed double domain.                                                                                                                                                                                                                   |
| InstClass    | PDIi8          |                | SSE2 instructions with ImmT == Imm8 and PD prefix.                                                                                                                                                                                                                        |
| InstClass    | VSDI           |                | SSE2 scalar instructions with XD prefix in AVX form.                                                                                                                                                                                                                      |
| InstClass    | VPDI           |                | SSE2 vector instructions with PD prefix in AVX form, packed double domain.                                                                                                                                                                                                |
| InstClass    | VS2I           |                | SSE2 scalar instructions with PD prefix in AVX form.                                                                                                                                                                                                                      |
| InstClass    | S2I            |                | SSE2 scalar instructions with PD prefix.                                                                                                                                                                                                                                  |
| InstClass    | MMXSDIi8       |                | SSE2 instructions with ImmT == Imm8 and XD prefix as well as MMX operands.                                                                                                                                                                                                |
| InstClass    | MMXSSDIi8      |                | SSE2 instructions with ImmT == Imm8 and XS prefix as well as MMX operands.                                                                                                                                                                                                |
| InstClass    | SS38I          |                | SSSE3 instructions with T8 prefix.                                                                                                                                                                                                                                        |
| InstClass    | SS3AI          |                | SSSE3 instructions with TA prefix.                                                                                                                                                                                                                                        |
| InstClass    | MMXSS38I       |                | SSSE3 instructions with T8 prefix and MMX operands.                                                                                                                                                                                                                       |
| InstClass    | MMXSS3AI       |                | SSSE3 instructions with TA prefix and MMX operands.                                                                                                                                                                                                                       |
| InstClass    | S3I            |                | SSE3 instructions with PD prefixes.                                                                                                                                                                                                                                       |
| InstClass    | S3SI           |                | SSE3 instructions with XS prefix.                                                                                                                                                                                                                                         |
| InstClass    | S3DI           |                | SSE3 instructions with XD prefix.                                                                                                                                                                                                                                         |
| InstClass    | SS42FI         |                | SSE 4.2 instructions with T8XD prefix.                                                                                                                                                                                                                                    |
| InstClass    | SS428I         |                | SSE 4.2 instructions with T8 prefix.                                                                                                                                                                                                                                      |
| InstClass    | SS42AI         |                | SSE 4.2 instructions with TA prefix                                                                                                                                                                                                                                       |
| InstClass    | SS48I          |                | SSE 4.1 instructions with T8 prefix.                                                                                                                                                                                                                                      |
| InstClass    | SS41AIi8       |                | SSE 4.1 instructions with TA prefix and ImmT == Imm8.                                                                                                                                                                                                                     |
| InstClass    | AVX28I         |                | AVX2 instructions with T8PD prefix.                                                                                                                                                                                                                                       |
| InstClass    | AVX2AIi8       |                | AVX2 instructions with TAPD prefix and ImmT = Imm8.                                                                                                                                                                                                                       |
| InstClass    | AVX8I          |                | AVX instructions with T8PD prefix.                                                                                                                                                                                                                                        |
| InstClass    | AVXAIi8        |                | AVX instructions with TAPD prefix and ImmT = Imm8.                                                                                                                                                                                                                        |
| InstClass    | AVX5128I       |                | AVX-512 instructions with T8PD prefix.                                                                                                                                                                                                                                    |
| InstClass    | AVX512AIi8     |                | AVX-512 instructions with TAPD prefix and ImmT = Imm8.                                                                                                                                                                                                                    |
| InstClass    | AVX512PDI      |                | AVX-512 instructions with PD, double packed.                                                                                                                                                                                                                              |
| InstClass    | AVX512PSI      | AVX512PSI      | AVX-512 instructions with PS, single packed.                                                                                                                                                                                                                              |
| InstClass    | AVX512XS8I     | AVX512XS8I     | AVX-512 instructions with T8 and XS prefixes.                                                                                                                                                                                                                             |
| InstClass    | AVX512XSI      | AVX512XSI      | AVX-512 instructions with XS prefix, generic domain.                                                                                                                                                                                                                      |
| InstClass    | AVX512BI       | AVX512BI       | AVX-512 instructions with PD, int packed domain.                                                                                                                                                                                                                          |
| InstClass    | AVX512SI       | AVX512SI       | AVX-512 scalar instructions with PD prefix.                                                                                                                                                                                                                               |

